Difficulty,Start Time (Unix),End Time (Unix),Duration (seconds)
Easy,1726714031.133342,1726714067.4817312,36.35
Hard,1726714067.7823691,1726714110.89661,43.11
Hard,1726714111.1975691,1726714151.50098,40.30
Easy,1726714151.801852,1726714184.0497081,32.25
Easy,1726714184.350901,1726714216.809119,32.46
Hard,1726714217.1094458,1726714260.672655,43.56
