LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
0.000000,0.000000,1726713969.071728,261054.000,40564,2,AK,1,100,39804
0.000000,0.000000,1726713969.071728,261054.000,40564,2,AK,1,100,RD
0.000000,0.000000,1726713969.088228,261070.500,40567,2,AK,1,100,40565
0.000000,0.000000,1726713969.104728,261087.000,40567,2,AK,1,100,RD
0.000000,0.000000,1726713971.646755,263629.000,41402,2,AK,1,100,40565
0.000000,0.000000,1726713974.188782,266171.000,41402,2,AK,1,100,RD
0.000000,0.000000,1726713974.196782,266179.000,41405,2,AK,1,100,41403
0.000000,0.000000,1726713974.204782,266187.000,41405,2,AK,1,100,RD
0.000000,0.000000,1726713976.755809,268738.000,42234,2,AK,1,100,41403
0.000000,0.000000,1726713979.306836,271289.000,42234,2,AK,1,100,RD
0.000000,0.000000,1726713979.317836,271300.000,42237,2,AK,1,100,42235
0.000000,0.000000,1726713979.328836,271311.000,42237,2,AK,1,100,RD
0.000000,0.000000,1726713981.878363,273860.500,43069,2,AK,1,100,42235
0.000000,0.000000,1726713984.427890,276410.000,43069,2,AK,1,100,RD
0.000000,0.000000,1726713984.438891,276421.000,43072,2,AK,1,100,43070
0.000000,0.000000,1726713984.449891,276432.000,43072,2,AK,1,100,RD
0.000000,0.000000,1726713986.998418,278980.500,43904,2,AK,1,100,43070
0.000000,0.000000,1726713989.546945,281529.000,43904,2,AK,1,100,RD
0.000000,0.000000,1726713989.557945,281540.000,43907,2,AK,1,100,43905
0.000000,0.000000,1726713989.568945,281551.000,43907,2,AK,1,100,RD
0.000000,0.000000,1726713992.119472,284101.500,44738,2,AK,1,100,43905
0.000000,0.000000,1726713994.669999,286652.000,44738,2,AK,1,100,RD
0.000000,0.000000,1726713994.683499,286665.500,44741,2,AK,1,100,44739
0.000000,0.000000,1726713994.696999,286679.000,44741,2,AK,1,100,RD
0.000000,0.000000,1726713997.239026,289221.000,45555,2,AK,1,100,44739
0.000000,0.000000,1726713999.781053,291763.000,45555,2,AK,1,100,RD
0.000000,0.000000,1726713999.797053,291779.000,45558,2,AK,1,100,45556
0.000000,0.000000,1726713999.813054,291795.000,45558,2,AK,1,100,RD
0.000000,0.000000,1726714002.360081,294342.000,46389,2,AK,1,100,45556
0.000000,0.000000,1726714004.907108,296889.000,46389,2,AK,1,100,RD
0.000000,0.000000,1726714004.918108,296900.000,46392,2,AK,1,100,46390
0.000000,0.000000,1726714004.929108,296911.000,46392,2,AK,1,100,RD
0.000000,0.000000,1726714007.479135,299461.000,47228,2,AK,1,100,46390
0.000000,0.000000,1726714010.029162,302011.000,47228,2,AK,1,100,RD
0.000000,0.000000,1726714010.038662,302020.500,47231,2,AK,1,100,47229
0.000000,0.000000,1726714010.048162,302030.000,47231,2,AK,1,100,RD
0.000000,0.000000,1726714012.597189,304579.000,48061,2,AK,1,100,47229
0.000000,0.000000,1726714015.146216,307128.000,48061,2,AK,1,100,RD
0.000000,0.000000,1726714015.158716,307140.500,48064,2,AK,1,100,48062
0.000000,0.000000,1726714015.171216,307153.000,48064,2,AK,1,100,RD
0.000000,0.000000,1726714017.722243,309704.000,48901,2,AK,1,100,48062
0.000000,0.000000,1726714020.273270,312255.000,48901,2,AK,1,100,RD
0.000000,0.000000,1726714020.283271,312265.000,48904,2,AK,1,100,48902
0.000000,0.000000,1726714020.293271,312275.000,48904,2,AK,1,100,RD
0.000000,0.000000,1726714022.840298,314822.000,49742,2,AK,1,100,48902
0.000000,0.000000,1726714025.387325,317369.000,49742,2,AK,1,100,RD
0.000000,0.000000,1726714025.396325,317378.000,49745,2,AK,1,100,49743
0.000000,0.000000,1726714025.405325,317387.000,49745,2,AK,1,100,RD
0.000000,0.000000,1726714027.955852,319937.500,50579,2,AK,1,100,49743
0.000000,0.000000,1726714030.506379,322488.000,50579,2,AK,1,100,RD
0.000000,0.000000,1726714030.516879,322498.500,50582,2,AK,1,100,50580
0.000000,0.000000,1726714030.527379,322509.000,50582,2,AK,1,100,RD
0.000000,0.000000,1726714033.072406,325054.000,51401,2,AK,1,100,50580
0.000000,0.000000,1726714035.617433,327599.000,51401,2,AK,1,100,RD
0.000000,0.000000,1726714035.625933,327607.500,51404,2,AK,1,100,51402
0.000000,0.000000,1726714035.634433,327616.000,51404,2,AK,1,100,RD
0.000000,0.000000,1726714038.181460,330163.000,52240,2,AK,1,100,51402
0.000000,0.000000,1726714040.728487,332710.000,52240,2,AK,1,100,RD
0.000000,0.000000,1726714040.734487,332716.000,52243,2,AK,1,100,52241
0.000000,0.000000,1726714040.740487,332722.000,52243,2,AK,1,100,RD
0.000000,0.000000,1726714043.293014,335274.500,53077,2,AK,1,100,52241
0.000000,0.000000,1726714045.845542,337827.000,53077,2,AK,1,100,RD
0.000000,0.000000,1726714045.855542,337837.000,53080,2,AK,1,100,53078
0.000000,0.000000,1726714045.865542,337847.000,53080,2,AK,1,100,RD
0.000000,0.000000,1726714048.418069,340399.500,53919,2,AK,1,100,53078
0.000000,0.000000,1726714050.970596,342952.000,53919,2,AK,1,100,RD
0.000000,0.000000,1726714050.984096,342965.500,53922,2,AK,1,100,53920
0.000000,0.000000,1726714050.997596,342979.000,53922,2,AK,1,100,RD
0.000000,0.000000,1726714053.544123,345525.500,54756,2,AK,1,100,53920
0.000000,0.000000,1726714056.090650,348072.000,54756,2,AK,1,100,RD
0.000000,0.000000,1726714056.116650,348098.000,54759,2,AK,1,100,54757
