LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726713967.047706,259030.000,40236,1,EA,1,100,0.691087
0.000000,0.000000,1726713967.114207,259096.500,40254,2,EA,1,100,0.691156
0.000000,0.000000,1726713967.180708,259163.000,40254,2,EA,1,100,0.691363
0.000000,0.000000,1726713967.247708,259230.000,40270,1,EA,1,100,0.691501
0.000000,0.000000,1726713967.314209,259296.500,40286,2,EA,1,100,0.691640
0.000000,0.000000,1726713967.380710,259363.000,40286,2,EA,1,100,0.691640
0.000000,0.000000,1726713967.447710,259430.000,40302,2,EA,1,100,0.691847
0.000000,0.000000,1726713967.514711,259497.000,40302,2,EA,1,100,0.692055
0.000000,0.000000,1726713967.580712,259563.000,40319,1,EA,1,100,0.692193
0.000000,0.000000,1726713967.647212,259629.500,40335,2,EA,1,100,0.692193
0.000000,0.000000,1726713967.713713,259696.000,40335,2,EA,1,100,0.692540
0.000000,0.000000,1726713967.780714,259763.000,40354,1,EA,1,100,0.692540
0.000000,0.000000,1726713967.847215,259829.500,40369,2,EA,1,100,0.692679
0.000000,0.000000,1726713967.913715,259896.000,40369,2,EA,1,100,0.692748
0.000000,0.000000,1726713967.980716,259963.000,40386,1,EA,1,100,0.692887
0.000000,0.000000,1726713968.047217,260029.500,40402,2,EA,1,100,0.693026
0.000000,0.000000,1726713968.113717,260096.000,40402,2,EA,1,100,0.693165
0.000000,0.000000,1726713968.180718,260163.000,40420,1,EA,1,100,0.693234
0.000000,0.000000,1726713968.247219,260229.500,40434,2,EA,1,100,0.693304
0.000000,0.000000,1726713968.313720,260296.000,40434,2,EA,1,100,0.693513
0.000000,0.000000,1726713968.380720,260363.000,40451,1,EA,1,100,0.693582
0.000000,0.000000,1726713968.447221,260429.500,40468,2,EA,1,100,0.693721
0.000000,0.000000,1726713968.513722,260496.000,40468,2,EA,1,100,0.693861
0.000000,0.000000,1726713968.580722,260563.000,40487,1,EA,1,100,0.693930
0.000000,0.000000,1726713968.647223,260629.500,40501,2,EA,1,100,0.694139
0.000000,0.000000,1726713968.713724,260696.000,40501,2,EA,1,100,0.694139
0.000000,0.000000,1726713968.780725,260763.000,40518,1,EA,1,100,0.694278
0.000000,0.000000,1726713968.847225,260829.500,40535,2,EA,1,100,0.694487
0.000000,0.000000,1726713968.913726,260896.000,40535,2,EA,1,100,0.694627
0.000000,0.000000,1726713968.980727,260963.000,40552,1,EA,1,100,0.694627
0.000000,0.000000,1726713969.047227,261029.500,40571,2,EA,1,100,0.694627
0.000000,0.000000,1726713969.113728,261096.000,40571,2,EA,1,100,0.694627
0.000000,0.000000,1726713969.180729,261163.000,40591,2,EA,1,100,0.694976
0.000000,0.000000,1726713969.247729,261230.000,40591,2,EA,1,100,0.694976
0.000000,0.000000,1726713969.313730,261296.000,40606,1,EA,1,100,0.695116
0.000000,0.000000,1726713969.380731,261363.000,40623,2,EA,1,100,0.695256
0.000000,0.000000,1726713969.447732,261430.000,40623,2,EA,1,100,0.695325
0.000000,0.000000,1726713969.514232,261496.500,40640,2,EA,1,100,0.695465
0.000000,0.000000,1726713969.580733,261563.000,40640,2,EA,1,100,0.695675
0.000000,0.000000,1726713969.647734,261630.000,40657,1,EA,1,100,0.695675
0.000000,0.000000,1726713969.714234,261696.500,40671,2,EA,1,100,0.695675
0.000000,0.000000,1726713969.780735,261763.000,40671,2,EA,1,100,0.695885
0.000000,0.000000,1726713969.847736,261830.000,40691,1,EA,1,100,0.696025
0.000000,0.000000,1726713969.914237,261896.500,40707,2,EA,1,100,0.696095
0.000000,0.000000,1726713969.980737,261963.000,40707,2,EA,1,100,0.696025
0.000000,0.000000,1726713970.047738,262030.000,40724,1,EA,1,100,0.696306
0.000000,0.000000,1726713970.114239,262096.500,40739,2,EA,1,100,0.696376
0.000000,0.000000,1726713970.180739,262163.000,40739,2,EA,1,100,0.696446
0.000000,0.000000,1726713970.247740,262230.000,40756,1,EA,1,100,0.696727
0.000000,0.000000,1726713970.314241,262296.500,40772,2,EA,1,100,0.696727
0.000000,0.000000,1726713970.380741,262363.000,40772,2,EA,1,100,0.696867
0.000000,0.000000,1726713970.446742,262429.000,40789,1,EA,1,100,0.697008
0.000000,0.000000,1726713970.513743,262496.000,40804,2,EA,1,100,0.697078
0.000000,0.000000,1726713970.580744,262563.000,40804,2,EA,1,100,0.697078
0.000000,0.000000,1726713970.646744,262629.000,40821,1,EA,1,100,0.697218
0.000000,0.000000,1726713970.713745,262696.000,40837,2,EA,1,100,0.697218
0.000000,0.000000,1726713970.780746,262763.000,40837,2,EA,1,100,0.697429
0.000000,0.000000,1726713970.847746,262830.000,40855,1,EA,1,100,0.697570
0.000000,0.000000,1726713970.914247,262896.500,40869,2,EA,1,100,0.697711
0.000000,0.000000,1726713970.980748,262963.000,40869,2,EA,1,100,0.697781
0.000000,0.000000,1726713971.047749,263030.000,40888,1,EA,1,100,0.697922
0.000000,0.000000,1726713971.114249,263096.500,40905,2,EA,1,100,0.697922
0.000000,0.000000,1726713971.180750,263163.000,40905,2,EA,1,100,0.698133
