LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
0.000000,0.000000,1726713969.070728,261053.000,40563,1,TL,1,100,2024-09-18_22-46-04-089300
0.000000,0.000000,1726713969.103728,261086.000,40566,1,TL,1,100,2024-09-18_22-46-09-085929
0.000000,0.000000,1726713974.187782,266170.000,41401,1,TL,1,100,2024-09-18_22-46-09-206646
0.000000,0.000000,1726713974.202782,266185.000,41404,1,TL,1,100,2024-09-18_22-46-14-196282
0.000000,0.000000,1726713979.303836,271286.000,42233,1,TL,1,100,2024-09-18_22-46-14-323934
0.000000,0.000000,1726713979.324836,271307.000,42236,1,TL,1,100,2024-09-18_22-46-19-313539
0.000000,0.000000,1726713984.426890,276409.000,43068,1,TL,1,100,2024-09-18_22-46-19-442613
0.000000,0.000000,1726713984.447891,276430.000,43071,1,TL,1,100,2024-09-18_22-46-24-439728
0.000000,0.000000,1726713989.544945,281527.000,43903,1,TL,1,100,2024-09-18_22-46-24-561242
0.000000,0.000000,1726713989.567945,281550.000,43906,1,TL,1,100,2024-09-18_22-46-29-557723
0.000000,0.000000,1726713994.668999,286651.000,44737,1,TL,1,100,2024-09-18_22-46-29-691936
0.000000,0.000000,1726713994.694999,286677.000,44740,1,TL,1,100,2024-09-18_22-46-34-682036
0.000000,0.000000,1726713999.779053,291761.000,45554,1,TL,1,100,2024-09-18_22-46-34-818749
0.000000,0.000000,1726713999.811053,291793.000,45557,1,TL,1,100,2024-09-18_22-46-39-802555
0.000000,0.000000,1726714004.906108,296888.000,46388,1,TL,1,100,2024-09-18_22-46-39-926223
0.000000,0.000000,1726714004.927108,296909.000,46391,1,TL,1,100,2024-09-18_22-46-44-917557
0.000000,0.000000,1726714010.028162,302010.000,47227,1,TL,1,100,2024-09-18_22-46-45-047185
0.000000,0.000000,1726714010.046162,302028.000,47230,1,TL,1,100,2024-09-18_22-46-50-038768
0.000000,0.000000,1726714015.144216,307126.000,48060,1,TL,1,100,2024-09-18_22-46-50-170100
0.000000,0.000000,1726714015.170216,307152.000,48063,1,TL,1,100,2024-09-18_22-46-55-160789
0.000000,0.000000,1726714020.271270,312253.000,48900,1,TL,1,100,2024-09-18_22-46-55-285885
0.000000,0.000000,1726714020.292271,312274.000,48903,1,TL,1,100,2024-09-18_22-47-00-283265
0.000000,0.000000,1726714025.386325,317368.000,49741,1,TL,1,100,2024-09-18_22-47-00-420151
0.000000,0.000000,1726714025.404325,317386.000,49744,1,TL,1,100,2024-09-18_22-47-05-397169
0.000000,0.000000,1726714030.505379,322487.000,50578,1,TL,1,100,2024-09-18_22-47-05-531103
0.000000,0.000000,1726714030.526379,322508.000,50581,1,TL,1,100,2024-09-18_22-47-10-518122
0.000000,0.000000,1726714035.613433,327595.000,51400,1,TL,1,100,2024-09-18_22-47-10-650759
0.000000,0.000000,1726714035.633433,327615.000,51403,1,TL,1,100,2024-09-18_22-47-15-624374
0.000000,0.000000,1726714040.726487,332708.000,52239,1,TL,1,100,2024-09-18_22-47-15-762775
0.000000,0.000000,1726714040.739487,332721.000,52242,1,TL,1,100,2024-09-18_22-47-20-732555
0.000000,0.000000,1726714045.844542,337826.000,53076,1,TL,1,100,2024-09-18_22-47-20-860516
0.000000,0.000000,1726714045.864542,337846.000,53079,1,TL,1,100,2024-09-18_22-47-25-857108
0.000000,0.000000,1726714050.969596,342951.000,53918,1,TL,1,100,2024-09-18_22-47-26-000571
0.000000,0.000000,1726714050.995596,342977.000,53921,1,TL,1,100,2024-09-18_22-47-30-983993
0.000000,0.000000,1726714056.089650,348071.000,54755,1,TL,1,100,2024-09-18_22-47-31-103724
0.000000,0.000000,1726714056.141651,348123.000,54758,1,TL,1,100,2024-09-18_22-47-36-134585
0.000000,0.000000,1726714061.219705,353201.000,55599,1,TL,1,100,2024-09-18_22-47-36-236383
0.000000,0.000000,1726714061.236705,353218.000,55602,1,TL,1,100,2024-09-18_22-47-41-228252
0.000000,0.000000,1726714066.328759,358310.000,56436,1,TL,1,100,2024-09-18_22-47-41-357851
0.000000,0.000000,1726714066.353759,358335.000,56439,1,TL,1,100,2024-09-18_22-47-46-346797
0.000000,0.000000,1726714071.436813,363418.000,57265,1,TL,1,100,2024-09-18_22-47-46-468057
0.000000,0.000000,1726714071.454813,363436.000,57268,1,TL,1,100,2024-09-18_22-47-51-446744
0.000000,0.000000,1726714076.553867,368535.000,58107,1,TL,1,100,2024-09-18_22-47-51-598389
0.000000,0.000000,1726714076.573867,368555.000,58110,1,TL,1,100,2024-09-18_22-47-56-564653
0.000000,0.000000,1726714081.661921,373643.000,58950,1,TL,1,100,2024-09-18_22-47-56-694368
0.000000,0.000000,1726714081.681921,373663.000,58953,1,TL,1,100,2024-09-18_22-48-01-675180
0.000000,0.000000,1726714086.788976,378770.000,59789,1,TL,1,100,2024-09-18_22-48-01-804753
0.000000,0.000000,1726714086.812976,378794.000,59792,1,TL,1,100,2024-09-18_22-48-06-798159
0.000000,0.000000,1726714091.911030,383892.000,60636,1,TL,1,100,2024-09-18_22-48-06-935952
0.000000,0.000000,1726714091.932030,383913.000,60639,1,TL,1,100,2024-09-18_22-48-11-921673
0.000000,0.000000,1726714097.020084,389001.000,61479,1,TL,1,100,2024-09-18_22-48-12-046871
0.000000,0.000000,1726714097.052084,389033.000,61482,1,TL,1,100,2024-09-18_22-48-17-041111
