LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
0.000000,0.000000,1726714218.386371,510366.000,16057,3,PR,1,100,149909
0.000000,0.000000,1726714218.426371,510406.000,16057,3,PR,1,100,149925
0.000000,0.000000,1726714218.466372,510446.000,16057,3,PR,1,100,149946
0.000000,0.000000,1726714218.506372,510486.000,16073,2,PR,1,100,149953
0.000000,0.000000,1726714218.546372,510526.000,16073,2,PR,1,100,149962
0.000000,0.000000,1726714218.586373,510566.000,16089,3,PR,1,100,149963
0.000000,0.000000,1726714218.626373,510606.000,16089,3,PR,1,100,149969
0.000000,0.000000,1726714218.666374,510646.000,16089,3,PR,1,100,150004
0.000000,0.000000,1726714218.706374,510686.000,16106,2,PR,1,100,149962
0.000000,0.000000,1726714218.746375,510726.000,16106,2,PR,1,100,149737
0.000000,0.000000,1726714218.786375,510766.000,16123,3,PR,1,100,149492
0.000000,0.000000,1726714218.826375,510806.000,16123,3,PR,1,100,149440
0.000000,0.000000,1726714218.866376,510846.000,16123,3,PR,1,100,149497
0.000000,0.000000,1726714218.906376,510886.000,16138,2,PR,1,100,149600
0.000000,0.000000,1726714218.946377,510926.000,16138,2,PR,1,100,149702
0.000000,0.000000,1726714218.986377,510966.000,16156,3,PR,1,100,149768
0.000000,0.000000,1726714219.026378,511006.000,16156,3,PR,1,100,149774
0.000000,0.000000,1726714219.066378,511046.000,16156,3,PR,1,100,149695
0.000000,0.000000,1726714219.106378,511086.000,16174,2,PR,1,100,149634
0.000000,0.000000,1726714219.146379,511126.000,16174,2,PR,1,100,149615
0.000000,0.000000,1726714219.186379,511166.000,16192,3,PR,1,100,149662
0.000000,0.000000,1726714219.226380,511206.000,16192,3,PR,1,100,149708
0.000000,0.000000,1726714219.266380,511246.000,16192,3,PR,1,100,149794
0.000000,0.000000,1726714219.306381,511286.000,16209,2,PR,1,100,149829
0.000000,0.000000,1726714219.346381,511326.000,16209,2,PR,1,100,149836
0.000000,0.000000,1726714219.386381,511366.000,16225,3,PR,1,100,149863
0.000000,0.000000,1726714219.426382,511406.000,16225,3,PR,1,100,149870
0.000000,0.000000,1726714219.466382,511446.000,16225,3,PR,1,100,149890
0.000000,0.000000,1726714219.506383,511486.000,16243,2,PR,1,100,149875
0.000000,0.000000,1726714219.546383,511526.000,16243,2,PR,1,100,149886
0.000000,0.000000,1726714219.586383,511566.000,16259,3,PR,1,100,149908
0.000000,0.000000,1726714219.626384,511606.000,16259,3,PR,1,100,149923
0.000000,0.000000,1726714219.666384,511646.000,16259,3,PR,1,100,149872
0.000000,0.000000,1726714219.706385,511686.000,16274,2,PR,1,100,149638
0.000000,0.000000,1726714219.746385,511726.000,16274,2,PR,1,100,149449
0.000000,0.000000,1726714219.786386,511766.000,16296,3,PR,1,100,149401
0.000000,0.000000,1726714219.826386,511806.000,16296,3,PR,1,100,149480
0.000000,0.000000,1726714219.866386,511846.000,16296,3,PR,1,100,149594
0.000000,0.000000,1726714219.906387,511886.000,16315,3,PR,1,100,149693
0.000000,0.000000,1726714219.946387,511926.000,16315,3,PR,1,100,149768
0.000000,0.000000,1726714219.986388,511966.000,16315,3,PR,1,100,149723
0.000000,0.000000,1726714220.026388,512006.000,16331,2,PR,1,100,149653
0.000000,0.000000,1726714220.066389,512046.000,16331,2,PR,1,100,149587
0.000000,0.000000,1726714220.106389,512086.000,16348,3,PR,1,100,149586
0.000000,0.000000,1726714220.146389,512126.000,16348,3,PR,1,100,149617
0.000000,0.000000,1726714220.186390,512166.000,16348,3,PR,1,100,149678
0.000000,0.000000,1726714220.226390,512206.000,16365,2,PR,1,100,149739
0.000000,0.000000,1726714220.266391,512246.000,16365,2,PR,1,100,149761
0.000000,0.000000,1726714220.306391,512286.000,16382,3,PR,1,100,149799
0.000000,0.000000,1726714220.346392,512326.000,16382,3,PR,1,100,149819
0.000000,0.000000,1726714220.386392,512366.000,16382,3,PR,1,100,149813
0.000000,0.000000,1726714220.426392,512406.000,16399,2,PR,1,100,149818
0.000000,0.000000,1726714220.466393,512446.000,16399,2,PR,1,100,149827
0.000000,0.000000,1726714220.506393,512486.000,16416,3,PR,1,100,149848
0.000000,0.000000,1726714220.546394,512526.000,16416,3,PR,1,100,149874
0.000000,0.000000,1726714220.586394,512566.000,16416,3,PR,1,100,149780
0.000000,0.000000,1726714220.626395,512606.000,16430,2,PR,1,100,149546
0.000000,0.000000,1726714220.666395,512646.000,16430,2,PR,1,100,149401
0.000000,0.000000,1726714220.706395,512686.000,16447,3,PR,1,100,149379
0.000000,0.000000,1726714220.746396,512726.000,16447,3,PR,1,100,149468
0.000000,0.000000,1726714220.786396,512766.000,16447,3,PR,1,100,149588
0.000000,0.000000,1726714220.826397,512806.000,16464,2,PR,1,100,149687
0.000000,0.000000,1726714220.866397,512846.000,16464,2,PR,1,100,149733
0.000000,0.000000,1726714220.906397,512886.000,16483,3,PR,1,100,149689
0.000000,0.000000,1726714220.946398,512926.000,16483,3,PR,1,100,149585
0.000000,0.000000,1726714220.986398,512966.000,16483,3,PR,1,100,149541
0.000000,0.000000,1726714221.026399,513006.000,16497,2,PR,1,100,149554
0.000000,0.000000,1726714221.066399,513046.000,16497,2,PR,1,100,149602
0.000000,0.000000,1726714221.106400,513086.000,16517,3,PR,1,100,149668
0.000000,0.000000,1726714221.146400,513126.000,16517,3,PR,1,100,149722
0.000000,0.000000,1726714221.186400,513166.000,16517,3,PR,1,100,149756
0.000000,0.000000,1726714221.226401,513206.000,16533,3,PR,1,100,149769
0.000000,0.000000,1726714221.266401,513246.000,16533,3,PR,1,100,149777
0.000000,0.000000,1726714221.306402,513286.000,16533,3,PR,1,100,149784
0.000000,0.000000,1726714221.346402,513326.000,16550,2,PR,1,100,149792
0.000000,0.000000,1726714221.386403,513366.000,16550,2,PR,1,100,149810
0.000000,0.000000,1726714221.426403,513406.000,16565,3,PR,1,100,149805
0.000000,0.000000,1726714221.466403,513446.000,16565,3,PR,1,100,149661
0.000000,0.000000,1726714221.506404,513486.000,16565,3,PR,1,100,149429
0.000000,0.000000,1726714221.546404,513526.000,16582,2,PR,1,100,149313
0.000000,0.000000,1726714221.586405,513566.000,16582,2,PR,1,100,149340
0.000000,0.000000,1726714221.626405,513606.000,16598,3,PR,1,100,149460
0.000000,0.000000,1726714221.666406,513646.000,16598,3,PR,1,100,149564
0.000000,0.000000,1726714221.706406,513686.000,16598,3,PR,1,100,149651
0.000000,0.000000,1726714221.746406,513726.000,16617,2,PR,1,100,149672
0.000000,0.000000,1726714221.786407,513766.000,16617,2,PR,1,100,149617
0.000000,0.000000,1726714221.826407,513806.000,16632,3,PR,1,100,149530
0.000000,0.000000,1726714221.866408,513846.000,16632,3,PR,1,100,149495
0.000000,0.000000,1726714221.906408,513886.000,16632,3,PR,1,100,149535
0.000000,0.000000,1726714221.946409,513926.000,16649,2,PR,1,100,149604
0.000000,0.000000,1726714221.986409,513966.000,16649,2,PR,1,100,149675
0.000000,0.000000,1726714222.026409,514006.000,16667,3,PR,1,100,149714
0.000000,0.000000,1726714222.066410,514046.000,16667,3,PR,1,100,149747
0.000000,0.000000,1726714222.106410,514086.000,16667,3,PR,1,100,149757
0.000000,0.000000,1726714222.146411,514126.000,16685,2,PR,1,100,149757
0.000000,0.000000,1726714222.186411,514166.000,16685,2,PR,1,100,149770
0.000000,0.000000,1726714222.226411,514206.000,16699,3,PR,1,100,149782
