LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
0.000000,0.000000,1726713967.008706,258991,40232,1,HR,1,100,104
0.000000,0.000000,1726713967.768714,259751,40350,1,HR,1,100,99
0.000000,0.000000,1726713968.568722,260551,40483,1,HR,1,100,93
0.000000,0.000000,1726713969.808735,261791,40686,1,HR,1,100,83
0.000000,0.000000,1726713971.008748,262991,40884,1,HR,1,100,76
0.000000,0.000000,1726713972.168760,264151,41066,1,HR,1,100,71
0.000000,0.000000,1726713973.048770,265031,41214,1,HR,1,100,70
0.000000,0.000000,1726713973.248772,265231,41250,1,HR,1,100,121
0.000000,0.000000,1726713974.127781,266110,41382,1,HR,1,100,109
0.000000,0.000000,1726713975.447795,267430,41604,1,HR,1,100,95
0.000000,0.000000,1726713976.421806,268404,41753,1,HR,1,100,88
0.000000,0.000000,1726713977.780820,269763,41984,1,HR,1,100,78
0.000000,0.000000,1726713979.100834,271083,42199,1,HR,1,100,71
0.000000,0.000000,1726713980.340847,272323,42404,1,HR,1,100,66
0.000000,0.000000,1726713981.180856,273163,42536,1,HR,1,100,67
0.000000,0.000000,1726713981.380858,273363,42572,1,HR,1,100,119
0.000000,0.000000,1726713982.540870,274523,42752,1,HR,1,100,104
0.000000,0.000000,1726713983.660882,275643,42935,1,HR,1,100,93
0.000000,0.000000,1726713984.580892,276563,43092,1,HR,1,100,87
0.000000,0.000000,1726713985.620903,277603,43256,1,HR,1,100,80
0.000000,0.000000,1726713987.019918,279002,43487,1,HR,1,100,72
0.000000,0.000000,1726713988.299931,280282,43702,1,HR,1,100,66
0.000000,0.000000,1726713989.139940,281122,43834,1,HR,1,100,67
0.000000,0.000000,1726713989.379943,281362,43871,1,HR,1,100,108
0.000000,0.000000,1726713990.193952,282176,44009,1,HR,1,100,101
0.000000,0.000000,1726713990.432954,282415,44043,1,HR,1,100,134
0.000000,0.000000,1726713991.552966,283535,44225,1,HR,1,100,116
0.000000,0.000000,1726713992.712978,284695,44423,1,HR,1,100,102
0.000000,0.000000,1726713993.752989,285735,44589,1,HR,1,100,92
0.000000,0.000000,1726713995.273005,287255,44826,1,HR,1,100,80
0.000000,0.000000,1726713996.633020,288615,45055,1,HR,1,100,72
0.000000,0.000000,1726713997.553030,289535,45205,1,HR,1,100,71
0.000000,0.000000,1726713997.753032,289735,45240,1,HR,1,100,122
0.000000,0.000000,1726713998.953044,290935,45421,1,HR,1,100,106
0.000000,0.000000,1726714000.152057,292134,45609,1,HR,1,100,93
0.000000,0.000000,1726714001.312069,293294,45793,1,HR,1,100,84
0.000000,0.000000,1726714002.192079,294174,45941,1,HR,1,100,81
0.000000,0.000000,1726714002.432081,294414,45992,1,HR,1,100,118
0.000000,0.000000,1726714003.592094,295574,46173,1,HR,1,100,103
0.000000,0.000000,1726714004.885107,296867,46395,1,HR,1,100,91
0.000000,0.000000,1726714006.165121,298147,46594,1,HR,1,100,81
0.000000,0.000000,1726714007.125131,299107,46743,1,HR,1,100,77
0.000000,0.000000,1726714007.365134,299347,46794,1,HR,1,100,115
