LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
0.000000,0.000000,1726713967.008706,258991,40231,1,BI,1,100,600
0.000000,0.000000,1726713967.768714,259751,40349,1,BI,1,100,760
0.000000,0.000000,1726713968.568722,260551,40482,1,BI,1,100,800
0.000000,0.000000,1726713969.808735,261791,40685,1,BI,1,100,1240
0.000000,0.000000,1726713971.008748,262991,40883,1,BI,1,100,1200
0.000000,0.000000,1726713972.168760,264151,41065,1,BI,1,100,1160
0.000000,0.000000,1726713973.048770,265031,41213,1,BI,1,100,880
0.000000,0.000000,1726713973.248772,265231,41249,1,BI,1,100,200
0.000000,0.000000,1726713974.127781,266110,41381,1,BI,1,100,880
0.000000,0.000000,1726713975.447795,267430,41603,1,BI,1,100,1320
0.000000,0.000000,1726713976.421806,268404,41752,1,BI,1,100,960
0.000000,0.000000,1726713977.780820,269763,41983,1,BI,1,100,1360
0.000000,0.000000,1726713979.100834,271083,42198,1,BI,1,100,1320
0.000000,0.000000,1726713980.340847,272323,42403,1,BI,1,100,1240
0.000000,0.000000,1726713981.180856,273163,42535,1,BI,1,100,840
0.000000,0.000000,1726713981.380858,273363,42571,1,BI,1,100,200
0.000000,0.000000,1726713982.540870,274523,42751,1,BI,1,100,1160
0.000000,0.000000,1726713983.660882,275643,42934,1,BI,1,100,1120
0.000000,0.000000,1726713984.580892,276563,43091,1,BI,1,100,920
0.000000,0.000000,1726713985.620903,277603,43255,1,BI,1,100,1040
0.000000,0.000000,1726713987.019918,279002,43486,1,BI,1,100,1400
0.000000,0.000000,1726713988.299931,280282,43701,1,BI,1,100,1280
0.000000,0.000000,1726713989.139940,281122,43833,1,BI,1,100,840
0.000000,0.000000,1726713989.379943,281362,43870,1,BI,1,100,240
0.000000,0.000000,1726713990.193952,282176,44008,1,BI,1,100,800
0.000000,0.000000,1726713990.432954,282415,44042,1,BI,1,100,240
0.000000,0.000000,1726713991.552966,283535,44224,1,BI,1,100,1120
0.000000,0.000000,1726713992.712978,284695,44422,1,BI,1,100,1160
0.000000,0.000000,1726713993.752989,285735,44588,1,BI,1,100,1040
0.000000,0.000000,1726713995.273005,287255,44825,1,BI,1,100,1520
0.000000,0.000000,1726713996.633020,288615,45054,1,BI,1,100,1360
0.000000,0.000000,1726713997.553030,289535,45204,1,BI,1,100,920
0.000000,0.000000,1726713997.753032,289735,45239,1,BI,1,100,200
0.000000,0.000000,1726713998.953044,290935,45420,1,BI,1,100,1200
0.000000,0.000000,1726714000.152057,292134,45608,1,BI,1,100,1200
0.000000,0.000000,1726714001.312069,293294,45792,1,BI,1,100,1160
0.000000,0.000000,1726714002.192079,294174,45940,1,BI,1,100,880
0.000000,0.000000,1726714002.432081,294414,45991,1,BI,1,100,240
0.000000,0.000000,1726714003.592094,295574,46172,1,BI,1,100,1160
0.000000,0.000000,1726714004.885107,296867,46394,1,BI,1,100,1280
0.000000,0.000000,1726714006.165121,298147,46593,1,BI,1,100,1280
0.000000,0.000000,1726714007.125131,299107,46742,1,BI,1,100,960
0.000000,0.000000,1726714007.365134,299347,46793,1,BI,1,100,240
