LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
0.000000,0.000000,1726713967.047706,259030.000,40237,1,EL,1,100,-17564.800781
0.000000,0.000000,1726713967.114207,259096.500,40255,2,EL,1,100,-17565.000000
0.000000,0.000000,1726713967.180708,259163.000,40255,2,EL,1,100,-17565.599609
0.000000,0.000000,1726713967.247708,259230.000,40271,1,EL,1,100,-17566.000000
0.000000,0.000000,1726713967.314209,259296.500,40287,2,EL,1,100,-17566.400391
0.000000,0.000000,1726713967.380710,259363.000,40287,2,EL,1,100,-17566.400391
0.000000,0.000000,1726713967.447710,259430.000,40303,2,EL,1,100,-17567.000000
0.000000,0.000000,1726713967.514711,259497.000,40303,2,EL,1,100,-17567.599609
0.000000,0.000000,1726713967.580712,259563.000,40320,1,EL,1,100,-17568.000000
0.000000,0.000000,1726713967.647212,259629.500,40336,2,EL,1,100,-17568.000000
0.000000,0.000000,1726713967.713713,259696.000,40336,2,EL,1,100,-17569.000000
0.000000,0.000000,1726713967.780714,259763.000,40355,1,EL,1,100,-17569.000000
0.000000,0.000000,1726713967.847215,259829.500,40370,2,EL,1,100,-17569.400391
0.000000,0.000000,1726713967.913715,259896.000,40370,2,EL,1,100,-17569.599609
0.000000,0.000000,1726713967.980716,259963.000,40387,1,EL,1,100,-17570.000000
0.000000,0.000000,1726713968.047217,260029.500,40403,2,EL,1,100,-17570.400391
0.000000,0.000000,1726713968.113717,260096.000,40403,2,EL,1,100,-17570.800781
0.000000,0.000000,1726713968.180718,260163.000,40421,1,EL,1,100,-17571.000000
0.000000,0.000000,1726713968.247219,260229.500,40435,2,EL,1,100,-17571.199219
0.000000,0.000000,1726713968.313720,260296.000,40435,2,EL,1,100,-17571.800781
0.000000,0.000000,1726713968.380720,260363.000,40452,1,EL,1,100,-17572.000000
0.000000,0.000000,1726713968.447221,260429.500,40469,2,EL,1,100,-17572.400391
0.000000,0.000000,1726713968.513722,260496.000,40469,2,EL,1,100,-17572.800781
0.000000,0.000000,1726713968.580722,260563.000,40488,1,EL,1,100,-17573.000000
0.000000,0.000000,1726713968.647223,260629.500,40502,2,EL,1,100,-17573.599609
0.000000,0.000000,1726713968.713724,260696.000,40502,2,EL,1,100,-17573.599609
0.000000,0.000000,1726713968.780725,260763.000,40519,1,EL,1,100,-17574.000000
0.000000,0.000000,1726713968.847225,260829.500,40536,2,EL,1,100,-17574.599609
0.000000,0.000000,1726713968.913726,260896.000,40536,2,EL,1,100,-17575.000000
0.000000,0.000000,1726713968.980727,260963.000,40553,1,EL,1,100,-17575.000000
0.000000,0.000000,1726713969.047227,261029.500,40572,2,EL,1,100,-17575.000000
0.000000,0.000000,1726713969.113728,261096.000,40572,2,EL,1,100,-17575.000000
0.000000,0.000000,1726713969.180729,261163.000,40592,2,EL,1,100,-17576.000000
0.000000,0.000000,1726713969.247729,261230.000,40592,2,EL,1,100,-17576.000000
0.000000,0.000000,1726713969.313730,261296.000,40607,1,EL,1,100,-17576.400391
0.000000,0.000000,1726713969.380731,261363.000,40624,2,EL,1,100,-17576.800781
0.000000,0.000000,1726713969.447732,261430.000,40624,2,EL,1,100,-17577.000000
