RD,TS_received,TS_sent,AK,RoundTrip,
261055,261086,2024-09-18_22-46-09-085929,261087,31,
266172,266185,2024-09-18_22-46-14-196282,266187,13,
271290,271307,2024-09-18_22-46-19-313539,271311,17,
276411,276430,2024-09-18_22-46-24-439728,276432,19,
281529,281550,2024-09-18_22-46-29-557723,281551,21,
286652,286677,2024-09-18_22-46-34-682036,286679,25,
291763,291793,2024-09-18_22-46-39-802555,291795,30,
296890,296909,2024-09-18_22-46-44-917557,296911,19,
302015,302028,2024-09-18_22-46-50-038768,302030,13,
307128,307152,2024-09-18_22-46-55-160789,307153,24,
312256,312274,2024-09-18_22-47-00-283265,312275,18,
317373,317386,2024-09-18_22-47-05-397169,317387,13,
322489,322508,2024-09-18_22-47-10-518122,322509,19,
327599,327615,2024-09-18_22-47-15-624374,327616,16,
332710,332721,2024-09-18_22-47-20-732555,332722,11,
337832,337846,2024-09-18_22-47-25-857108,337847,14,
342952,342977,2024-09-18_22-47-30-983993,342979,25,
348073,348123,2024-09-18_22-47-36-134585,348124,50,
353203,353218,2024-09-18_22-47-41-228252,353222,15,
358312,358335,2024-09-18_22-47-46-346797,358336,23,
363422,363436,2024-09-18_22-47-51-446744,363437,14,
368537,368555,2024-09-18_22-47-56-564653,368556,18,
373647,373663,2024-09-18_22-48-01-675180,373664,16,
378772,378794,2024-09-18_22-48-06-798159,378795,22,
383894,383913,2024-09-18_22-48-11-921673,383914,19,
389007,389033,2024-09-18_22-48-17-041111,389034,26,
394132,394152,2024-09-18_22-48-22-159542,394154,20,
399241,399265,2024-09-18_22-48-27-268094,399267,24,
404352,404370,2024-09-18_22-48-32-378012,404371,18,
409471,409487,2024-09-18_22-48-37-500430,409489,16,
414597,414625,2024-09-18_22-48-42-626764,414626,28,
419704,419723,2024-09-18_22-48-47-730031,419724,19,
424838,424857,2024-09-18_22-48-52-867837,424858,19,
429950,429967,2024-09-18_22-48-57-980256,429968,17,
435056,435071,2024-09-18_22-49-03-084239,435072,15,
440164,440180,2024-09-18_22-49-08-191192,440181,16,
445289,445308,2024-09-18_22-49-13-319020,445309,19,
450392,450413,2024-09-18_22-49-18-422849,450414,21,
455499,455521,2024-09-18_22-49-23-529621,455522,22,
460641,460655,2024-09-18_22-49-28-668693,460657,14,
465748,465763,2024-09-18_22-49-33-775469,465765,15,
470857,470886,2024-09-18_22-49-38-896230,470890,29,
475998,476024,2024-09-18_22-49-44-033340,476025,26,
481105,481118,2024-09-18_22-49-49-131152,481119,13,
486218,486236,2024-09-18_22-49-54-245597,486237,18,
491346,491359,2024-09-18_22-49-59-371385,491361,13,
496454,496470,2024-09-18_22-50-04-482978,496471,16,
501561,501581,2024-09-18_22-50-09-589366,501582,20,
506669,506692,2024-09-18_22-50-14-701105,506693,23,
511801,511821,2024-09-18_22-50-19-834332,511822,20,
516909,516927,2024-09-18_22-50-24-939710,516928,18,
522039,522054,2024-09-18_22-50-30-067322,522055,15,
527152,527168,2024-09-18_22-50-35-180354,527170,16,
532260,532276,2024-09-18_22-50-40-287319,532277,16,
537366,537379,2024-09-18_22-50-45-393624,537382,13,
542478,542497,2024-09-18_22-50-50-505235,542498,19,
547605,547630,2024-09-18_22-50-55-638227,547632,25,
552712,552729,2024-09-18_22-51-00-741755,552730,17,
557820,557832,2024-09-18_22-51-05-846874,557834,12,
