LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
0.000000,0.000000,1726713969.146728,261129.000,40584,1,BV,1,100,3.66
0.000000,0.000000,1726713974.146781,266129.000,41399,1,BV,1,100,3.66
0.000000,0.000000,1726713979.145834,271128.000,42214,1,BV,1,100,3.66
0.000000,0.000000,1726713984.145887,276128.000,43033,1,BV,1,100,3.66
0.000000,0.000000,1726713989.144940,281127.000,43852,1,BV,1,100,3.66
0.000000,0.000000,1726713994.144993,286127.000,44670,1,BV,1,100,3.66
0.000000,0.000000,1726713999.144046,291126.000,45472,1,BV,1,100,3.66
0.000000,0.000000,1726714004.144099,296126.000,46272,1,BV,1,100,3.66
0.000000,0.000000,1726714009.143152,301125.000,47093,1,BV,1,100,3.66
0.000000,0.000000,1726714014.143205,306125.000,47910,1,BV,1,100,3.66
0.000000,0.000000,1726714019.142258,311124.000,48734,1,BV,1,100,3.65
0.000000,0.000000,1726714024.142311,316124.000,49554,1,BV,1,100,3.66
0.000000,0.000000,1726714029.141364,321123.000,50360,1,BV,1,100,3.66
0.000000,0.000000,1726714034.141417,326123.000,51181,1,BV,1,100,3.66
0.000000,0.000000,1726714039.140470,331122.000,51990,1,BV,1,100,3.66
0.000000,0.000000,1726714044.140523,336122.000,52808,1,BV,1,100,3.66
0.000000,0.000000,1726714049.139576,341121.000,53633,1,BV,1,100,3.66
0.000000,0.000000,1726714054.139629,346121.000,54455,1,BV,1,100,3.66
0.000000,0.000000,1726714059.138682,351120.000,55260,1,BV,1,100,3.65
0.000000,0.000000,1726714064.138735,356120.000,56087,1,BV,1,100,3.65
0.000000,0.000000,1726714069.137788,361119.000,56912,1,BV,1,100,3.65
0.000000,0.000000,1726714074.137841,366119.000,57721,1,BV,1,100,3.65
0.000000,0.000000,1726714079.136894,371118.000,58549,1,BV,1,100,3.65
0.000000,0.000000,1726714084.136947,376118.000,59374,1,BV,1,100,3.65
0.000000,0.000000,1726714089.136000,381117.000,60199,1,BV,1,100,3.65
0.000000,0.000000,1726714094.136054,386117.000,61010,1,BV,1,100,3.65
0.000000,0.000000,1726714099.135107,391116.000,61840,1,BV,1,100,3.65
0.000000,0.000000,1726714104.135160,396116.000,62647,1,BV,1,100,3.65
0.000000,0.000000,1726714109.134213,401115.000,63478,1,BV,1,100,3.66
0.000000,0.000000,1726714114.134266,406115.000,64305,1,BV,1,100,3.66
0.000000,0.000000,1726714119.133319,411114.000,65132,1,BV,1,100,3.65
0.000000,0.000000,1726714124.133372,416114.000,420,1,BV,1,100,3.65
0.000000,0.000000,1726714129.132425,421113.000,1251,1,BV,1,100,3.66
0.000000,0.000000,1726714134.132478,426113.000,2076,1,BV,1,100,3.66
0.000000,0.000000,1726714139.131531,431112.000,2904,1,BV,1,100,3.65
0.000000,0.000000,1726714144.131584,436112.000,3731,1,BV,1,100,3.65
0.000000,0.000000,1726714149.130637,441111.000,4575,1,BV,1,100,3.66
0.000000,0.000000,1726714154.130690,446111.000,5404,1,BV,1,100,3.65
0.000000,0.000000,1726714159.129743,451110.000,6226,1,BV,1,100,3.65
0.000000,0.000000,1726714164.129796,456110.000,7054,1,BV,1,100,3.65
0.000000,0.000000,1726714169.128849,461109.000,7900,1,BV,1,100,3.65
0.000000,0.000000,1726714174.128902,466109.000,8709,1,BV,1,100,3.65
0.000000,0.000000,1726714179.127955,471108.000,9555,1,BV,1,100,3.65
0.000000,0.000000,1726714184.128008,476108.000,10382,1,BV,1,100,3.65
0.000000,0.000000,1726714189.127061,481107.000,11206,1,BV,1,100,3.65
0.000000,0.000000,1726714194.127114,486107.000,12029,1,BV,1,100,3.65
0.000000,0.000000,1726714199.126167,491106.000,12857,1,BV,1,100,3.65
0.000000,0.000000,1726714204.126220,496106.000,13703,1,BV,1,100,3.65
0.000000,0.000000,1726714209.125273,501105.000,14532,1,BV,1,100,3.65
0.000000,0.000000,1726714214.125326,506105.000,15360,1,BV,1,100,3.65
0.000000,0.000000,1726714219.124379,511104.000,16189,1,BV,1,100,3.65
0.000000,0.000000,1726714224.124432,516104.000,17014,1,BV,1,100,3.65
0.000000,0.000000,1726714229.123485,521103.000,17854,1,BV,1,100,3.64
0.000000,0.000000,1726714234.123538,526103.000,18681,1,BV,1,100,3.65
0.000000,0.000000,1726714239.122591,531102.000,19513,1,BV,1,100,3.65
0.000000,0.000000,1726714244.122644,536102.000,20335,1,BV,1,100,3.65
0.000000,0.000000,1726714249.121697,541101.000,21162,1,BV,1,100,3.65
0.000000,0.000000,1726714254.121750,546101.000,21985,1,BV,1,100,3.65
0.000000,0.000000,1726714259.120803,551100.000,22800,1,BV,1,100,3.65
0.000000,0.000000,1726714264.120856,556100.000,23642,1,BV,1,100,3.65
0.000000,0.000000,1726714269.119909,561099.000,24469,1,BV,1,100,3.64
