LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
0.000000,0.000000,1726713969.072728,261055.000,40565,2,RD,1,100,TL
0.000000,0.000000,1726713969.072728,261055.000,40565,2,RD,1,100,TU
0.000000,0.000000,1726713971.631255,263613.500,41403,2,RD,1,100,TL
0.000000,0.000000,1726713974.189782,266172.000,41403,2,RD,1,100,TU
0.000000,0.000000,1726713976.748809,268731.000,42235,2,RD,1,100,TL
0.000000,0.000000,1726713979.307836,271290.000,42235,2,RD,1,100,TU
0.000000,0.000000,1726713981.868363,273850.500,43070,2,RD,1,100,TL
0.000000,0.000000,1726713984.428890,276411.000,43070,2,RD,1,100,TU
0.000000,0.000000,1726713986.987918,278970.000,43905,2,RD,1,100,TL
0.000000,0.000000,1726713989.546945,281529.000,43905,2,RD,1,100,TU
0.000000,0.000000,1726713992.108472,284090.500,44739,2,RD,1,100,TL
0.000000,0.000000,1726713994.669999,286652.000,44739,2,RD,1,100,TU
0.000000,0.000000,1726713997.225526,289207.500,45556,2,RD,1,100,TL
0.000000,0.000000,1726713999.781053,291763.000,45556,2,RD,1,100,TU
0.000000,0.000000,1726714002.344580,294326.500,46390,2,RD,1,100,TL
0.000000,0.000000,1726714004.908108,296890.000,46390,2,RD,1,100,TU
0.000000,0.000000,1726714007.470635,299452.500,47229,2,RD,1,100,TL
0.000000,0.000000,1726714010.033162,302015.000,47229,2,RD,1,100,TU
0.000000,0.000000,1726714012.589689,304571.500,48062,2,RD,1,100,TL
0.000000,0.000000,1726714015.146216,307128.000,48062,2,RD,1,100,TU
0.000000,0.000000,1726714017.710243,309692.000,48902,2,RD,1,100,TL
0.000000,0.000000,1726714020.274270,312256.000,48902,2,RD,1,100,TU
0.000000,0.000000,1726714022.832798,314814.500,49743,2,RD,1,100,TL
0.000000,0.000000,1726714025.391325,317373.000,49743,2,RD,1,100,TU
0.000000,0.000000,1726714027.949352,319931.000,50580,2,RD,1,100,TL
0.000000,0.000000,1726714030.507379,322489.000,50580,2,RD,1,100,TU
