LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714110.462893,402443.667,63690,3,AZ,1,100,-0.331
0.000000,0.000000,1726714110.503227,402484.000,63690,3,AZ,1,100,-0.344
0.000000,0.000000,1726714110.543227,402524.000,63704,2,AZ,1,100,-0.330
0.000000,0.000000,1726714110.583228,402564.000,63704,2,AZ,1,100,-0.344
0.000000,0.000000,1726714110.623228,402604.000,63721,3,AZ,1,100,-0.332
0.000000,0.000000,1726714110.663229,402644.000,63721,3,AZ,1,100,-0.333
0.000000,0.000000,1726714110.703229,402684.000,63721,3,AZ,1,100,-0.341
0.000000,0.000000,1726714110.743230,402724.000,63737,2,AZ,1,100,-0.334
0.000000,0.000000,1726714110.783230,402764.000,63737,2,AZ,1,100,-0.345
0.000000,0.000000,1726714110.823230,402804.000,63755,3,AZ,1,100,-0.331
0.000000,0.000000,1726714110.863231,402844.000,63755,3,AZ,1,100,-0.335
0.000000,0.000000,1726714110.903231,402884.000,63755,3,AZ,1,100,-0.337
0.000000,0.000000,1726714110.942732,402923.500,63771,2,AZ,1,100,-0.339
0.000000,0.000000,1726714110.982232,402963.000,63771,2,AZ,1,100,-0.338
0.000000,0.000000,1726714111.022233,403003.000,63788,3,AZ,1,100,-0.337
0.000000,0.000000,1726714111.062233,403043.000,63788,3,AZ,1,100,-0.336
0.000000,0.000000,1726714111.102233,403083.000,63788,3,AZ,1,100,-0.337
0.000000,0.000000,1726714111.142734,403123.500,63807,2,AZ,1,100,-0.336
0.000000,0.000000,1726714111.183234,403164.000,63807,2,AZ,1,100,-0.335
0.000000,0.000000,1726714111.223235,403204.000,63824,3,AZ,1,100,-0.335
0.000000,0.000000,1726714111.263235,403244.000,63824,3,AZ,1,100,-0.336
0.000000,0.000000,1726714111.303236,403284.000,63824,3,AZ,1,100,-0.338
0.000000,0.000000,1726714111.343236,403324.000,63838,2,AZ,1,100,-0.336
0.000000,0.000000,1726714111.383236,403364.000,63838,2,AZ,1,100,-0.334
0.000000,0.000000,1726714111.427237,403408.000,63856,3,AZ,1,100,-0.333
