LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726713989.645946,281628.000,43909,1,SF,1,100,10.7859
0.000000,0.000000,1726713989.845948,281828.000,43943,1,SF,1,100,10.6612
0.000000,0.000000,1726713990.245952,282228.000,44010,1,SF,1,100,10.5378
0.000000,0.000000,1726713990.511955,282494.000,44060,1,SF,1,100,10.4159
0.000000,0.000000,1726713990.844958,282827.000,44110,1,SF,1,100,10.2954
0.000000,0.000000,1726713991.178962,283161.000,44159,1,SF,1,100,10.1763
0.000000,0.000000,1726713991.578966,283561.000,44226,1,SF,1,100,10.0586
0.000000,0.000000,1726713991.844969,283827.000,44275,1,SF,1,100,9.9423
0.000000,0.000000,1726713992.178973,284161.000,44323,1,SF,1,100,9.8272
0.000000,0.000000,1726713992.578977,284561.000,44388,1,SF,1,100,9.7136
0.000000,0.000000,1726713992.844980,284827.000,44441,1,SF,1,100,9.6012
0.000000,0.000000,1726713993.178983,285161.000,44489,1,SF,1,100,9.4901
0.000000,0.000000,1726713993.511987,285494.000,44538,1,SF,1,100,9.3803
0.000000,0.000000,1726713993.911991,285894.000,44605,1,SF,1,100,9.2718
0.000000,0.000000,1726713994.177994,286160.000,44655,1,SF,1,100,9.1646
0.000000,0.000000,1726713994.511997,286494.000,44706,1,SF,1,100,9.0586
0.000000,0.000000,1726713994.845001,286827.000,44759,1,SF,1,100,8.9538
0.000000,0.000000,1726713995.178004,287160.000,44808,1,SF,1,100,8.8502
0.000000,0.000000,1726713995.578009,287560.000,44875,1,SF,1,100,8.7478
0.000000,0.000000,1726713995.845011,287827.000,44923,1,SF,1,100,8.6466
0.000000,0.000000,1726713996.178015,288160.000,44972,1,SF,1,100,8.5466
0.000000,0.000000,1726713996.578019,288560.000,45038,1,SF,1,100,8.4477
0.000000,0.000000,1726713996.912023,288894.000,45089,1,SF,1,100,8.3500
0.000000,0.000000,1726713997.178026,289160.000,45138,1,SF,1,100,8.2534
0.000000,0.000000,1726713997.511029,289493.000,45186,1,SF,1,100,8.1579
0.000000,0.000000,1726713997.911033,289893.000,45255,1,SF,1,100,8.0636
0.000000,0.000000,1726713998.178036,290160.000,45306,1,SF,1,100,7.9703
0.000000,0.000000,1726713998.511040,290493.000,45354,1,SF,1,100,7.8781
0.000000,0.000000,1726713998.845043,290827.000,45403,1,SF,1,100,7.7869
0.000000,0.000000,1726713999.178047,291160.000,45455,1,SF,1,100,7.6969
0.000000,0.000000,1726713999.578051,291560.000,45522,1,SF,1,100,7.6078
0.000000,0.000000,1726713999.845054,291827.000,45560,1,SF,1,100,7.5198
0.000000,0.000000,1726714000.178057,292160.000,45610,1,SF,1,100,7.4328
0.000000,0.000000,1726714000.578062,292560.000,45675,1,SF,1,100,7.3468
0.000000,0.000000,1726714000.845064,292827.000,45726,1,SF,1,100,7.2619
0.000000,0.000000,1726714001.178068,293160.000,45774,1,SF,1,100,7.1779
0.000000,0.000000,1726714001.511072,293493.000,45825,1,SF,1,100,7.0948
0.000000,0.000000,1726714001.911076,293893.000,45890,1,SF,1,100,7.0127
0.000000,0.000000,1726714002.178079,294160.000,45942,1,SF,1,100,6.9316
0.000000,0.000000,1726714002.511082,294493.000,45993,1,SF,1,100,6.8514
0.000000,0.000000,1726714002.911086,294893.000,46058,1,SF,1,100,6.7722
0.000000,0.000000,1726714003.178089,295160.000,46106,1,SF,1,100,6.6938
0.000000,0.000000,1726714003.511093,295493.000,46157,1,SF,1,100,6.6164
0.000000,0.000000,1726714003.844096,295826.000,46207,1,SF,1,100,6.5399
0.000000,0.000000,1726714004.244100,296226.000,46274,1,SF,1,100,6.4642
0.000000,0.000000,1726714004.511103,296493.000,46323,1,SF,1,100,6.3894
