LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
0.000000,0.000000,1726713967.040706,259023.000,40238,1,T1,1,100,33.569
0.000000,0.000000,1726713967.173707,259156.000,40256,1,T1,1,100,33.636
0.000000,0.000000,1726713967.307709,259290.000,40272,1,T1,1,100,33.594
0.000000,0.000000,1726713967.440710,259423.000,40304,1,T1,1,100,33.576
0.000000,0.000000,1726713967.573712,259556.000,40321,1,T1,1,100,33.533
0.000000,0.000000,1726713967.707713,259690.000,40337,1,T1,1,100,33.514
0.000000,0.000000,1726713967.840715,259823.000,40371,1,T1,1,100,33.506
0.000000,0.000000,1726713967.973716,259956.000,40388,1,T1,1,100,33.538
0.000000,0.000000,1726713968.107717,260090.000,40404,1,T1,1,100,33.552
0.000000,0.000000,1726713968.240719,260223.000,40436,1,T1,1,100,33.487
0.000000,0.000000,1726713968.373720,260356.000,40453,1,T1,1,100,33.565
0.000000,0.000000,1726713968.507722,260490.000,40470,1,T1,1,100,33.599
0.000000,0.000000,1726713968.640723,260623.000,40503,1,T1,1,100,33.472
0.000000,0.000000,1726713968.773724,260756.000,40520,1,T1,1,100,33.736
0.000000,0.000000,1726713968.907726,260890.000,40537,1,T1,1,100,33.638
0.000000,0.000000,1726713969.040727,261023.000,40573,2,T1,1,100,33.666
0.000000,0.000000,1726713969.173729,261156.000,40573,2,T1,1,100,33.643
0.000000,0.000000,1726713969.307730,261290.000,40608,1,T1,1,100,33.633
0.000000,0.000000,1726713969.440732,261423.000,40625,1,T1,1,100,33.593
0.000000,0.000000,1726713969.573733,261556.000,40642,1,T1,1,100,33.647
0.000000,0.000000,1726713969.707734,261690.000,40673,1,T1,1,100,33.670
0.000000,0.000000,1726713969.840736,261823.000,40693,1,T1,1,100,33.538
0.000000,0.000000,1726713969.973737,261956.000,40709,1,T1,1,100,33.623
0.000000,0.000000,1726713970.107739,262090.000,40741,1,T1,1,100,33.624
0.000000,0.000000,1726713970.240740,262223.000,40758,1,T1,1,100,33.589
0.000000,0.000000,1726713970.373741,262356.000,40774,1,T1,1,100,33.609
0.000000,0.000000,1726713970.506743,262489.000,40806,1,T1,1,100,33.547
0.000000,0.000000,1726713970.640744,262623.000,40823,1,T1,1,100,33.556
0.000000,0.000000,1726713970.773746,262756.000,40839,1,T1,1,100,33.666
0.000000,0.000000,1726713970.906747,262889.000,40871,1,T1,1,100,33.607
0.000000,0.000000,1726713971.040748,263023.000,40890,1,T1,1,100,33.582
0.000000,0.000000,1726713971.173750,263156.000,40907,1,T1,1,100,33.713
0.000000,0.000000,1726713971.306751,263289.000,40924,1,T1,1,100,33.663
0.000000,0.000000,1726713971.440753,263423.000,40956,1,T1,1,100,33.571
0.000000,0.000000,1726713971.573754,263556.000,40972,1,T1,1,100,33.637
0.000000,0.000000,1726713971.706756,263689.000,40989,1,T1,1,100,33.630
0.000000,0.000000,1726713971.840757,263823.000,41021,1,T1,1,100,33.663
0.000000,0.000000,1726713971.973758,263956.000,41037,1,T1,1,100,33.606
0.000000,0.000000,1726713972.106760,264089.000,41054,1,T1,1,100,33.759
0.000000,0.000000,1726713972.240761,264223.000,41088,1,T1,1,100,33.683
0.000000,0.000000,1726713972.373763,264356.000,41104,1,T1,1,100,33.615
0.000000,0.000000,1726713972.506764,264489.000,41122,1,T1,1,100,33.691
0.000000,0.000000,1726713972.639765,264622.000,41153,1,T1,1,100,33.654
0.000000,0.000000,1726713972.773767,264756.000,41169,1,T1,1,100,33.637
0.000000,0.000000,1726713972.906768,264889.000,41187,1,T1,1,100,33.666
0.000000,0.000000,1726713973.040770,265023.000,41220,1,T1,1,100,33.643
0.000000,0.000000,1726713973.173771,265156.000,41237,1,T1,1,100,33.704
0.000000,0.000000,1726713973.306773,265289.000,41256,1,T1,1,100,33.730
0.000000,0.000000,1726713973.440774,265423.000,41288,1,T1,1,100,33.670
0.000000,0.000000,1726713973.573775,265556.000,41304,1,T1,1,100,33.751
0.000000,0.000000,1726713973.706777,265689.000,41321,1,T1,1,100,33.786
0.000000,0.000000,1726713973.839778,265822.000,41337,1,T1,1,100,33.801
0.000000,0.000000,1726713973.973780,265956.000,41369,1,T1,1,100,33.737
0.000000,0.000000,1726713974.106781,266089.000,41388,1,T1,1,100,33.815
0.000000,0.000000,1726713974.239782,266222.000,41413,1,T1,1,100,33.707
0.000000,0.000000,1726713974.373784,266356.000,41429,1,T1,1,100,33.767
0.000000,0.000000,1726713974.506785,266489.000,41461,1,T1,1,100,33.757
0.000000,0.000000,1726713974.639787,266622.000,41478,1,T1,1,100,33.718
0.000000,0.000000,1726713974.773788,266756.000,41494,1,T1,1,100,33.736
0.000000,0.000000,1726713974.906789,266889.000,41526,1,T1,1,100,33.744
0.000000,0.000000,1726713975.039791,267022.000,41543,1,T1,1,100,33.676
0.000000,0.000000,1726713975.173792,267156.000,41560,1,T1,1,100,33.612
0.000000,0.000000,1726713975.306794,267289.000,41577,1,T1,1,100,33.726
0.000000,0.000000,1726713975.439795,267422.000,41610,1,T1,1,100,33.704
0.000000,0.000000,1726713975.573797,267556.000,41627,1,T1,1,100,33.659
0.000000,0.000000,1726713975.706798,267689.000,41644,1,T1,1,100,33.711
0.000000,0.000000,1726713975.839799,267822.000,41676,1,T1,1,100,33.768
0.000000,0.000000,1726713975.973801,267956.000,41692,1,T1,1,100,33.616
0.000000,0.000000,1726713976.106802,268089.000,41709,1,T1,1,100,33.763
