LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
0.000000,0.000000,1726713970.078988,262061.250,40752,4,EM,1,100,RS
0.000000,0.000000,1726713970.129239,262111.500,40752,4,EM,1,100,RB
0.000000,0.000000,1726713970.179489,262161.750,40752,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713970.229740,262212.000,40752,4,EM,1,100,PS
0.000000,0.000000,1726713970.280240,262262.500,40785,4,EM,1,100,RS
0.000000,0.000000,1726713970.330741,262313.000,40785,4,EM,1,100,RB
0.000000,0.000000,1726713970.381241,262363.500,40785,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713970.431742,262414.000,40785,4,EM,1,100,PS
0.000000,0.000000,1726713970.482743,262465.000,40817,4,EM,1,100,RS
0.000000,0.000000,1726713970.533743,262516.000,40817,4,EM,1,100,RB
0.000000,0.000000,1726713970.584744,262567.000,40817,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713970.635744,262618.000,40817,4,EM,1,100,PS
0.000000,0.000000,1726713970.686245,262668.500,40850,4,EM,1,100,RS
0.000000,0.000000,1726713970.736745,262719.000,40850,4,EM,1,100,RB
0.000000,0.000000,1726713970.787246,262769.500,40850,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713970.837746,262820.000,40850,4,EM,1,100,PS
0.000000,0.000000,1726713970.888747,262871.000,40882,4,EM,1,100,RS
0.000000,0.000000,1726713970.939747,262922.000,40882,4,EM,1,100,RB
0.000000,0.000000,1726713970.990748,262973.000,40882,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713971.041748,263024.000,40882,4,EM,1,100,PS
0.000000,0.000000,1726713971.092249,263074.500,40918,4,EM,1,100,RS
0.000000,0.000000,1726713971.142750,263125.000,40918,4,EM,1,100,RB
0.000000,0.000000,1726713971.193250,263175.500,40918,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713971.243751,263226.000,40918,4,EM,1,100,PS
0.000000,0.000000,1726713971.294001,263276.250,40949,4,EM,1,100,RS
0.000000,0.000000,1726713971.344252,263326.500,40949,4,EM,1,100,RB
0.000000,0.000000,1726713971.394502,263376.750,40949,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713971.444753,263427.000,40949,4,EM,1,100,PS
0.000000,0.000000,1726713971.495003,263477.250,40983,4,EM,1,100,RS
0.000000,0.000000,1726713971.545254,263527.500,40983,4,EM,1,100,RB
0.000000,0.000000,1726713971.595504,263577.750,40983,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713971.645755,263628.000,40983,4,EM,1,100,PS
0.000000,0.000000,1726713971.696755,263679.000,41014,4,EM,1,100,RS
0.000000,0.000000,1726713971.747756,263730.000,41014,4,EM,1,100,RB
0.000000,0.000000,1726713971.798757,263781.000,41014,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713971.849757,263832.000,41014,4,EM,1,100,PS
0.000000,0.000000,1726713971.902008,263884.250,41048,4,EM,1,100,RS
0.000000,0.000000,1726713971.954258,263936.500,41048,4,EM,1,100,RB
0.000000,0.000000,1726713972.006509,263988.750,41048,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713972.058759,264041.000,41048,4,EM,1,100,PS
0.000000,0.000000,1726713972.113760,264096.000,41082,4,EM,1,100,RS
0.000000,0.000000,1726713972.168760,264151.000,41082,4,EM,1,100,RB
0.000000,0.000000,1726713972.223761,264206.000,41082,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713972.278762,264261.000,41082,4,EM,1,100,PS
0.000000,0.000000,1726713972.328762,264311.000,41115,4,EM,1,100,RS
0.000000,0.000000,1726713972.378763,264361.000,41115,4,EM,1,100,RB
0.000000,0.000000,1726713972.428763,264411.000,41115,4,EM,1,100,2024-09-18_22-46-06-359329.csv
