LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
0.000000,0.000000,1726714126.314395,418295.000,772,3,MX,1,100,-19
0.000000,0.000000,1726714126.354395,418335.000,788,3,MX,1,100,-19
0.000000,0.000000,1726714126.394395,418375.000,788,3,MX,1,100,-19
0.000000,0.000000,1726714126.434396,418415.000,788,3,MX,1,100,-19
0.000000,0.000000,1726714126.474396,418455.000,806,2,MX,1,100,-19
0.000000,0.000000,1726714126.514397,418495.000,806,2,MX,1,100,-19
0.000000,0.000000,1726714126.554397,418535.000,822,3,MX,1,100,-19
0.000000,0.000000,1726714126.594398,418575.000,822,3,MX,1,100,-19
0.000000,0.000000,1726714126.634398,418615.000,822,3,MX,1,100,-19
0.000000,0.000000,1726714126.674398,418655.000,837,2,MX,1,100,-20
0.000000,0.000000,1726714126.714399,418695.000,837,2,MX,1,100,-19
0.000000,0.000000,1726714126.754399,418735.000,854,3,MX,1,100,-19
0.000000,0.000000,1726714126.794400,418775.000,854,3,MX,1,100,-18
0.000000,0.000000,1726714126.834400,418815.000,854,3,MX,1,100,-20
0.000000,0.000000,1726714126.874401,418855.000,873,2,MX,1,100,-19
0.000000,0.000000,1726714126.914401,418895.000,873,2,MX,1,100,-19
0.000000,0.000000,1726714126.954401,418935.000,889,3,MX,1,100,-19
0.000000,0.000000,1726714126.994402,418975.000,889,3,MX,1,100,-18
0.000000,0.000000,1726714127.034402,419015.000,889,3,MX,1,100,-19
0.000000,0.000000,1726714127.074403,419055.000,904,2,MX,1,100,-20
0.000000,0.000000,1726714127.114403,419095.000,904,2,MX,1,100,-20
0.000000,0.000000,1726714127.154404,419135.000,923,3,MX,1,100,-18
0.000000,0.000000,1726714127.194404,419175.000,923,3,MX,1,100,-19
0.000000,0.000000,1726714127.234404,419215.000,923,3,MX,1,100,-19
0.000000,0.000000,1726714127.274405,419255.000,940,2,MX,1,100,-19
0.000000,0.000000,1726714127.314405,419295.000,940,2,MX,1,100,-18
0.000000,0.000000,1726714127.354406,419335.000,956,3,MX,1,100,-19
0.000000,0.000000,1726714127.394406,419375.000,956,3,MX,1,100,-20
0.000000,0.000000,1726714127.434407,419415.000,956,3,MX,1,100,-20
0.000000,0.000000,1726714127.474407,419455.000,972,2,MX,1,100,-19
0.000000,0.000000,1726714127.514407,419495.000,972,2,MX,1,100,-19
0.000000,0.000000,1726714127.554408,419535.000,988,3,MX,1,100,-19
0.000000,0.000000,1726714127.594408,419575.000,988,3,MX,1,100,-19
0.000000,0.000000,1726714127.634409,419615.000,988,3,MX,1,100,-19
0.000000,0.000000,1726714127.674409,419655.000,1010,3,MX,1,100,-18
0.000000,0.000000,1726714127.714409,419695.000,1010,3,MX,1,100,-19
0.000000,0.000000,1726714127.754410,419735.000,1010,3,MX,1,100,-19
0.000000,0.000000,1726714127.794410,419775.000,1029,2,MX,1,100,-19
0.000000,0.000000,1726714127.834411,419815.000,1029,2,MX,1,100,-19
0.000000,0.000000,1726714127.874411,419855.000,1044,3,MX,1,100,-19
0.000000,0.000000,1726714127.914412,419895.000,1044,3,MX,1,100,-19
0.000000,0.000000,1726714127.954412,419935.000,1044,3,MX,1,100,-19
0.000000,0.000000,1726714127.993912,419974.500,1060,2,MX,1,100,-19
0.000000,0.000000,1726714128.033413,420014.000,1060,2,MX,1,100,-19
0.000000,0.000000,1726714128.073747,420054.333,1079,3,MX,1,100,-19
0.000000,0.000000,1726714128.114080,420094.667,1079,3,MX,1,100,-19
0.000000,0.000000,1726714128.154414,420135.000,1079,3,MX,1,100,-19
0.000000,0.000000,1726714128.194415,420175.000,1096,2,MX,1,100,-19
0.000000,0.000000,1726714128.234415,420215.000,1096,2,MX,1,100,-19
0.000000,0.000000,1726714128.274415,420255.000,1112,3,MX,1,100,-19
0.000000,0.000000,1726714128.314416,420295.000,1112,3,MX,1,100,-20
0.000000,0.000000,1726714128.354416,420335.000,1112,3,MX,1,100,-20
0.000000,0.000000,1726714128.393917,420374.500,1127,2,MX,1,100,-19
0.000000,0.000000,1726714128.433417,420414.000,1127,2,MX,1,100,-20
0.000000,0.000000,1726714128.473418,420454.000,1145,3,MX,1,100,-19
0.000000,0.000000,1726714128.513418,420494.000,1145,3,MX,1,100,-18
0.000000,0.000000,1726714128.553418,420534.000,1145,3,MX,1,100,-19
0.000000,0.000000,1726714128.593419,420574.000,1161,2,MX,1,100,-19
0.000000,0.000000,1726714128.633419,420614.000,1161,2,MX,1,100,-20
0.000000,0.000000,1726714128.673420,420654.000,1180,3,MX,1,100,-19
0.000000,0.000000,1726714128.713420,420694.000,1180,3,MX,1,100,-19
0.000000,0.000000,1726714128.753421,420734.000,1180,3,MX,1,100,-19
0.000000,0.000000,1726714128.793421,420774.000,1195,2,MX,1,100,-18
0.000000,0.000000,1726714128.833421,420814.000,1195,2,MX,1,100,-19
0.000000,0.000000,1726714128.873422,420854.000,1214,3,MX,1,100,-19
0.000000,0.000000,1726714128.913422,420894.000,1214,3,MX,1,100,-18
0.000000,0.000000,1726714128.953423,420934.000,1214,3,MX,1,100,-19
0.000000,0.000000,1726714128.993423,420974.000,1230,2,MX,1,100,-18
0.000000,0.000000,1726714129.033423,421014.000,1230,2,MX,1,100,-19
0.000000,0.000000,1726714129.073424,421054.000,1248,3,MX,1,100,-18
0.000000,0.000000,1726714129.113424,421094.000,1248,3,MX,1,100,-20
0.000000,0.000000,1726714129.153425,421134.000,1248,3,MX,1,100,-19
0.000000,0.000000,1726714129.193425,421174.000,1264,3,MX,1,100,-19
0.000000,0.000000,1726714129.233426,421214.000,1264,3,MX,1,100,-19
0.000000,0.000000,1726714129.273426,421254.000,1264,3,MX,1,100,-19
0.000000,0.000000,1726714129.313426,421294.000,1281,2,MX,1,100,-19
0.000000,0.000000,1726714129.353427,421334.000,1281,2,MX,1,100,-20
0.000000,0.000000,1726714129.393427,421374.000,1297,3,MX,1,100,-18
0.000000,0.000000,1726714129.433428,421414.000,1297,3,MX,1,100,-19
0.000000,0.000000,1726714129.473428,421454.000,1297,3,MX,1,100,-19
0.000000,0.000000,1726714129.513429,421494.000,1315,2,MX,1,100,-19
0.000000,0.000000,1726714129.553429,421534.000,1315,2,MX,1,100,-19
0.000000,0.000000,1726714129.593429,421574.000,1331,3,MX,1,100,-19
0.000000,0.000000,1726714129.633430,421614.000,1331,3,MX,1,100,-18
0.000000,0.000000,1726714129.673430,421654.000,1331,3,MX,1,100,-19
0.000000,0.000000,1726714129.713431,421694.000,1348,2,MX,1,100,-19
0.000000,0.000000,1726714129.753431,421734.000,1348,2,MX,1,100,-20
0.000000,0.000000,1726714129.793432,421774.000,1365,3,MX,1,100,-19
0.000000,0.000000,1726714129.833432,421814.000,1365,3,MX,1,100,-19
0.000000,0.000000,1726714129.873432,421854.000,1365,3,MX,1,100,-19
0.000000,0.000000,1726714129.913433,421894.000,1384,2,MX,1,100,-20
0.000000,0.000000,1726714129.953433,421934.000,1384,2,MX,1,100,-18
0.000000,0.000000,1726714129.993434,421974.000,1398,3,MX,1,100,-17
0.000000,0.000000,1726714130.033434,422014.000,1398,3,MX,1,100,-19
0.000000,0.000000,1726714130.073435,422054.000,1398,3,MX,1,100,-20
0.000000,0.000000,1726714130.113435,422094.000,1416,2,MX,1,100,-19
0.000000,0.000000,1726714130.153435,422134.000,1416,2,MX,1,100,-19
0.000000,0.000000,1726714130.193436,422174.000,1432,3,MX,1,100,-18
0.000000,0.000000,1726714130.233436,422214.000,1432,3,MX,1,100,-19
0.000000,0.000000,1726714130.273437,422254.000,1432,3,MX,1,100,-18
0.000000,0.000000,1726714130.313437,422294.000,1449,2,MX,1,100,-20
0.000000,0.000000,1726714130.353437,422334.000,1449,2,MX,1,100,-19
0.000000,0.000000,1726714130.393438,422374.000,1463,3,MX,1,100,-19
0.000000,0.000000,1726714130.433438,422414.000,1463,3,MX,1,100,-19
0.000000,0.000000,1726714130.473439,422454.000,1463,3,MX,1,100,-19
0.000000,0.000000,1726714130.513439,422494.000,1481,3,MX,1,100,-19
0.000000,0.000000,1726714130.553440,422534.000,1481,3,MX,1,100,-18
0.000000,0.000000,1726714130.593440,422574.000,1481,3,MX,1,100,-19
0.000000,0.000000,1726714130.633440,422614.000,1499,2,MX,1,100,-19
0.000000,0.000000,1726714130.673441,422654.000,1499,2,MX,1,100,-19
