EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1845294.000,34029,3,MZ,1,100,-17
1845334.000,34029,3,MZ,1,100,-18
1845374.000,34045,2,MZ,1,100,-18
1845414.000,34045,2,MZ,1,100,-18
1845454.000,34060,3,MZ,1,100,-17
1845494.000,34060,3,MZ,1,100,-19
1845534.000,34060,3,MZ,1,100,-17
1845574.000,34077,2,MZ,1,100,-16
1845614.000,34077,2,MZ,1,100,-17
1845654.000,34094,3,MZ,1,100,-18
1845694.000,34094,3,MZ,1,100,-17
1845734.000,34094,3,MZ,1,100,-17
1845774.000,34110,2,MZ,1,100,-18
1845814.000,34110,2,MZ,1,100,-17
1845854.000,34125,3,MZ,1,100,-17
1845894.000,34125,3,MZ,1,100,-18
1845934.000,34125,3,MZ,1,100,-17
1845974.000,34142,3,MZ,1,100,-17
1846014.000,34142,3,MZ,1,100,-18
1846054.000,34142,3,MZ,1,100,-17
1846094.000,34161,2,MZ,1,100,-17
1846134.000,34161,2,MZ,1,100,-17
1846174.000,34177,3,MZ,1,100,-16
1846214.000,34177,3,MZ,1,100,-15
1846254.000,34177,3,MZ,1,100,-15
1846294.000,34193,2,MZ,1,100,-15
1846334.000,34193,2,MZ,1,100,-13
1846369.667,34211,3,MZ,1,100,-13
1846405.333,34211,3,MZ,1,100,-14
1846441.000,34211,3,MZ,1,100,-13
1846481.000,34228,2,MZ,1,100,-14
1846521.000,34228,2,MZ,1,100,-13
1846561.000,34245,3,MZ,1,100,-15
1846601.000,34245,3,MZ,1,100,-15
1846641.000,34245,3,MZ,1,100,-15
1846685.000,34267,3,MZ,1,100,-15
1846729.000,34267,3,MZ,1,100,-15
1846773.000,34267,3,MZ,1,100,-15
1846813.333,34283,3,MZ,1,100,-14
1846853.667,34283,3,MZ,1,100,-15
1846894.000,34283,3,MZ,1,100,-14
1846934.000,34301,2,MZ,1,100,-14
1846974.000,34301,2,MZ,1,100,-11
1847013.667,34317,3,MZ,1,100,-12
1847053.333,34317,3,MZ,1,100,-14
1847093.000,34317,3,MZ,1,100,-14
1847133.333,34334,3,MZ,1,100,-14
1847173.667,34334,3,MZ,1,100,-14
1847214.000,34334,3,MZ,1,100,-14
1847254.000,34351,2,MZ,1,100,-13
1847294.000,34351,2,MZ,1,100,-14
1847334.000,34366,3,MZ,1,100,-14
1847374.000,34366,3,MZ,1,100,-13
1847414.000,34366,3,MZ,1,100,-12
1847454.000,34382,2,MZ,1,100,-12
1847494.000,34382,2,MZ,1,100,-10
1847534.000,34399,3,MZ,1,100,-11
1847574.000,34399,3,MZ,1,100,-10
1847614.000,34399,3,MZ,1,100,-11
1847653.500,34416,2,MZ,1,100,-12
1847693.000,34416,2,MZ,1,100,-11
1847733.333,34431,3,MZ,1,100,-10
1847773.667,34431,3,MZ,1,100,-10
1847814.000,34431,3,MZ,1,100,-9
1847854.000,34447,2,MZ,1,100,-11
1847894.000,34447,2,MZ,1,100,-12
1847933.667,34465,3,MZ,1,100,-11
1847973.333,34465,3,MZ,1,100,-12
1848013.000,34465,3,MZ,1,100,-17
1848053.500,34481,2,MZ,1,100,-24
1848094.000,34481,2,MZ,1,100,-30
1848134.000,34496,3,MZ,1,100,-33
1848174.000,34496,3,MZ,1,100,-33
1848214.000,34496,3,MZ,1,100,-35
1848253.667,34513,3,MZ,1,100,-35
1848293.333,34513,3,MZ,1,100,-36
1848333.000,34513,3,MZ,1,100,-36
1848373.000,34530,2,MZ,1,100,-37
1848413.000,34530,2,MZ,1,100,-36
1848453.000,34546,3,MZ,1,100,-37
1848493.000,34546,3,MZ,1,100,-36
1848533.000,34546,3,MZ,1,100,-36
1848573.000,34562,2,MZ,1,100,-37
1848613.000,34562,2,MZ,1,100,-38
1848653.000,34578,3,MZ,1,100,-39
1848693.000,34578,3,MZ,1,100,-39
1848733.000,34578,3,MZ,1,100,-39
1848773.000,34595,2,MZ,1,100,-36
1848813.000,34595,2,MZ,1,100,-34
1848853.000,34611,3,MZ,1,100,-33
1848893.000,34611,3,MZ,1,100,-33
1848933.000,34611,3,MZ,1,100,-35
1848973.000,34629,2,MZ,1,100,-36
1849013.000,34629,2,MZ,1,100,-36
1849053.000,34643,3,MZ,1,100,-38
1849093.000,34643,3,MZ,1,100,-39
1849133.000,34643,3,MZ,1,100,-42
1849173.000,34660,2,MZ,1,100,-35
1849213.000,34660,2,MZ,1,100,-12
1849253.000,34677,3,MZ,1,100,28
1849293.000,34677,3,MZ,1,100,47
1849333.000,34677,3,MZ,1,100,33
1849373.000,34694,2,MZ,1,100,16
1849413.000,34694,2,MZ,1,100, 5
1849453.000,34708,3,MZ,1,100, 0
1849493.000,34708,3,MZ,1,100,-1
1849533.000,34708,3,MZ,1,100,-3
1849573.000,34726,3,MZ,1,100, 0
1849613.000,34726,3,MZ,1,100, 0
1849653.000,34726,3,MZ,1,100, 0
1849693.000,34742,2,MZ,1,100, 0
1849733.000,34742,2,MZ,1,100, 0
1849773.000,34759,3,MZ,1,100, 1
1849813.000,34759,3,MZ,1,100, 0
1849853.000,34759,3,MZ,1,100, 0
1849893.000,34773,2,MZ,1,100,-1
1849933.000,34773,2,MZ,1,100,-1
1849973.000,34791,3,MZ,1,100,-2
1850013.000,34791,3,MZ,1,100,-2
1850053.000,34791,3,MZ,1,100,-4
1850093.000,34807,2,MZ,1,100,-3
1850133.000,34807,2,MZ,1,100,-4
1850173.000,34824,3,MZ,1,100,-3
1850213.000,34824,3,MZ,1,100,-7
1850253.000,34824,3,MZ,1,100,-8
1850293.000,34839,2,MZ,1,100,-9
1850333.000,34839,2,MZ,1,100,-8
1850373.000,34856,3,MZ,1,100,-10
1850413.000,34856,3,MZ,1,100,-9
1850453.000,34856,3,MZ,1,100,-10
1850493.000,34872,2,MZ,1,100,-10
1850533.000,34872,2,MZ,1,100,-11
1850573.000,34890,3,MZ,1,100,-13
1850613.000,34890,3,MZ,1,100,-13
1850653.000,34890,3,MZ,1,100,-14
1850693.000,34905,2,MZ,1,100,-15
1850733.000,34905,2,MZ,1,100,-16
1850773.000,34921,3,MZ,1,100,-18
1850813.000,34921,3,MZ,1,100,-18
1850853.000,34921,3,MZ,1,100,-16
1850893.000,34938,3,MZ,1,100,-13
1850933.000,34938,3,MZ,1,100,-4
1850973.000,34938,3,MZ,1,100,-1
1851013.000,34955,2,MZ,1,100, 0
1851053.000,34955,2,MZ,1,100, 0
1851093.000,34971,3,MZ,1,100, 4
1851133.000,34971,3,MZ,1,100,11
1851173.000,34971,3,MZ,1,100,17
1851213.000,34986,2,MZ,1,100,18
1851253.000,34986,2,MZ,1,100,21
1851293.000,35005,3,MZ,1,100,23
1851333.000,35005,3,MZ,1,100,23
1851373.000,35005,3,MZ,1,100,26
1851413.000,35022,2,MZ,1,100,27
1851453.000,35022,2,MZ,1,100,27
1851493.000,35038,3,MZ,1,100,27
