EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1845254.000,34025,3,GY,1,100,2.380
1845294.000,34025,3,GY,1,100,2.075
1845334.000,34025,3,GY,1,100,0.549
1845374.000,34041,2,GY,1,100,2.197
1845414.000,34041,2,GY,1,100,1.007
1845454.000,34056,3,GY,1,100,-0.092
1845494.000,34056,3,GY,1,100,0.397
1845534.000,34056,3,GY,1,100,1.648
1845574.000,34073,2,GY,1,100,0.488
1845614.000,34073,2,GY,1,100,0.946
1845654.000,34090,3,GY,1,100,1.282
1845694.000,34090,3,GY,1,100,1.251
1845734.000,34090,3,GY,1,100,0.732
1845774.000,34106,2,GY,1,100,1.038
1845814.000,34106,2,GY,1,100,1.312
1845854.000,34121,3,GY,1,100,1.190
1845894.000,34121,3,GY,1,100,1.495
1845934.000,34121,3,GY,1,100,1.740
1845974.000,34138,3,GY,1,100,1.343
1846014.000,34138,3,GY,1,100,0.580
1846054.000,34138,3,GY,1,100,1.343
1846094.000,34157,2,GY,1,100,0.305
1846134.000,34157,2,GY,1,100,-0.519
1846174.000,34173,3,GY,1,100,-0.732
1846214.000,34173,3,GY,1,100,-5.463
1846254.000,34173,3,GY,1,100,-7.996
1846294.000,34189,2,GY,1,100,-5.707
1846334.000,34189,2,GY,1,100,-2.991
1846369.667,34207,3,GY,1,100,-0.061
1846405.333,34207,3,GY,1,100,0.854
1846441.000,34207,3,GY,1,100,-1.892
1846481.000,34224,2,GY,1,100,-1.495
1846521.000,34224,2,GY,1,100,-2.045
1846561.000,34241,3,GY,1,100,-2.716
1846601.000,34241,3,GY,1,100,-2.136
1846641.000,34241,3,GY,1,100,1.801
1846685.000,34263,3,GY,1,100,-1.038
1846729.000,34263,3,GY,1,100,-5.524
1846773.000,34263,3,GY,1,100,-1.587
1846813.333,34279,3,GY,1,100,0.885
1846853.667,34279,3,GY,1,100,0.427
1846894.000,34279,3,GY,1,100,-1.709
1846934.000,34297,2,GY,1,100,-2.197
1846974.000,34297,2,GY,1,100,-1.923
1847013.667,34313,3,GY,1,100,-1.648
1847053.333,34313,3,GY,1,100,-3.174
1847093.000,34313,3,GY,1,100,-2.167
1847133.333,34330,3,GY,1,100,-0.397
1847173.667,34330,3,GY,1,100,1.099
1847214.000,34330,3,GY,1,100,-0.519
1847254.000,34347,2,GY,1,100,-2.838
1847294.000,34347,2,GY,1,100,-2.899
1847334.000,34362,3,GY,1,100,-6.439
1847374.000,34362,3,GY,1,100,-8.453
1847414.000,34362,3,GY,1,100,-5.432
1847454.000,34378,2,GY,1,100,-0.702
1847494.000,34378,2,GY,1,100,-1.465
1847534.000,34395,3,GY,1,100,-0.793
1847574.000,34395,3,GY,1,100,-0.580
1847614.000,34395,3,GY,1,100,-3.113
1847653.500,34412,2,GY,1,100,0.031
1847693.000,34412,2,GY,1,100,2.258
1847733.333,34427,3,GY,1,100,-0.824
1847773.667,34427,3,GY,1,100,2.197
1847814.000,34427,3,GY,1,100,6.317
1847854.000,34443,2,GY,1,100,9.857
1847894.000,34443,2,GY,1,100,23.102
1847933.667,34461,3,GY,1,100,33.356
1847973.333,34461,3,GY,1,100,18.921
1848013.000,34461,3,GY,1,100,-4.089
1848053.500,34477,2,GY,1,100,0.854
1848094.000,34477,2,GY,1,100,1.251
1848134.000,34492,3,GY,1,100,-2.106
1848174.000,34492,3,GY,1,100,14.435
1848214.000,34492,3,GY,1,100,10.468
1848253.667,34509,3,GY,1,100,-1.465
1848293.333,34509,3,GY,1,100,-0.183
1848333.000,34509,3,GY,1,100,7.141
1848373.000,34526,2,GY,1,100,7.111
1848413.000,34526,2,GY,1,100,10.834
1848453.000,34542,3,GY,1,100,9.369
1848493.000,34542,3,GY,1,100,1.129
1848533.000,34542,3,GY,1,100,6.989
1848573.000,34558,2,GY,1,100,7.141
1848613.000,34558,2,GY,1,100,7.050
1848653.000,34574,3,GY,1,100,7.172
1848693.000,34574,3,GY,1,100,4.120
1848733.000,34574,3,GY,1,100,7.874
1848773.000,34591,2,GY,1,100,7.660
1848813.000,34591,2,GY,1,100,11.749
1848853.000,34607,3,GY,1,100,3.937
1848893.000,34607,3,GY,1,100,11.108
1848933.000,34607,3,GY,1,100,12.024
1848973.000,34625,2,GY,1,100,10.864
1849013.000,34625,2,GY,1,100,13.336
1849053.000,34639,3,GY,1,100,6.378
1849093.000,34639,3,GY,1,100,2.686
1849133.000,34639,3,GY,1,100,-4.364
1849173.000,34656,2,GY,1,100,-2.380
1849213.000,34656,2,GY,1,100,30.640
1849253.000,34673,3,GY,1,100,77.850
1849293.000,34673,3,GY,1,100,33.691
1849333.000,34673,3,GY,1,100,42.938
1849373.000,34690,2,GY,1,100,53.680
1849413.000,34690,2,GY,1,100,56.488
1849453.000,34704,3,GY,1,100,-19.531
1849493.000,34704,3,GY,1,100,23.804
1849533.000,34704,3,GY,1,100,-14.618
1849573.000,34722,3,GY,1,100,56.000
1849613.000,34722,3,GY,1,100,102.173
1849653.000,34722,3,GY,1,100,3.479
1849693.000,34738,2,GY,1,100,0.610
1849733.000,34738,2,GY,1,100,-47.607
1849773.000,34755,3,GY,1,100,10.620
1849813.000,34755,3,GY,1,100,-7.538
1849853.000,34755,3,GY,1,100,-58.563
1849893.000,34769,2,GY,1,100,-45.593
1849933.000,34769,2,GY,1,100,-17.273
1849973.000,34787,3,GY,1,100,-19.409
1850013.000,34787,3,GY,1,100,-23.834
1850053.000,34787,3,GY,1,100,-58.289
1850093.000,34803,2,GY,1,100,-56.458
1850133.000,34803,2,GY,1,100,-13.794
1850173.000,34820,3,GY,1,100,-3.662
1850213.000,34820,3,GY,1,100,-26.428
1850253.000,34820,3,GY,1,100,2.716
1850293.000,34835,2,GY,1,100,20.569
1850333.000,34835,2,GY,1,100,21.484
1850373.000,34852,3,GY,1,100,56.335
1850413.000,34852,3,GY,1,100,49.438
1850453.000,34852,3,GY,1,100,-0.580
1850493.000,34868,2,GY,1,100,-24.780
1850533.000,34868,2,GY,1,100,-29.846
1850573.000,34886,3,GY,1,100,-38.361
1850613.000,34886,3,GY,1,100,-32.867
1850653.000,34886,3,GY,1,100,-25.818
1850693.000,34901,2,GY,1,100,-21.484
1850733.000,34901,2,GY,1,100,-43.640
1850773.000,34917,3,GY,1,100,-37.659
1850813.000,34917,3,GY,1,100,14.191
1850853.000,34917,3,GY,1,100,-13.733
1850893.000,34934,3,GY,1,100,-51.117
1850933.000,34934,3,GY,1,100,-38.086
1850973.000,34934,3,GY,1,100,20.142
1851013.000,34951,2,GY,1,100,51.117
1851053.000,34951,2,GY,1,100,98.236
1851093.000,34967,3,GY,1,100,158.478
1851133.000,34967,3,GY,1,100,108.093
1851173.000,34967,3,GY,1,100,19.623
1851213.000,34982,2,GY,1,100,-61.005
1851253.000,34982,2,GY,1,100,-22.125
1851293.000,35001,3,GY,1,100,-9.064
1851333.000,35001,3,GY,1,100,-5.219
1851373.000,35001,3,GY,1,100,27.130
1851413.000,35018,2,GY,1,100,-41.260
1851453.000,35018,2,GY,1,100,-74.158
1851493.000,35034,3,GY,1,100,-37.018
1851533.000,35034,3,GY,1,100,-45.135
1851573.000,35034,3,GY,1,100,-87.921
1851613.000,35050,2,GY,1,100,-81.390
1851653.000,35050,2,GY,1,100,-101.410
1851693.000,35066,3,GY,1,100,-40.283
1851733.000,35066,3,GY,1,100,-53.741
1851773.000,35066,3,GY,1,100,-171.783
1851813.000,35088,4,GY,1,100,-114.838
1851853.000,35088,4,GY,1,100,-57.922
1851893.000,35088,4,GY,1,100,-29.236
1851933.000,35088,4,GY,1,100,3.967
1851973.000,35105,2,GY,1,100,10.712
1852013.000,35105,2,GY,1,100,-43.060
1852053.000,35122,3,GY,1,100,-40.955
1852093.000,35122,3,GY,1,100,-34.515
1852133.000,35122,3,GY,1,100,-61.584
1852173.000,35137,2,GY,1,100,-83.069
1852213.000,35137,2,GY,1,100,-108.307
1852253.000,35154,3,GY,1,100,-90.515
1852293.000,35154,3,GY,1,100,-81.421
1852333.000,35154,3,GY,1,100,-61.859
1852373.000,35170,2,GY,1,100,-59.479
1852413.000,35170,2,GY,1,100,-68.115
1852453.000,35187,3,GY,1,100,-78.888
1852493.000,35187,3,GY,1,100,-87.036
1852533.000,35187,3,GY,1,100,-125.977
1852573.000,35204,2,GY,1,100,-84.778
1852613.000,35204,2,GY,1,100,11.505
1852653.000,35219,3,GY,1,100,10.193
