EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1845050.750,33978,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1845101.000,33978,4,EM,1,100,PS
1845151.250,34012,4,EM,1,100,RS
1845201.500,34012,4,EM,1,100,RB
1845251.750,34012,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1845302.000,34012,4,EM,1,100,PS
1845352.250,34046,4,EM,1,100,RS
1845402.500,34046,4,EM,1,100,RB
1845452.750,34046,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1845503.000,34046,4,EM,1,100,PS
1845553.250,34078,4,EM,1,100,RS
1845603.500,34078,4,EM,1,100,RB
1845653.750,34078,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1845704.000,34078,4,EM,1,100,PS
1845755.000,34111,4,EM,1,100,RS
1845806.000,34111,4,EM,1,100,RB
1845857.000,34111,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1845908.000,34111,4,EM,1,100,PS
1845958.250,34143,4,EM,1,100,RS
1846008.500,34143,4,EM,1,100,RB
1846058.750,34143,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1846109.000,34143,4,EM,1,100,PS
1846159.250,34178,4,EM,1,100,RS
1846209.500,34178,4,EM,1,100,RB
1846259.750,34178,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1846310.000,34178,4,EM,1,100,PS
1846360.250,34212,4,EM,1,100,RS
1846410.500,34212,4,EM,1,100,RB
1846460.750,34212,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1846511.000,34212,4,EM,1,100,PS
1846584.250,34251,4,EM,1,100,RS
1846657.500,34251,4,EM,1,100,RB
1846730.750,34251,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1846804.000,34251,4,EM,1,100,PS
1846854.250,34284,4,EM,1,100,RS
1846904.500,34284,4,EM,1,100,RB
1846954.750,34284,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1847005.000,34284,4,EM,1,100,PS
1847055.250,34318,4,EM,1,100,RS
1847105.500,34318,4,EM,1,100,RB
1847155.750,34318,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1847206.000,34318,4,EM,1,100,PS
1847256.250,34352,4,EM,1,100,RS
1847306.500,34352,4,EM,1,100,RB
1847356.750,34352,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1847407.000,34352,4,EM,1,100,PS
1847457.250,34383,4,EM,1,100,RS
1847507.500,34383,4,EM,1,100,RB
1847557.750,34383,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1847608.000,34383,4,EM,1,100,PS
1847658.250,34417,4,EM,1,100,RS
1847708.500,34417,4,EM,1,100,RB
1847758.750,34417,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1847809.000,34417,4,EM,1,100,PS
1847859.250,34448,4,EM,1,100,RS
1847909.500,34448,4,EM,1,100,RB
1847959.750,34448,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1848010.000,34448,4,EM,1,100,PS
1848060.250,34482,4,EM,1,100,RS
1848110.500,34482,4,EM,1,100,RB
1848160.750,34482,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1848211.000,34482,4,EM,1,100,PS
1848262.000,34514,4,EM,1,100,RS
1848313.000,34514,4,EM,1,100,RB
1848364.000,34514,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1848415.000,34514,4,EM,1,100,PS
1848465.250,34547,4,EM,1,100,RS
1848515.500,34547,4,EM,1,100,RB
1848565.750,34547,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1848616.000,34547,4,EM,1,100,PS
1848666.250,34579,4,EM,1,100,RS
1848716.500,34579,4,EM,1,100,RB
1848766.750,34579,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1848817.000,34579,4,EM,1,100,PS
1848867.250,34612,4,EM,1,100,RS
1848917.500,34612,4,EM,1,100,RB
1848967.750,34612,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1849018.000,34612,4,EM,1,100,PS
1849068.250,34644,4,EM,1,100,RS
1849118.500,34644,4,EM,1,100,RB
1849168.750,34644,4,EM,1,100,2024-09-18_13-07-51-985797.csv
1849219.000,34644,4,EM,1,100,PS
1849269.250,34678,4,EM,1,100,RS
1849319.500,34678,4,EM,1,100,RB
