EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1845588.000,34062,3,PI,1,100,169178
1845628.000,34062,3,PI,1,100,169167
1845668.000,34079,3,PI,1,100,169154
1845708.000,34079,3,PI,1,100,169146
1845748.000,34079,3,PI,1,100,169160
1845788.000,34095,2,PI,1,100,169153
1845828.000,34095,2,PI,1,100,169152
1845868.000,34112,3,PI,1,100,169166
1845908.000,34112,3,PI,1,100,169140
1845948.000,34112,3,PI,1,100,169165
1845988.000,34127,2,PI,1,100,169167
1846028.000,34127,2,PI,1,100,169170
1846068.000,34146,3,PI,1,100,169173
1846108.000,34146,3,PI,1,100,169151
1846148.000,34146,3,PI,1,100,169164
1846188.000,34162,2,PI,1,100,169146
1846228.000,34162,2,PI,1,100,169158
1846268.000,34180,2,PI,1,100,169144
1846308.000,34180,2,PI,1,100,169125
1846352.333,34196,3,PI,1,100,169089
1846396.667,34196,3,PI,1,100,169054
1846441.000,34196,3,PI,1,100,169019
1846481.000,34213,3,PI,1,100,168964
1846521.000,34213,3,PI,1,100,168941
1846561.000,34213,3,PI,1,100,168908
1846601.000,34230,2,PI,1,100,168920
1846641.000,34230,2,PI,1,100,168882
1846681.000,34252,4,PI,1,100,168847
1846721.000,34252,4,PI,1,100,168894
1846761.000,34252,4,PI,1,100,168879
1846801.000,34252,4,PI,1,100,168853
1846841.000,34268,2,PI,1,100,168929
1846881.000,34268,2,PI,1,100,168984
1846921.000,34288,3,PI,1,100,168997
1846961.000,34288,3,PI,1,100,168967
1847001.000,34288,3,PI,1,100,168872
1847041.000,34302,2,PI,1,100,168816
1847081.000,34302,2,PI,1,100,168772
1847121.000,34319,3,PI,1,100,168707
1847161.000,34319,3,PI,1,100,168657
1847201.000,34319,3,PI,1,100,168598
1847241.000,34336,2,PI,1,100,168539
1847281.000,34336,2,PI,1,100,168446
1847321.000,34353,3,PI,1,100,168385
1847361.000,34353,3,PI,1,100,168316
1847401.000,34353,3,PI,1,100,168244
1847441.000,34367,3,PI,1,100,168150
1847481.000,34367,3,PI,1,100,168062
1847521.000,34367,3,PI,1,100,167989
1847561.000,34384,2,PI,1,100,167937
1847601.000,34384,2,PI,1,100,167899
1847641.000,34401,3,PI,1,100,167859
1847681.000,34401,3,PI,1,100,167816
1847721.000,34401,3,PI,1,100,167792
1847761.000,34418,2,PI,1,100,167774
1847801.000,34418,2,PI,1,100,167687
1847841.000,34432,3,PI,1,100,167611
1847881.000,34432,3,PI,1,100,167558
1847921.000,34432,3,PI,1,100,167524
1847961.000,34450,2,PI,1,100,167327
1848001.000,34450,2,PI,1,100,166984
1848041.000,34466,3,PI,1,100,166637
1848081.000,34466,3,PI,1,100,166225
1848121.000,34466,3,PI,1,100,166041
1848161.000,34483,2,PI,1,100,165735
1848201.000,34483,2,PI,1,100,165533
1848241.000,34498,3,PI,1,100,165496
1848281.000,34498,3,PI,1,100,165430
1848321.000,34498,3,PI,1,100,165368
1848361.000,34515,2,PI,1,100,165424
1848401.000,34515,2,PI,1,100,165426
1848441.000,34531,3,PI,1,100,165335
1848481.000,34531,3,PI,1,100,165333
1848521.000,34531,3,PI,1,100,165256
1848561.000,34548,2,PI,1,100,165206
1848601.000,34548,2,PI,1,100,165182
1848641.000,34564,3,PI,1,100,165146
1848681.000,34564,3,PI,1,100,165150
1848721.000,34564,3,PI,1,100,165246
1848761.000,34580,2,PI,1,100,165293
1848801.000,34580,2,PI,1,100,165295
1848841.000,34596,3,PI,1,100,165256
1848881.000,34596,3,PI,1,100,165228
1848921.000,34596,3,PI,1,100,165241
1848961.000,34614,3,PI,1,100,165311
1849001.000,34614,3,PI,1,100,165384
1849041.000,34614,3,PI,1,100,165397
1849081.000,34630,2,PI,1,100,165410
1849121.000,34630,2,PI,1,100,165426
1849161.000,34645,3,PI,1,100,165572
1849201.000,34645,3,PI,1,100,165857
1849241.000,34645,3,PI,1,100,166221
1849281.000,34662,2,PI,1,100,166570
1849321.000,34662,2,PI,1,100,166731
1849361.000,34679,3,PI,1,100,166643
1849401.000,34679,3,PI,1,100,166544
1849441.000,34679,3,PI,1,100,166806
1849481.000,34695,2,PI,1,100,167094
1849521.000,34695,2,PI,1,100,167431
1849561.000,34711,3,PI,1,100,168076
1849601.000,34711,3,PI,1,100,169481
1849641.000,34711,3,PI,1,100,172026
1849681.000,34727,2,PI,1,100,172439
1849721.000,34727,2,PI,1,100,172965
1849761.000,34744,3,PI,1,100,172721
1849801.000,34744,3,PI,1,100,173412
1849841.000,34744,3,PI,1,100,173857
1849881.000,34760,2,PI,1,100,173592
1849921.000,34760,2,PI,1,100,173215
1849961.000,34776,3,PI,1,100,173337
1850001.000,34776,3,PI,1,100,173220
1850041.000,34776,3,PI,1,100,173451
1850081.000,34792,3,PI,1,100,173503
1850121.000,34792,3,PI,1,100,173054
1850161.000,34792,3,PI,1,100,173356
1850201.000,34809,2,PI,1,100,174140
1850241.000,34809,2,PI,1,100,174709
1850280.667,34826,3,PI,1,100,174675
1850320.333,34826,3,PI,1,100,174654
1850360.000,34826,3,PI,1,100,175136
1850400.500,34841,2,PI,1,100,175353
1850441.000,34841,2,PI,1,100,175049
1850480.667,34857,3,PI,1,100,174986
1850520.333,34857,3,PI,1,100,173442
1850560.000,34857,3,PI,1,100,170219
1850600.500,34875,2,PI,1,100,161951
1850641.000,34875,2,PI,1,100,140560
1850681.000,34891,3,PI,1,100,118554
1850721.000,34891,3,PI,1,100,83035
1850761.000,34891,3,PI,1,100,17443
1850801.000,34907,2,PI,1,100,1973
