EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1848972.500,34618,2,EL,1,100,-18883.599609
1849039.000,34618,2,EL,1,100,-18885.400391
1849106.000,34634,1,EL,1,100,-18886.599609
1849173.000,34649,2,EL,1,100,-18888.199219
1849240.000,34649,2,EL,1,100,-18891.000000
1849306.000,34666,1,EL,1,100,-18893.800781
1849372.500,34683,2,EL,1,100,-18893.599609
1849439.000,34683,2,EL,1,100,-18892.400391
1849506.000,34699,1,EL,1,100,-18891.400391
1849572.500,34715,2,EL,1,100,-18891.000000
1849639.000,34715,2,EL,1,100,-18892.599609
1849706.000,34731,1,EL,1,100,-18890.599609
1849772.500,34748,2,EL,1,100,-18886.599609
1849839.000,34748,2,EL,1,100,-18884.800781
1849906.000,34764,1,EL,1,100,-18882.800781
1849972.500,34780,2,EL,1,100,-18880.199219
1850039.000,34780,2,EL,1,100,-18875.599609
1850106.000,34796,1,EL,1,100,-18872.599609
1850172.500,34813,2,EL,1,100,-18872.000000
1850239.000,34813,2,EL,1,100,-18867.199219
1850306.000,34830,1,EL,1,100,-18854.000000
1850372.500,34845,2,EL,1,100,-18833.199219
1850439.000,34845,2,EL,1,100,-18807.400391
1850506.000,34861,1,EL,1,100,-18809.000000
1850572.500,34879,2,EL,1,100,-18787.400391
1850639.000,34879,2,EL,1,100,-18619.800781
1850706.000,34895,1,EL,1,100,-9287.400391
1850772.500,34911,2,EL,1,100,20429.199219
1850839.000,34911,2,EL,1,100,26444.800781
1850905.500,34927,2,EL,1,100,26446.400391
1850972.000,34927,2,EL,1,100,26445.800781
1851039.000,34944,1,EL,1,100,26432.400391
1851105.500,34960,2,EL,1,100,26428.000000
1851172.000,34960,2,EL,1,100,26429.199219
1851239.000,34977,1,EL,1,100,26431.599609
1851305.500,34994,2,EL,1,100,26433.599609
1851372.000,34994,2,EL,1,100,26434.800781
1851439.000,35011,1,EL,1,100,26436.000000
1851505.500,35027,2,EL,1,100,26437.000000
1851572.000,35027,2,EL,1,100,26438.199219
1851639.000,35045,1,EL,1,100,26439.000000
1851705.500,35059,2,EL,1,100,26439.199219
1851772.000,35059,2,EL,1,100,26439.599609
1851839.000,35081,2,EL,1,100,26440.400391
1851906.000,35081,2,EL,1,100,26440.800781
1851972.000,35098,1,EL,1,100,26441.000000
1852039.000,35115,2,EL,1,100,26441.800781
1852106.000,35115,2,EL,1,100,26441.800781
1852172.000,35131,1,EL,1,100,26442.400391
1852239.000,35148,2,EL,1,100,26442.400391
1852306.000,35148,2,EL,1,100,26443.000000
1852372.500,35163,2,EL,1,100,26443.000000
1852439.000,35163,2,EL,1,100,26443.400391
1852506.000,35180,1,EL,1,100,26444.000000
1852572.500,35197,2,EL,1,100,26444.000000
1852639.000,35197,2,EL,1,100,26444.000000
1852706.000,35214,1,EL,1,100,26444.000000
1852772.500,35228,2,EL,1,100,26444.400391
1852839.000,35228,2,EL,1,100,26445.000000
1852906.000,35245,1,EL,1,100,26444.599609
1852972.500,35262,2,EL,1,100,26445.000000
1853039.000,35262,2,EL,1,100,26445.000000
1853106.000,35279,1,EL,1,100,26445.000000
1853172.500,35293,2,EL,1,100,26445.000000
1853239.000,35293,2,EL,1,100,26445.000000
1853306.000,35311,1,EL,1,100,26445.000000
1853372.500,35327,2,EL,1,100,26445.599609
1853439.000,35327,2,EL,1,100,26445.800781
1853506.000,35344,1,EL,1,100,26445.599609
1853572.500,35359,2,EL,1,100,26446.000000
1853639.000,35359,2,EL,1,100,26446.000000
1853706.000,35376,1,EL,1,100,26445.800781
1853772.500,35392,2,EL,1,100,26446.000000
1853839.000,35392,2,EL,1,100,26446.000000
1853905.000,35409,1,EL,1,100,26445.800781
1853972.000,35424,2,EL,1,100,26446.000000
1854039.000,35424,2,EL,1,100,26445.800781
1854106.000,35441,1,EL,1,100,26446.000000
1854172.500,35457,2,EL,1,100,26445.800781
1854239.000,35457,2,EL,1,100,26446.000000
1854306.000,35475,1,EL,1,100,26445.599609
1854372.500,35490,2,EL,1,100,26446.000000
1854439.000,35490,2,EL,1,100,26445.800781
1854505.000,35506,1,EL,1,100,26445.800781
1854572.000,35523,2,EL,1,100,26445.599609
1854639.000,35523,2,EL,1,100,26445.800781
1854705.500,35540,2,EL,1,100,26446.000000
1854772.000,35540,2,EL,1,100,26445.599609
1854839.000,35556,1,EL,1,100,26446.000000
1854905.500,35572,2,EL,1,100,26446.000000
1854972.000,35572,2,EL,1,100,26445.800781
1855039.000,35588,1,EL,1,100,26446.000000
1855105.500,35605,2,EL,1,100,26446.000000
1855172.000,35605,2,EL,1,100,26446.000000
1855239.000,35621,1,EL,1,100,26446.000000
1855305.500,35637,2,EL,1,100,26446.000000
1855372.000,35637,2,EL,1,100,26446.000000
1855439.000,35653,1,EL,1,100,26446.000000
1855505.500,35670,2,EL,1,100,26445.800781
1855572.000,35670,2,EL,1,100,26445.800781
1855639.000,35687,1,EL,1,100,26445.800781
1855705.500,35702,2,EL,1,100,26445.800781
1855772.000,35702,2,EL,1,100,26445.400391
1855839.000,35718,1,EL,1,100,26446.000000
1855905.500,35736,2,EL,1,100,26445.199219
1855972.000,35736,2,EL,1,100,26445.800781
1856039.000,35752,1,EL,1,100,26445.800781
1856105.500,35767,2,EL,1,100,26445.599609
1856172.000,35767,2,EL,1,100,26445.800781
1856239.000,35783,1,EL,1,100,26445.800781
1856305.500,35803,2,EL,1,100,26446.000000
1856372.000,35803,2,EL,1,100,26446.000000
1856439.000,35819,1,EL,1,100,26446.000000
1856505.500,35835,2,EL,1,100,26446.000000
1856572.000,35835,2,EL,1,100,26445.800781
1856639.000,35851,1,EL,1,100,26446.000000
1856705.500,35868,2,EL,1,100,26445.800781
1856772.000,35868,2,EL,1,100,26445.599609
1856838.500,35884,2,EL,1,100,26446.000000
1856905.000,35884,2,EL,1,100,26446.000000
1856971.500,35907,2,EL,1,100,26445.800781
1857038.000,35907,2,EL,1,100,26446.000000
1857105.000,35923,1,EL,1,100,26445.599609
1857171.500,35938,2,EL,1,100,26445.599609
1857238.000,35938,2,EL,1,100,26446.000000
1857305.000,35955,1,EL,1,100,26446.000000
1857371.500,35972,2,EL,1,100,26445.800781
1857438.000,35972,2,EL,1,100,26446.000000
1857505.000,35988,1,EL,1,100,26445.800781
1857571.500,36005,2,EL,1,100,26446.000000
1857638.000,36005,2,EL,1,100,26446.000000
1857705.000,36020,1,EL,1,100,26446.000000
1857771.500,36037,2,EL,1,100,26445.599609
1857838.000,36037,2,EL,1,100,26445.800781
1857905.000,36054,2,EL,1,100,26445.800781
1857972.000,36054,2,EL,1,100,26445.800781
1858038.000,36071,1,EL,1,100,26445.599609
1858105.000,36085,2,EL,1,100,26445.400391
1858172.000,36085,2,EL,1,100,26445.400391
1858238.000,36102,1,EL,1,100,26445.599609
1858305.000,36119,2,EL,1,100,26445.800781
1858372.000,36119,2,EL,1,100,26445.199219
1858438.000,36136,1,EL,1,100,26446.000000
1858505.000,36150,2,EL,1,100,26446.000000
1858572.000,36150,2,EL,1,100,26445.400391
1858638.000,36168,1,EL,1,100,26445.000000
1858705.000,36184,2,EL,1,100,26445.400391
1858772.000,36184,2,EL,1,100,26445.199219
1858838.000,36201,1,EL,1,100,26445.199219
1858905.000,36216,2,EL,1,100,26445.199219
1858972.000,36216,2,EL,1,100,26445.000000
1859038.000,36233,1,EL,1,100,26445.400391
1859105.000,36249,2,EL,1,100,26445.199219
1859172.000,36249,2,EL,1,100,26445.400391
1859238.000,36266,1,EL,1,100,26445.199219
1859305.000,36281,2,EL,1,100,26445.599609
1859372.000,36281,2,EL,1,100,26445.199219
1859438.000,36298,1,EL,1,100,26445.199219
1859505.000,36314,2,EL,1,100,26445.400391
1859572.000,36314,2,EL,1,100,26445.199219
1859638.000,36332,1,EL,1,100,26445.000000
1859705.000,36347,2,EL,1,100,26445.199219
1859772.000,36347,2,EL,1,100,26445.400391
1859838.000,36363,1,EL,1,100,26445.000000
1859905.000,36380,2,EL,1,100,26445.599609
1859972.000,36380,2,EL,1,100,26445.199219
1860038.500,36397,2,EL,1,100,26445.199219
1860105.000,36397,2,EL,1,100,26445.000000
1860172.000,36413,1,EL,1,100,26445.199219
1860238.500,36429,2,EL,1,100,26445.000000
1860305.000,36429,2,EL,1,100,26445.199219
1860372.000,36445,1,EL,1,100,26445.599609
1860438.500,36462,2,EL,1,100,26445.199219
1860505.000,36462,2,EL,1,100,26445.199219
1860571.000,36478,1,EL,1,100,26445.400391
1860638.000,36494,2,EL,1,100,26445.599609
1860705.000,36494,2,EL,1,100,26445.000000
1860771.000,36510,1,EL,1,100,26445.400391
1860838.000,36527,2,EL,1,100,26445.400391
1860905.000,36527,2,EL,1,100,26445.800781
1860971.000,36544,1,EL,1,100,26445.199219
1861038.000,36559,2,EL,1,100,26445.800781
1861105.000,36559,2,EL,1,100,26445.599609
1861171.000,36575,1,EL,1,100,26445.599609
1861238.000,36593,2,EL,1,100,26446.000000
1861305.000,36593,2,EL,1,100,26445.199219
1861371.000,36611,1,EL,1,100,26445.800781
1861438.000,36626,2,EL,1,100,26445.599609
1861505.000,36626,2,EL,1,100,26446.000000
1861571.000,36642,1,EL,1,100,26445.800781
1861638.000,36660,2,EL,1,100,26446.000000
1861705.000,36660,2,EL,1,100,26446.000000
1861772.000,36676,1,EL,1,100,26446.000000
1861838.500,36692,2,EL,1,100,26446.000000
1861905.000,36692,2,EL,1,100,26446.000000
1861971.500,36708,2,EL,1,100,26446.000000
1862038.000,36708,2,EL,1,100,26446.000000
1862104.500,36728,2,EL,1,100,26446.000000
1862171.000,36728,2,EL,1,100,26446.000000
1862238.000,36744,1,EL,1,100,26446.000000
1862304.500,36762,2,EL,1,100,26445.800781
1862371.000,36762,2,EL,1,100,26446.000000
1862438.000,36778,1,EL,1,100,26446.199219
1862504.500,36793,2,EL,1,100,26446.000000
1862571.000,36793,2,EL,1,100,26446.199219
1862638.000,36810,1,EL,1,100,26446.199219
1862704.500,36827,2,EL,1,100,26446.000000
1862771.000,36827,2,EL,1,100,26446.000000
1862838.000,36843,1,EL,1,100,26446.199219
1862904.500,36859,2,EL,1,100,26446.000000
1862971.000,36859,2,EL,1,100,26446.000000
1863038.000,36875,1,EL,1,100,26446.000000
1863104.500,36892,2,EL,1,100,26446.000000
1863171.000,36892,2,EL,1,100,26446.000000
1863238.000,36908,1,EL,1,100,26446.199219
1863304.500,36924,2,EL,1,100,26446.000000
1863371.000,36924,2,EL,1,100,26445.800781
1863438.000,36940,1,EL,1,100,26446.000000
1863504.500,36957,2,EL,1,100,26446.000000
1863571.000,36957,2,EL,1,100,26446.000000
1863638.000,36974,1,EL,1,100,26445.800781
1863704.500,36990,2,EL,1,100,26446.000000
1863771.000,36990,2,EL,1,100,26446.000000
1863837.500,37005,2,EL,1,100,26446.000000
1863904.000,37005,2,EL,1,100,26446.000000
1863971.000,37023,1,EL,1,100,26446.000000
1864037.500,37039,2,EL,1,100,26446.000000
1864104.000,37039,2,EL,1,100,26446.000000
1864171.000,37056,1,EL,1,100,26446.000000
1864237.500,37071,2,EL,1,100,26446.000000
1864304.000,37071,2,EL,1,100,26446.199219
1864371.000,37088,1,EL,1,100,26446.000000
1864437.500,37104,2,EL,1,100,26446.000000
1864504.000,37104,2,EL,1,100,26446.000000
1864571.000,37121,1,EL,1,100,26445.800781
1864637.500,37136,2,EL,1,100,26446.000000
1864704.000,37136,2,EL,1,100,26446.000000
1864771.000,37153,1,EL,1,100,26446.000000
1864837.500,37169,2,EL,1,100,26446.000000
1864904.000,37169,2,EL,1,100,26446.000000
1864971.000,37187,1,EL,1,100,26446.000000
1865037.500,37201,2,EL,1,100,26446.000000
1865104.000,37201,2,EL,1,100,26446.000000
1865171.000,37218,1,EL,1,100,26446.000000
1865237.500,37235,2,EL,1,100,26446.000000
1865304.000,37235,2,EL,1,100,26446.000000
1865371.000,37252,1,EL,1,100,26445.800781
1865437.500,37266,2,EL,1,100,26445.800781
1865504.000,37266,2,EL,1,100,26446.000000
1865571.000,37283,1,EL,1,100,26446.000000
1865637.500,37300,2,EL,1,100,26446.000000
1865704.000,37300,2,EL,1,100,26445.800781
1865771.000,37317,1,EL,1,100,26446.000000
1865837.500,37332,2,EL,1,100,26446.000000
1865904.000,37332,2,EL,1,100,26445.800781
1865971.000,37349,1,EL,1,100,26445.800781
1866037.500,37365,2,EL,1,100,26446.000000
1866104.000,37365,2,EL,1,100,26445.800781
1866170.667,37383,3,EL,1,100,26446.000000
1866237.333,37383,3,EL,1,100,26445.800781
1866304.000,37383,3,EL,1,100,26445.800781
1866371.000,37401,1,EL,1,100,26445.800781
1866437.500,37418,2,EL,1,100,26446.000000
1866504.000,37418,2,EL,1,100,26446.000000
1866571.000,37434,1,EL,1,100,26446.000000
1866637.500,37450,2,EL,1,100,26446.000000
1866704.000,37450,2,EL,1,100,26446.000000
1866771.000,37466,1,EL,1,100,26446.000000
1866837.500,37483,2,EL,1,100,26446.000000
1866904.000,37483,2,EL,1,100,26446.000000
1866971.000,37500,1,EL,1,100,26446.000000
1867037.500,37516,2,EL,1,100,26446.000000
1867104.000,37516,2,EL,1,100,26446.000000
1867170.500,37538,2,EL,1,100,26445.599609
1867237.000,37538,2,EL,1,100,26445.599609
1867304.000,37556,2,EL,1,100,26446.199219
1867371.000,37556,2,EL,1,100,26446.400391
1867437.000,37572,1,EL,1,100,26447.000000
1867504.000,37589,2,EL,1,100,26447.000000
1867571.000,37589,2,EL,1,100,26446.599609
1867638.000,37606,1,EL,1,100,26447.000000
1867704.500,37622,2,EL,1,100,26447.000000
1867771.000,37622,2,EL,1,100,26447.000000
1867837.000,37637,1,EL,1,100,26447.000000
1867904.000,37655,2,EL,1,100,26447.000000
1867971.000,37655,2,EL,1,100,26447.000000
1868037.000,37671,1,EL,1,100,26447.000000
1868104.000,37687,2,EL,1,100,26447.199219
1868171.000,37687,2,EL,1,100,26447.000000
1868237.500,37703,2,EL,1,100,26447.000000
1868304.000,37703,2,EL,1,100,26447.000000
1868371.000,37720,1,EL,1,100,26447.000000
