EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1868246.000,37705,1,TH,1,100,23.055
1868379.000,37722,1,TH,1,100,23.118
1868512.000,37738,1,TH,1,100,23.111
1868645.000,37756,1,TH,1,100,23.030
1868779.000,37787,1,TH,1,100,23.037
1868912.000,37803,1,TH,1,100,23.071
1869046.000,37821,1,TH,1,100,23.064
1869179.000,37852,1,TH,1,100,23.027
1869312.000,37869,1,TH,1,100,23.034
1869445.000,37886,1,TH,1,100,23.158
1869579.000,37918,1,TH,1,100,23.158
1869712.000,37934,1,TH,1,100,23.061
1869846.000,37951,1,TH,1,100,23.061
1869979.000,37983,1,TH,1,100,23.045
1870112.000,37999,1,TH,1,100,23.045
1870245.000,38016,1,TH,1,100,23.016
1870379.000,38048,1,TH,1,100,23.016
1870512.000,38064,1,TH,1,100,23.139
1870645.000,38082,1,TH,1,100,23.147
1870779.000,38098,1,TH,1,100,23.060
1870912.000,38130,1,TH,1,100,23.060
1871045.000,38147,1,TH,1,100,23.096
1871179.000,38163,1,TH,1,100,23.097
1871312.000,38197,1,TH,1,100,23.084
1871445.000,38214,1,TH,1,100,23.084
1871579.000,38230,1,TH,1,100,22.979
1871712.000,38248,1,TH,1,100,22.978
1871845.000,38279,1,TH,1,100,22.994
1871979.000,38296,1,TH,1,100,22.994
1872112.000,38313,1,TH,1,100,23.076
1872245.000,38350,2,TH,1,100,23.076
1872378.000,38350,2,TH,1,100,23.089
1872512.000,38381,1,TH,1,100,23.089
1872645.000,38399,1,TH,1,100,22.984
1872778.000,38415,1,TH,1,100,22.984
1872912.000,38432,1,TH,1,100,23.036
1873045.000,38449,1,TH,1,100,23.036
1873178.000,38480,1,TH,1,100,22.905
1873312.000,38498,1,TH,1,100,22.905
1873445.000,38514,1,TH,1,100,23.012
1873578.000,38546,1,TH,1,100,23.012
1873712.000,38563,1,TH,1,100,23.125
1873845.000,38579,1,TH,1,100,23.126
1873978.000,38611,1,TH,1,100,23.002
1874112.000,38628,1,TH,1,100,23.002
1874245.000,38644,1,TH,1,100,22.897
1874378.000,38676,1,TH,1,100,22.896
1874512.000,38693,1,TH,1,100,23.052
1874645.000,38710,1,TH,1,100,23.052
1874778.000,38741,1,TH,1,100,22.902
1874911.000,38758,1,TH,1,100,22.902
1875045.000,38775,1,TH,1,100,22.983
1875178.000,38806,1,TH,1,100,22.991
1875311.000,38824,1,TH,1,100,23.020
1875445.000,38840,1,TH,1,100,23.012
1875578.000,38857,1,TH,1,100,23.067
1875711.000,38889,1,TH,1,100,23.067
1875845.000,38905,1,TH,1,100,22.955
1875978.000,38923,1,TH,1,100,22.954
1876111.000,38939,1,TH,1,100,22.954
1876245.000,38971,1,TH,1,100,22.962
1876378.000,38990,1,TH,1,100,22.959
1876511.000,39006,1,TH,1,100,22.959
1876645.000,39038,1,TH,1,100,22.946
1876778.000,39055,1,TH,1,100,22.946
1876911.000,39071,1,TH,1,100,22.927
1877045.000,39103,1,TH,1,100,22.927
1877178.000,39120,1,TH,1,100,22.927
1877311.000,39137,1,TH,1,100,22.927
1877445.000,39159,1,TH,1,100,22.959
1877578.000,39175,1,TH,1,100,22.959
1877711.000,39193,1,TH,1,100,22.985
1877845.000,39209,1,TH,1,100,22.985
1877978.000,39241,1,TH,1,100,22.886
1878111.000,39258,1,TH,1,100,22.885
1878244.000,39274,1,TH,1,100,22.843
1878378.000,39306,1,TH,1,100,22.850
1878511.000,39323,1,TH,1,100,22.945
1878644.000,39340,1,TH,1,100,22.945
1878778.000,39371,1,TH,1,100,22.887
1878911.000,39388,1,TH,1,100,22.887
1879044.000,39405,1,TH,1,100,22.958
1879178.000,39436,1,TH,1,100,22.958
1879311.000,39454,1,TH,1,100,22.924
1879444.000,39470,1,TH,1,100,22.931
1879578.000,39502,1,TH,1,100,22.879
1879711.000,39519,1,TH,1,100,22.879
1879844.000,39535,1,TH,1,100,22.963
1879978.000,39553,1,TH,1,100,22.963
1880111.000,39584,1,TH,1,100,22.921
1880244.000,39600,1,TH,1,100,22.921
1880378.000,39618,1,TH,1,100,22.889
1880511.000,39649,1,TH,1,100,22.896
1880644.000,39666,1,TH,1,100,22.970
1880778.000,39683,1,TH,1,100,22.970
1880911.000,39715,1,TH,1,100,22.933
1881044.000,39731,1,TH,1,100,22.933
1881178.000,39748,1,TH,1,100,22.959
1881311.000,39765,1,TH,1,100,22.967
1881444.000,39798,1,TH,1,100,23.027
1881578.000,39815,1,TH,1,100,23.027
1881711.000,39832,1,TH,1,100,22.899
1881844.000,39863,1,TH,1,100,22.898
1881977.500,39881,2,TH,1,100,22.998
1882111.000,39881,2,TH,1,100,22.998
1882244.000,39897,1,TH,1,100,22.920
1882378.000,39915,1,TH,1,100,22.919
1882511.000,39938,2,TH,1,100,22.948
1882644.000,39938,2,TH,1,100,22.948
1882777.000,39954,1,TH,1,100,22.938
1882911.000,39971,1,TH,1,100,22.938
1883044.000,40003,1,TH,1,100,22.901
1883177.000,40019,1,TH,1,100,22.901
1883311.000,40037,1,TH,1,100,22.861
1883444.000,40068,1,TH,1,100,22.861
1883577.000,40084,1,TH,1,100,22.898
1883711.000,40102,1,TH,1,100,22.898
1883844.000,40118,1,TH,1,100,22.922
1883977.000,40150,1,TH,1,100,22.929
1884111.000,40167,1,TH,1,100,22.908
1884244.000,40183,1,TH,1,100,22.908
1884377.000,40215,1,TH,1,100,22.861
1884511.000,40232,1,TH,1,100,22.861
1884644.000,40249,1,TH,1,100,22.905
1884777.000,40280,1,TH,1,100,22.913
1884910.000,40297,1,TH,1,100,23.002
1885044.000,40314,1,TH,1,100,23.002
1885177.000,40345,1,TH,1,100,22.902
1885310.000,40363,1,TH,1,100,22.902
1885444.000,40379,1,TH,1,100,23.036
1885577.000,40411,1,TH,1,100,23.036
1885710.000,40428,1,TH,1,100,22.963
1885844.000,40444,1,TH,1,100,22.970
1885977.000,40476,1,TH,1,100,22.875
1886110.000,40493,1,TH,1,100,22.875
1886244.000,40509,1,TH,1,100,22.933
1886377.000,40529,1,TH,1,100,22.933
1886510.000,40560,1,TH,1,100,22.972
1886644.000,40577,1,TH,1,100,22.980
1886777.000,40594,1,TH,1,100,22.932
1886910.000,40626,1,TH,1,100,22.932
1887044.000,40642,1,TH,1,100,23.045
1887177.000,40659,1,TH,1,100,23.045
1887310.000,40691,1,TH,1,100,22.943
1887444.000,40707,1,TH,1,100,22.950
1887577.000,40724,1,TH,1,100,23.018
1887710.500,40760,2,TH,1,100,23.018
1887844.000,40760,2,TH,1,100,22.937
1887977.000,40792,1,TH,1,100,22.937
1888110.000,40808,1,TH,1,100,22.973
1888244.000,40825,1,TH,1,100,22.981
1888377.000,40857,1,TH,1,100,22.949
1888510.000,40873,1,TH,1,100,22.949
1888644.000,40891,1,TH,1,100,22.957
1888777.000,40922,1,TH,1,100,22.957
1888910.000,40938,1,TH,1,100,22.926
1889044.000,40956,1,TH,1,100,22.933
1889177.000,40987,1,TH,1,100,23.043
1889310.000,41004,1,TH,1,100,23.043
1889443.000,41021,1,TH,1,100,23.017
1889577.000,41053,1,TH,1,100,23.017
1889710.000,41069,1,TH,1,100,23.041
1889843.000,41086,1,TH,1,100,23.048
1889977.000,41103,1,TH,1,100,22.964
1890110.000,41134,1,TH,1,100,22.964
1890243.000,41151,1,TH,1,100,23.027
1890377.000,41168,1,TH,1,100,23.027
1890510.000,41199,1,TH,1,100,22.972
1890643.000,41217,1,TH,1,100,22.971
1890777.000,41233,1,TH,1,100,22.977
1890910.000,41265,1,TH,1,100,22.977
1891043.000,41282,1,TH,1,100,22.990
1891177.000,41298,1,TH,1,100,22.997
1891310.000,41332,1,TH,1,100,23.002
1891443.000,41349,1,TH,1,100,23.002
1891576.000,41365,1,TH,1,100,23.044
1891710.000,41397,1,TH,1,100,23.052
1891843.000,41414,1,TH,1,100,23.028
1891977.000,41431,1,TH,1,100,23.028
1892110.000,41448,1,TH,1,100,23.052
1892243.000,41480,1,TH,1,100,23.052
1892376.000,41496,1,TH,1,100,22.997
1892510.000,41513,1,TH,1,100,23.004
1892643.000,41545,1,TH,1,100,23.064
1892777.000,41561,1,TH,1,100,23.064
1892910.000,41584,1,TH,1,100,23.043
1893043.000,41601,1,TH,1,100,23.043
1893176.000,41632,1,TH,1,100,23.103
1893310.000,41650,1,TH,1,100,23.111
1893443.000,41666,1,TH,1,100,22.982
1893576.000,41698,1,TH,1,100,22.982
1893710.000,41715,1,TH,1,100,23.029
1893843.000,41731,1,TH,1,100,23.029
1893976.000,41749,1,TH,1,100,23.019
1894110.000,41780,1,TH,1,100,23.019
1894243.000,41796,1,TH,1,100,22.956
1894376.000,41814,1,TH,1,100,22.955
1894510.000,41845,1,TH,1,100,22.995
1894643.000,41862,1,TH,1,100,22.995
1894776.000,41879,1,TH,1,100,23.019
1894910.000,41911,1,TH,1,100,23.026
1895043.000,41927,1,TH,1,100,23.002
1895176.000,41944,1,TH,1,100,23.002
1895310.000,41976,1,TH,1,100,22.945
1895443.000,41992,1,TH,1,100,22.945
1895576.000,42009,1,TH,1,100,22.971
1895709.000,42041,1,TH,1,100,22.971
1895843.000,42057,1,TH,1,100,22.984
1895976.000,42075,1,TH,1,100,22.991
1896109.000,42091,1,TH,1,100,23.057
1896243.000,42123,1,TH,1,100,23.057
1896376.000,42142,1,TH,1,100,23.057
1896509.000,42158,1,TH,1,100,23.057
1896643.000,42190,1,TH,1,100,23.009
1896776.000,42207,1,TH,1,100,23.017
1896909.000,42223,1,TH,1,100,23.040
1897043.000,42255,1,TH,1,100,23.040
1897176.000,42272,1,TH,1,100,23.017
1897309.000,42289,1,TH,1,100,23.017
1897443.000,42320,1,TH,1,100,23.045
1897576.000,42337,1,TH,1,100,23.045
1897709.000,42354,1,TH,1,100,22.969
1897842.000,42385,1,TH,1,100,22.969
1897976.000,42408,1,TH,1,100,23.121
1898109.000,42424,1,TH,1,100,23.122
1898242.000,42441,1,TH,1,100,22.951
1898376.000,42458,1,TH,1,100,22.951
1898509.000,42489,1,TH,1,100,23.001
1898643.000,42507,1,TH,1,100,23.008
1898776.000,42523,1,TH,1,100,22.953
1898909.000,42555,1,TH,1,100,22.953
1899043.000,42572,1,TH,1,100,22.990
1899176.000,42588,1,TH,1,100,22.990
1899309.000,42620,1,TH,1,100,22.997
1899442.000,42637,1,TH,1,100,22.997
1899576.000,42653,1,TH,1,100,23.039
1899709.000,42685,1,TH,1,100,23.040
1899842.000,42702,1,TH,1,100,23.105
1899976.000,42719,1,TH,1,100,23.105
1900109.000,42750,1,TH,1,100,23.000
1900242.000,42768,1,TH,1,100,23.008
1900376.000,42784,1,TH,1,100,22.958
1900509.000,42801,1,TH,1,100,22.957
1900642.000,42833,1,TH,1,100,22.952
1900776.000,42849,1,TH,1,100,22.952
1900909.000,42866,1,TH,1,100,23.018
1901042.000,42898,1,TH,1,100,23.018
1901176.000,42914,1,TH,1,100,23.021
1901309.000,42932,1,TH,1,100,23.021
1901442.000,42965,1,TH,1,100,23.013
1901575.000,42981,1,TH,1,100,23.013
1901709.000,42999,1,TH,1,100,22.968
1901842.000,43030,1,TH,1,100,22.975
1901976.000,43047,1,TH,1,100,23.140
1902109.000,43064,1,TH,1,100,23.141
1902242.000,43082,1,TH,1,100,22.947
1902375.000,43098,1,TH,1,100,22.946
1902509.000,43115,1,TH,1,100,22.975
1902642.000,43147,1,TH,1,100,22.975
1902775.000,43163,1,TH,1,100,23.028
1902909.000,43180,1,TH,1,100,23.035
1903042.000,43217,2,TH,1,100,22.951
1903175.000,43217,2,TH,1,100,22.951
1903309.000,43249,1,TH,1,100,22.964
1903442.000,43265,1,TH,1,100,22.964
1903575.000,43282,1,TH,1,100,22.911
1903709.000,43314,1,TH,1,100,22.911
1903842.000,43330,1,TH,1,100,23.016
1903975.000,43348,1,TH,1,100,23.017
1904109.000,43379,1,TH,1,100,23.017
1904242.000,43395,1,TH,1,100,23.017
1904375.000,43413,1,TH,1,100,22.969
1904509.000,43429,1,TH,1,100,22.969
1904642.000,43447,1,TH,1,100,23.027
1904775.000,43478,1,TH,1,100,23.034
1904908.000,43494,1,TH,1,100,23.032
1905042.000,43512,1,TH,1,100,23.032
1905175.000,43543,1,TH,1,100,22.942
1905308.000,43560,1,TH,1,100,22.942
1905442.000,43577,1,TH,1,100,23.005
1905575.000,43609,1,TH,1,100,23.005
1905708.000,43625,1,TH,1,100,22.997
1905842.000,43642,1,TH,1,100,22.997
1905975.000,43674,1,TH,1,100,22.934
1906108.000,43690,1,TH,1,100,22.934
1906242.000,43707,1,TH,1,100,23.068
1906375.000,43741,1,TH,1,100,23.076
1906508.000,43757,1,TH,1,100,22.976
1906642.000,43775,1,TH,1,100,22.976
1906775.000,43806,1,TH,1,100,23.049
1906908.000,43823,1,TH,1,100,23.057
1907042.000,43840,1,TH,1,100,23.088
1907175.000,43856,1,TH,1,100,23.088
1907308.000,43888,1,TH,1,100,23.007
1907442.000,43905,1,TH,1,100,23.007
1907575.000,43921,1,TH,1,100,23.041
1907708.000,43953,1,TH,1,100,23.048
1907842.000,43970,1,TH,1,100,23.140
1907975.000,43987,1,TH,1,100,23.140
1908108.000,44004,1,TH,1,100,23.075
1908241.000,44025,1,TH,1,100,23.074
1908375.000,44043,1,TH,1,100,23.077
1908508.000,44074,1,TH,1,100,23.077
1908641.000,44091,1,TH,1,100,23.038
1908775.000,44108,1,TH,1,100,23.045
1908908.000,44140,1,TH,1,100,23.131
1909041.000,44156,1,TH,1,100,23.132
1909175.000,44173,1,TH,1,100,23.116
1909308.000,44190,1,TH,1,100,23.116
1909441.000,44221,1,TH,1,100,23.084
1909575.000,44238,1,TH,1,100,23.084
1909708.000,44255,1,TH,1,100,23.118
1909841.000,44286,1,TH,1,100,23.118
1909975.000,44304,1,TH,1,100,23.145
1910108.000,44320,1,TH,1,100,23.145
1910241.000,44352,1,TH,1,100,23.126
1910375.000,44369,1,TH,1,100,23.133
1910508.000,44385,1,TH,1,100,23.118
1910641.000,44417,1,TH,1,100,23.118
1910775.000,44434,1,TH,1,100,23.152
1910908.000,44450,1,TH,1,100,23.152
1911041.000,44468,1,TH,1,100,23.120
1911175.000,44499,1,TH,1,100,23.120
1911308.000,44517,1,TH,1,100,23.039
1911441.000,44535,1,TH,1,100,23.039
1911575.000,44552,1,TH,1,100,23.062
1911708.000,44584,1,TH,1,100,23.062
1911841.000,44600,1,TH,1,100,23.023
1911974.000,44618,1,TH,1,100,23.023
1912108.000,44649,1,TH,1,100,23.167
1912241.000,44665,1,TH,1,100,23.168
1912374.000,44683,1,TH,1,100,23.092
1912508.000,44714,1,TH,1,100,23.099
1912641.000,44731,1,TH,1,100,23.086
1912774.000,44748,1,TH,1,100,23.078
1912908.000,44780,1,TH,1,100,23.131
1913041.000,44796,1,TH,1,100,23.138
1913174.000,44813,1,TH,1,100,23.117
1913308.000,44834,1,TH,1,100,23.110
1913441.000,44850,1,TH,1,100,23.039
