LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
0.000000,0.000000,1726701766.617593,419395.000,595,2,EL,1,100,-18291.199219
0.000000,0.000000,1726701766.617593,419395.000,595,2,EL,1,100,-18291.000000
0.000000,0.000000,1726701766.683594,419461.000,613,1,EL,1,100,-18291.000000
0.000000,0.000000,1726701766.750594,419528.000,629,2,EL,1,100,-18290.400391
0.000000,0.000000,1726701766.817595,419595.000,629,2,EL,1,100,-18290.199219
0.000000,0.000000,1726701766.883596,419661.000,646,1,EL,1,100,-18290.599609
0.000000,0.000000,1726701766.950597,419728.000,663,2,EL,1,100,-18290.000000
0.000000,0.000000,1726701767.017598,419795.000,663,2,EL,1,100,-18290.000000
0.000000,0.000000,1726701767.083599,419861.000,680,1,EL,1,100,-18290.199219
0.000000,0.000000,1726701767.150600,419928.000,694,2,EL,1,100,-18290.000000
0.000000,0.000000,1726701767.217601,419995.000,694,2,EL,1,100,-18289.800781
0.000000,0.000000,1726701767.283602,420061.000,711,1,EL,1,100,-18290.000000
0.000000,0.000000,1726701767.350603,420128.000,728,2,EL,1,100,-18290.000000
0.000000,0.000000,1726701767.417604,420195.000,728,2,EL,1,100,-18289.800781
0.000000,0.000000,1726701767.483605,420261.000,745,1,EL,1,100,-18289.400391
0.000000,0.000000,1726701767.550606,420328.000,759,2,EL,1,100,-18289.400391
0.000000,0.000000,1726701767.617607,420395.000,759,2,EL,1,100,-18289.199219
0.000000,0.000000,1726701767.684608,420462.000,782,1,EL,1,100,-18289.800781
0.000000,0.000000,1726701767.751109,420528.500,798,2,EL,1,100,-18289.400391
0.000000,0.000000,1726701767.817610,420595.000,798,2,EL,1,100,-18289.000000
0.000000,0.000000,1726701767.883610,420661.000,815,1,EL,1,100,-18288.199219
0.000000,0.000000,1726701767.950611,420728.000,831,2,EL,1,100,-18288.800781
0.000000,0.000000,1726701768.017612,420795.000,831,2,EL,1,100,-18288.400391
0.000000,0.000000,1726701768.083613,420861.000,847,1,EL,1,100,-18288.800781
0.000000,0.000000,1726701768.150614,420928.000,863,2,EL,1,100,-18288.400391
0.000000,0.000000,1726701768.217615,420995.000,863,2,EL,1,100,-18289.000000
0.000000,0.000000,1726701768.284116,421061.500,881,2,EL,1,100,-18289.000000
0.000000,0.000000,1726701768.350617,421128.000,881,2,EL,1,100,-18289.000000
0.000000,0.000000,1726701768.417618,421195.000,899,1,EL,1,100,-18289.199219
0.000000,0.000000,1726701768.484119,421261.500,914,2,EL,1,100,-18290.800781
0.000000,0.000000,1726701768.550620,421328.000,914,2,EL,1,100,-18291.199219
0.000000,0.000000,1726701768.617621,421395.000,930,1,EL,1,100,-18291.400391
0.000000,0.000000,1726701768.684122,421461.500,948,2,EL,1,100,-18293.400391
0.000000,0.000000,1726701768.750623,421528.000,948,2,EL,1,100,-18295.800781
0.000000,0.000000,1726701768.817624,421595.000,964,1,EL,1,100,-18297.199219
0.000000,0.000000,1726701768.884125,421661.500,981,2,EL,1,100,-18298.800781
0.000000,0.000000,1726701768.950626,421728.000,981,2,EL,1,100,-18298.599609
