LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
0.000000,0.000000,1726701905.758555,558534,23360,1,SA,1,100,0.205631
0.000000,0.000000,1726701942.890079,595665,29393,1,SA,1,100,0.012211
0.000000,0.000000,1726701943.622089,596397,29463,1,SA,1,100,0.001272
0.000000,0.000000,1726701981.286620,634061,35610,1,SA,1,100,0.002589
0.000000,0.000000,1726702071.677895,724451,50230,1,SA,1,100,0.005324
0.000000,0.000000,1726702080.877025,733650,51738,1,SA,1,100,0.084834
