LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
0.000000,0.000000,1726702085.743093,738516.000,52481,1,EA,1,100,0.030054
0.000000,0.000000,1726702085.809594,738582.500,52496,2,EA,1,100,0.030054
0.000000,0.000000,1726702085.876095,738649.000,52496,2,EA,1,100,0.030054
0.000000,0.000000,1726702085.943096,738716.000,52512,1,EA,1,100,0.030054
0.000000,0.000000,1726702086.009597,738782.500,52530,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.076098,738849.000,52530,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.143099,738916.000,52546,1,EA,1,100,0.030054
0.000000,0.000000,1726702086.210100,738983.000,52561,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.277101,739050.000,52561,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.343102,739116.000,52578,1,EA,1,100,0.030054
0.000000,0.000000,1726702086.410103,739183.000,52595,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.477104,739250.000,52595,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.543105,739316.000,52611,1,EA,1,100,0.030054
0.000000,0.000000,1726702086.609606,739382.500,52627,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.676107,739449.000,52627,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.743108,739516.000,52643,1,EA,1,100,0.030054
0.000000,0.000000,1726702086.809608,739582.500,52660,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.876109,739649.000,52660,2,EA,1,100,0.030054
0.000000,0.000000,1726702086.943110,739716.000,52676,1,EA,1,100,0.030054
0.000000,0.000000,1726702087.009611,739782.500,52692,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.076112,739849.000,52692,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.143113,739916.000,52708,1,EA,1,100,0.030054
0.000000,0.000000,1726702087.209614,739982.500,52725,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.276115,740049.000,52725,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.343116,740116.000,52742,1,EA,1,100,0.030054
0.000000,0.000000,1726702087.409617,740182.500,52757,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.476118,740249.000,52757,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.543119,740316.000,52773,1,EA,1,100,0.030054
0.000000,0.000000,1726702087.609620,740382.500,52791,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.676121,740449.000,52791,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.743122,740516.000,52807,1,EA,1,100,0.030054
0.000000,0.000000,1726702087.809623,740582.500,52823,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.876124,740649.000,52823,2,EA,1,100,0.030054
0.000000,0.000000,1726702087.943124,740716.000,52839,2,EA,1,100,0.030055
0.000000,0.000000,1726702088.010125,740783.000,52839,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.076126,740849.000,52856,1,EA,1,100,0.030054
0.000000,0.000000,1726702088.143127,740916.000,52872,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.210128,740983.000,52872,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.276129,741049.000,52889,1,EA,1,100,0.030054
0.000000,0.000000,1726702088.343130,741116.000,52906,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.410131,741183.000,52906,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.476132,741249.000,52923,1,EA,1,100,0.030054
0.000000,0.000000,1726702088.543133,741316.000,52939,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.610134,741383.000,52939,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.676135,741449.000,52957,1,EA,1,100,0.030054
0.000000,0.000000,1726702088.743136,741516.000,52971,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.810137,741583.000,52971,2,EA,1,100,0.030054
0.000000,0.000000,1726702088.876138,741649.000,52988,1,EA,1,100,0.030054
0.000000,0.000000,1726702088.943139,741716.000,53005,2,EA,1,100,0.030054
0.000000,0.000000,1726702089.010140,741783.000,53005,2,EA,1,100,0.030054
0.000000,0.000000,1726702089.076140,741849.000,53022,1,EA,1,100,0.030054
0.000000,0.000000,1726702089.143141,741916.000,53036,2,EA,1,100,0.030054
0.000000,0.000000,1726702089.210142,741983.000,53036,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.276143,742049.000,53053,1,EA,1,100,0.030054
0.000000,0.000000,1726702089.342644,742115.500,53070,2,EA,1,100,0.030054
0.000000,0.000000,1726702089.409145,742182.000,53070,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.476146,742249.000,53087,1,EA,1,100,0.030055
0.000000,0.000000,1726702089.543147,742316.000,53102,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.610148,742383.000,53102,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.676149,742449.000,53119,1,EA,1,100,0.030055
0.000000,0.000000,1726702089.743150,742516.000,53135,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.810151,742583.000,53135,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.876652,742649.500,53152,2,EA,1,100,0.030055
0.000000,0.000000,1726702089.943153,742716.000,53152,2,EA,1,100,0.030055
