LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726701766.683594,419461.000,608,1,SF,1,100,4.5542
0.000000,0.000000,1726701767.017598,419795.000,658,1,SF,1,100,4.5016
0.000000,0.000000,1726701767.417604,420195.000,723,1,SF,1,100,4.4495
0.000000,0.000000,1726701767.684608,420462.000,777,1,SF,1,100,4.3980
0.000000,0.000000,1726701768.017612,420795.000,826,1,SF,1,100,4.3471
0.000000,0.000000,1726701768.350617,421128.000,876,1,SF,1,100,4.2968
0.000000,0.000000,1726701768.750623,421528.000,943,1,SF,1,100,4.2471
0.000000,0.000000,1726701769.017626,421795.000,993,1,SF,1,100,4.1980
0.000000,0.000000,1726701769.350631,422128.000,1042,1,SF,1,100,4.1494
0.000000,0.000000,1726701769.750637,422528.000,1109,1,SF,1,100,4.1014
0.000000,0.000000,1726701770.017641,422795.000,1161,1,SF,1,100,4.0540
0.000000,0.000000,1726701770.350645,423128.000,1210,1,SF,1,100,4.0071
0.000000,0.000000,1726701770.683650,423461.000,1258,1,SF,1,100,3.9607
0.000000,0.000000,1726701771.083656,423861.000,1323,1,SF,1,100,3.9149
0.000000,0.000000,1726701771.350659,424128.000,1376,1,SF,1,100,3.8696
0.000000,0.000000,1726701771.683664,424461.000,1424,1,SF,1,100,3.8249
0.000000,0.000000,1726701772.083670,424861.000,1489,1,SF,1,100,3.7806
0.000000,0.000000,1726701772.350673,425128.000,1538,1,SF,1,100,3.7369
0.000000,0.000000,1726701772.683678,425461.000,1589,1,SF,1,100,3.6937
0.000000,0.000000,1726701773.016683,425794.000,1644,1,SF,1,100,3.6509
0.000000,0.000000,1726701773.416689,426194.000,1711,1,SF,1,100,3.6087
0.000000,0.000000,1726701773.683692,426461.000,1759,1,SF,1,100,3.5670
0.000000,0.000000,1726701774.016697,426794.000,1810,1,SF,1,100,3.5257
0.000000,0.000000,1726701774.416703,427194.000,1875,1,SF,1,100,3.4849
0.000000,0.000000,1726701774.683706,427461.000,1925,1,SF,1,100,3.4446
0.000000,0.000000,1726701775.016711,427794.000,1974,1,SF,1,100,3.4047
0.000000,0.000000,1726701775.349716,428127.000,2024,1,SF,1,100,3.3654
0.000000,0.000000,1726701775.749721,428527.000,2089,1,SF,1,100,3.3264
0.000000,0.000000,1726701776.016725,428794.000,2140,1,SF,1,100,3.2880
0.000000,0.000000,1726701776.349730,429127.000,2188,1,SF,1,100,3.2499
0.000000,0.000000,1726701776.749736,429527.000,2255,1,SF,1,100,3.2123
0.000000,0.000000,1726701777.082740,429860.000,2304,1,SF,1,100,3.1752
0.000000,0.000000,1726701777.349744,430127.000,2354,1,SF,1,100,3.1384
0.000000,0.000000,1726701777.682749,430460.000,2403,1,SF,1,100,3.1021
0.000000,0.000000,1726701778.082754,430860.000,2459,1,SF,1,100,3.0662
0.000000,0.000000,1726701778.416759,431194.000,2510,1,SF,1,100,3.0308
0.000000,0.000000,1726701778.749764,431527.000,2560,1,SF,1,100,2.9957
0.000000,0.000000,1726701779.016767,431794.000,2608,1,SF,1,100,2.9611
0.000000,0.000000,1726701779.349772,432127.000,2659,1,SF,1,100,2.9268
0.000000,0.000000,1726701779.749778,432527.000,2724,1,SF,1,100,2.8929
0.000000,0.000000,1726701780.016782,432794.000,2774,1,SF,1,100,2.8595
0.000000,0.000000,1726701780.349786,433127.000,2823,1,SF,1,100,2.8264
0.000000,0.000000,1726701780.749792,433527.000,2890,1,SF,1,100,2.7937
0.000000,0.000000,1726701781.082797,433860.000,2938,1,SF,1,100,2.7614
