LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
0.000000,0.000000,1726702110.835447,763608.000,56543,3,AY,1,100,-0.686
0.000000,0.000000,1726702110.875448,763648.000,56543,3,AY,1,100,-0.689
0.000000,0.000000,1726702110.915448,763688.000,56543,3,AY,1,100,-0.687
0.000000,0.000000,1726702110.955449,763728.000,56561,2,AY,1,100,-0.685
0.000000,0.000000,1726702110.995450,763768.000,56561,2,AY,1,100,-0.690
0.000000,0.000000,1726702111.035450,763808.000,56576,3,AY,1,100,-0.685
0.000000,0.000000,1726702111.075451,763848.000,56576,3,AY,1,100,-0.688
0.000000,0.000000,1726702111.115451,763888.000,56576,3,AY,1,100,-0.686
0.000000,0.000000,1726702111.155452,763928.000,56592,3,AY,1,100,-0.686
0.000000,0.000000,1726702111.195452,763968.000,56592,3,AY,1,100,-0.687
0.000000,0.000000,1726702111.235453,764008.000,56592,3,AY,1,100,-0.688
0.000000,0.000000,1726702111.275454,764048.000,56608,2,AY,1,100,-0.686
0.000000,0.000000,1726702111.315454,764088.000,56608,2,AY,1,100,-0.684
0.000000,0.000000,1726702111.355455,764128.000,56626,3,AY,1,100,-0.688
0.000000,0.000000,1726702111.395455,764168.000,56626,3,AY,1,100,-0.689
0.000000,0.000000,1726702111.435456,764208.000,56626,3,AY,1,100,-0.689
0.000000,0.000000,1726702111.475456,764248.000,56641,2,AY,1,100,-0.686
0.000000,0.000000,1726702111.515457,764288.000,56641,2,AY,1,100,-0.685
0.000000,0.000000,1726702111.555457,764328.000,56657,3,AY,1,100,-0.686
0.000000,0.000000,1726702111.595458,764368.000,56657,3,AY,1,100,-0.687
0.000000,0.000000,1726702111.635459,764408.000,56657,3,AY,1,100,-0.688
0.000000,0.000000,1726702111.675459,764448.000,56674,2,AY,1,100,-0.687
0.000000,0.000000,1726702111.715460,764488.000,56674,2,AY,1,100,-0.686
0.000000,0.000000,1726702111.755460,764528.000,56691,3,AY,1,100,-0.689
0.000000,0.000000,1726702111.795461,764568.000,56691,3,AY,1,100,-0.690
0.000000,0.000000,1726702111.835461,764608.000,56691,3,AY,1,100,-0.686
0.000000,0.000000,1726702111.875462,764648.000,56707,2,AY,1,100,-0.686
0.000000,0.000000,1726702111.915463,764688.000,56707,2,AY,1,100,-0.687
0.000000,0.000000,1726702111.955130,764727.667,56723,3,AY,1,100,-0.687
0.000000,0.000000,1726702111.994797,764767.333,56723,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.034464,764807.000,56723,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.074465,764847.000,56739,2,AY,1,100,-0.688
0.000000,0.000000,1726702112.114465,764887.000,56739,2,AY,1,100,-0.687
0.000000,0.000000,1726702112.154799,764927.333,56756,3,AY,1,100,-0.685
0.000000,0.000000,1726702112.195133,764967.667,56756,3,AY,1,100,-0.689
0.000000,0.000000,1726702112.235467,765008.000,56756,3,AY,1,100,-0.688
0.000000,0.000000,1726702112.275468,765048.000,56773,2,AY,1,100,-0.686
0.000000,0.000000,1726702112.315468,765088.000,56773,2,AY,1,100,-0.690
0.000000,0.000000,1726702112.355135,765127.667,56788,3,AY,1,100,-0.689
0.000000,0.000000,1726702112.394803,765167.333,56788,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.434470,765207.000,56788,3,AY,1,100,-0.688
0.000000,0.000000,1726702112.474804,765247.333,56804,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.515138,765287.667,56804,3,AY,1,100,-0.688
0.000000,0.000000,1726702112.555472,765328.000,56804,3,AY,1,100,-0.689
0.000000,0.000000,1726702112.594972,765367.500,56821,2,AY,1,100,-0.686
0.000000,0.000000,1726702112.634473,765407.000,56821,2,AY,1,100,-0.685
0.000000,0.000000,1726702112.674473,765447.000,56838,3,AY,1,100,-0.685
0.000000,0.000000,1726702112.714474,765487.000,56838,3,AY,1,100,-0.689
0.000000,0.000000,1726702112.754474,765527.000,56838,3,AY,1,100,-0.688
0.000000,0.000000,1726702112.794475,765567.000,56853,2,AY,1,100,-0.690
0.000000,0.000000,1726702112.834476,765607.000,56853,2,AY,1,100,-0.684
0.000000,0.000000,1726702112.874476,765647.000,56869,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.914477,765687.000,56869,3,AY,1,100,-0.690
0.000000,0.000000,1726702112.954477,765727.000,56869,3,AY,1,100,-0.687
0.000000,0.000000,1726702112.994978,765767.500,56887,2,AY,1,100,-0.685
0.000000,0.000000,1726702113.035478,765808.000,56887,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.075146,765847.667,56903,3,AY,1,100,-0.689
0.000000,0.000000,1726702113.114813,765887.333,56903,3,AY,1,100,-0.689
0.000000,0.000000,1726702113.154480,765927.000,56903,3,AY,1,100,-0.689
0.000000,0.000000,1726702113.194981,765967.500,56918,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.235481,766008.000,56918,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.275482,766048.000,56935,3,AY,1,100,-0.687
0.000000,0.000000,1726702113.315482,766088.000,56935,3,AY,1,100,-0.688
0.000000,0.000000,1726702113.355483,766128.000,56935,3,AY,1,100,-0.691
0.000000,0.000000,1726702113.395483,766168.000,56954,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.435484,766208.000,56954,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.475151,766247.667,56970,3,AY,1,100,-0.688
0.000000,0.000000,1726702113.514818,766287.333,56970,3,AY,1,100,-0.688
0.000000,0.000000,1726702113.554486,766327.000,56970,3,AY,1,100,-0.687
0.000000,0.000000,1726702113.594486,766367.000,56986,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.634487,766407.000,56986,2,AY,1,100,-0.685
0.000000,0.000000,1726702113.674487,766447.000,57002,3,AY,1,100,-0.690
0.000000,0.000000,1726702113.714488,766487.000,57002,3,AY,1,100,-0.688
0.000000,0.000000,1726702113.754488,766527.000,57002,3,AY,1,100,-0.687
0.000000,0.000000,1726702113.794489,766567.000,57019,2,AY,1,100,-0.685
0.000000,0.000000,1726702113.834490,766607.000,57019,2,AY,1,100,-0.687
0.000000,0.000000,1726702113.874824,766647.333,57035,3,AY,1,100,-0.689
0.000000,0.000000,1726702113.915157,766687.667,57035,3,AY,1,100,-0.689
0.000000,0.000000,1726702113.955491,766728.000,57035,3,AY,1,100,-0.687
0.000000,0.000000,1726702113.994992,766767.500,57052,2,AY,1,100,-0.686
0.000000,0.000000,1726702114.034492,766807.000,57052,2,AY,1,100,-0.689
0.000000,0.000000,1726702114.074493,766847.000,57067,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.114494,766887.000,57067,3,AY,1,100,-0.685
0.000000,0.000000,1726702114.154494,766927.000,57067,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.194495,766967.000,57084,3,AY,1,100,-0.686
0.000000,0.000000,1726702114.234495,767007.000,57084,3,AY,1,100,-0.691
0.000000,0.000000,1726702114.274496,767047.000,57084,3,AY,1,100,-0.686
0.000000,0.000000,1726702114.314496,767087.000,57101,2,AY,1,100,-0.687
0.000000,0.000000,1726702114.354497,767127.000,57101,2,AY,1,100,-0.687
0.000000,0.000000,1726702114.394498,767167.000,57118,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.434498,767207.000,57118,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.474499,767247.000,57118,3,AY,1,100,-0.688
0.000000,0.000000,1726702114.514499,767287.000,57132,2,AY,1,100,-0.690
0.000000,0.000000,1726702114.554500,767327.000,57132,2,AY,1,100,-0.688
0.000000,0.000000,1726702114.594500,767367.000,57150,3,AY,1,100,-0.689
0.000000,0.000000,1726702114.634501,767407.000,57150,3,AY,1,100,-0.690
0.000000,0.000000,1726702114.674501,767447.000,57150,3,AY,1,100,-0.687
0.000000,0.000000,1726702114.714502,767487.000,57166,2,AY,1,100,-0.687
0.000000,0.000000,1726702114.754503,767527.000,57166,2,AY,1,100,-0.687
0.000000,0.000000,1726702114.794503,767567.000,57183,3,AY,1,100,-0.687
