LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
0.000000,0.000000,1726701766.618593,419396.000,592,3,PR,1,100,152398
0.000000,0.000000,1726701766.618593,419396.000,592,3,PR,1,100,152413
0.000000,0.000000,1726701766.618593,419396.000,592,3,PR,1,100,152403
0.000000,0.000000,1726701766.658593,419436.000,610,2,PR,1,100,152400
0.000000,0.000000,1726701766.698594,419476.000,610,2,PR,1,100,152397
0.000000,0.000000,1726701766.738594,419516.000,626,3,PR,1,100,152396
0.000000,0.000000,1726701766.778595,419556.000,626,3,PR,1,100,152397
0.000000,0.000000,1726701766.818595,419596.000,626,3,PR,1,100,152396
0.000000,0.000000,1726701766.858596,419636.000,643,2,PR,1,100,152409
0.000000,0.000000,1726701766.898597,419676.000,643,2,PR,1,100,152418
0.000000,0.000000,1726701766.938597,419716.000,660,3,PR,1,100,152427
0.000000,0.000000,1726701766.978598,419756.000,660,3,PR,1,100,152407
0.000000,0.000000,1726701767.018598,419796.000,660,3,PR,1,100,152354
0.000000,0.000000,1726701767.058599,419836.000,677,2,PR,1,100,152284
0.000000,0.000000,1726701767.098599,419876.000,677,2,PR,1,100,152219
0.000000,0.000000,1726701767.138600,419916.000,691,3,PR,1,100,152212
0.000000,0.000000,1726701767.178601,419956.000,691,3,PR,1,100,152213
0.000000,0.000000,1726701767.218601,419996.000,691,3,PR,1,100,152210
0.000000,0.000000,1726701767.258602,420036.000,708,2,PR,1,100,152195
0.000000,0.000000,1726701767.298602,420076.000,708,2,PR,1,100,152182
0.000000,0.000000,1726701767.338603,420116.000,725,3,PR,1,100,152158
0.000000,0.000000,1726701767.378603,420156.000,725,3,PR,1,100,152123
0.000000,0.000000,1726701767.418604,420196.000,725,3,PR,1,100,152110
0.000000,0.000000,1726701767.458604,420236.000,742,3,PR,1,100,152085
0.000000,0.000000,1726701767.498605,420276.000,742,3,PR,1,100,152078
0.000000,0.000000,1726701767.538606,420316.000,742,3,PR,1,100,152100
0.000000,0.000000,1726701767.578606,420356.000,756,2,PR,1,100,152094
0.000000,0.000000,1726701767.618607,420396.000,756,2,PR,1,100,152103
0.000000,0.000000,1726701767.658607,420436.000,779,3,PR,1,100,152094
0.000000,0.000000,1726701767.698608,420476.000,779,3,PR,1,100,152078
0.000000,0.000000,1726701767.738608,420516.000,779,3,PR,1,100,152074
0.000000,0.000000,1726701767.778609,420556.000,795,2,PR,1,100,152063
0.000000,0.000000,1726701767.818610,420596.000,795,2,PR,1,100,152032
0.000000,0.000000,1726701767.858610,420636.000,812,3,PR,1,100,151988
0.000000,0.000000,1726701767.898611,420676.000,812,3,PR,1,100,151970
0.000000,0.000000,1726701767.938611,420716.000,812,3,PR,1,100,151947
0.000000,0.000000,1726701767.978612,420756.000,828,2,PR,1,100,151943
0.000000,0.000000,1726701768.018612,420796.000,828,2,PR,1,100,151912
0.000000,0.000000,1726701768.058613,420836.000,844,3,PR,1,100,151880
0.000000,0.000000,1726701768.098614,420876.000,844,3,PR,1,100,151843
0.000000,0.000000,1726701768.138614,420916.000,844,3,PR,1,100,151801
0.000000,0.000000,1726701768.178615,420956.000,860,2,PR,1,100,151750
0.000000,0.000000,1726701768.218615,420996.000,860,2,PR,1,100,151724
0.000000,0.000000,1726701768.258616,421036.000,878,3,PR,1,100,151714
0.000000,0.000000,1726701768.298616,421076.000,878,3,PR,1,100,151663
0.000000,0.000000,1726701768.338617,421116.000,878,3,PR,1,100,151648
0.000000,0.000000,1726701768.378617,421156.000,896,2,PR,1,100,151603
0.000000,0.000000,1726701768.418618,421196.000,896,2,PR,1,100,151558
0.000000,0.000000,1726701768.458619,421236.000,911,3,PR,1,100,151537
0.000000,0.000000,1726701768.498619,421276.000,911,3,PR,1,100,151548
0.000000,0.000000,1726701768.538620,421316.000,911,3,PR,1,100,151540
0.000000,0.000000,1726701768.578620,421356.000,927,2,PR,1,100,151538
0.000000,0.000000,1726701768.618621,421396.000,927,2,PR,1,100,151516
0.000000,0.000000,1726701768.658621,421436.000,945,3,PR,1,100,151492
0.000000,0.000000,1726701768.698622,421476.000,945,3,PR,1,100,151471
0.000000,0.000000,1726701768.738623,421516.000,945,3,PR,1,100,151450
0.000000,0.000000,1726701768.778623,421556.000,961,3,PR,1,100,151475
0.000000,0.000000,1726701768.818624,421596.000,961,3,PR,1,100,151472
0.000000,0.000000,1726701768.858624,421636.000,961,3,PR,1,100,151492
0.000000,0.000000,1726701768.898625,421676.000,978,2,PR,1,100,151541
0.000000,0.000000,1726701768.938625,421716.000,978,2,PR,1,100,151529
0.000000,0.000000,1726701768.978626,421756.000,995,3,PR,1,100,151497
0.000000,0.000000,1726701769.018626,421796.000,995,3,PR,1,100,151483
0.000000,0.000000,1726701769.058627,421836.000,995,3,PR,1,100,151488
0.000000,0.000000,1726701769.098628,421876.000,1012,2,PR,1,100,151471
0.000000,0.000000,1726701769.138628,421916.000,1012,2,PR,1,100,151443
0.000000,0.000000,1726701769.178629,421956.000,1028,3,PR,1,100,151449
0.000000,0.000000,1726701769.218629,421996.000,1028,3,PR,1,100,151423
0.000000,0.000000,1726701769.258630,422036.000,1028,3,PR,1,100,151433
0.000000,0.000000,1726701769.298630,422076.000,1044,2,PR,1,100,151441
0.000000,0.000000,1726701769.338631,422116.000,1044,2,PR,1,100,151413
0.000000,0.000000,1726701769.378632,422156.000,1060,3,PR,1,100,151353
0.000000,0.000000,1726701769.418632,422196.000,1060,3,PR,1,100,151298
0.000000,0.000000,1726701769.458633,422236.000,1060,3,PR,1,100,151280
0.000000,0.000000,1726701769.498633,422276.000,1077,2,PR,1,100,151304
0.000000,0.000000,1726701769.538634,422316.000,1077,2,PR,1,100,151316
0.000000,0.000000,1726701769.578634,422356.000,1095,3,PR,1,100,151322
0.000000,0.000000,1726701769.618635,422396.000,1095,3,PR,1,100,151338
0.000000,0.000000,1726701769.658636,422436.000,1095,3,PR,1,100,151343
0.000000,0.000000,1726701769.698636,422476.000,1111,2,PR,1,100,151319
0.000000,0.000000,1726701769.738637,422516.000,1111,2,PR,1,100,151289
0.000000,0.000000,1726701769.778637,422556.000,1127,3,PR,1,100,151279
0.000000,0.000000,1726701769.818638,422596.000,1127,3,PR,1,100,151284
0.000000,0.000000,1726701769.858638,422636.000,1127,3,PR,1,100,151293
0.000000,0.000000,1726701769.898639,422676.000,1146,3,PR,1,100,151331
0.000000,0.000000,1726701769.938639,422716.000,1146,3,PR,1,100,151317
0.000000,0.000000,1726701769.978640,422756.000,1146,3,PR,1,100,151328
0.000000,0.000000,1726701770.018641,422796.000,1163,2,PR,1,100,151352
0.000000,0.000000,1726701770.058641,422836.000,1163,2,PR,1,100,151348
