LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
0.000000,0.000000,1726701773.298687,426076.000,1699,2,AX,1,100,-0.681
0.000000,0.000000,1726701773.338687,426116.000,1719,3,AX,1,100,-0.680
0.000000,0.000000,1726701773.378688,426156.000,1719,3,AX,1,100,-0.678
0.000000,0.000000,1726701773.418689,426196.000,1719,3,AX,1,100,-0.680
0.000000,0.000000,1726701773.458189,426235.500,1733,2,AX,1,100,-0.679
0.000000,0.000000,1726701773.497690,426275.000,1733,2,AX,1,100,-0.684
0.000000,0.000000,1726701773.538024,426315.333,1750,3,AX,1,100,-0.683
0.000000,0.000000,1726701773.578357,426355.667,1750,3,AX,1,100,-0.678
0.000000,0.000000,1726701773.618691,426396.000,1750,3,AX,1,100,-0.687
0.000000,0.000000,1726701773.658192,426435.500,1767,2,AX,1,100,-0.683
0.000000,0.000000,1726701773.697692,426475.000,1767,2,AX,1,100,-0.683
0.000000,0.000000,1726701773.737693,426515.000,1784,3,AX,1,100,-0.680
0.000000,0.000000,1726701773.777694,426555.000,1784,3,AX,1,100,-0.683
0.000000,0.000000,1726701773.817694,426595.000,1784,3,AX,1,100,-0.675
0.000000,0.000000,1726701773.858195,426635.500,1800,2,AX,1,100,-0.681
0.000000,0.000000,1726701773.898695,426676.000,1800,2,AX,1,100,-0.685
0.000000,0.000000,1726701773.938363,426715.667,1818,3,AX,1,100,-0.684
0.000000,0.000000,1726701773.978030,426755.333,1818,3,AX,1,100,-0.682
0.000000,0.000000,1726701774.017697,426795.000,1818,3,AX,1,100,-0.680
0.000000,0.000000,1726701774.057698,426835.000,1834,3,AX,1,100,-0.681
0.000000,0.000000,1726701774.097698,426875.000,1834,3,AX,1,100,-0.681
0.000000,0.000000,1726701774.137699,426915.000,1834,3,AX,1,100,-0.686
0.000000,0.000000,1726701774.178199,426955.500,1851,2,AX,1,100,-0.684
0.000000,0.000000,1726701774.218700,426996.000,1851,2,AX,1,100,-0.684
0.000000,0.000000,1726701774.258367,427035.667,1865,3,AX,1,100,-0.680
0.000000,0.000000,1726701774.298034,427075.333,1865,3,AX,1,100,-0.685
0.000000,0.000000,1726701774.337701,427115.000,1865,3,AX,1,100,-0.678
0.000000,0.000000,1726701774.377702,427155.000,1883,2,AX,1,100,-0.684
0.000000,0.000000,1726701774.417703,427195.000,1883,2,AX,1,100,-0.682
0.000000,0.000000,1726701774.457703,427235.000,1899,3,AX,1,100,-0.677
0.000000,0.000000,1726701774.497704,427275.000,1899,3,AX,1,100,-0.689
0.000000,0.000000,1726701774.537704,427315.000,1899,3,AX,1,100,-0.678
0.000000,0.000000,1726701774.577705,427355.000,1916,2,AX,1,100,-0.683
0.000000,0.000000,1726701774.617705,427395.000,1916,2,AX,1,100,-0.680
0.000000,0.000000,1726701774.657706,427435.000,1932,3,AX,1,100,-0.681
0.000000,0.000000,1726701774.697707,427475.000,1932,3,AX,1,100,-0.682
0.000000,0.000000,1726701774.737707,427515.000,1932,3,AX,1,100,-0.686
0.000000,0.000000,1726701774.777708,427555.000,1948,2,AX,1,100,-0.680
0.000000,0.000000,1726701774.817708,427595.000,1948,2,AX,1,100,-0.679
0.000000,0.000000,1726701774.857709,427635.000,1964,3,AX,1,100,-0.687
0.000000,0.000000,1726701774.897709,427675.000,1964,3,AX,1,100,-0.680
0.000000,0.000000,1726701774.937710,427715.000,1964,3,AX,1,100,-0.683
0.000000,0.000000,1726701774.977711,427755.000,1982,2,AX,1,100,-0.687
0.000000,0.000000,1726701775.017711,427795.000,1982,2,AX,1,100,-0.685
0.000000,0.000000,1726701775.057712,427835.000,1998,3,AX,1,100,-0.680
0.000000,0.000000,1726701775.097712,427875.000,1998,3,AX,1,100,-0.679
0.000000,0.000000,1726701775.137713,427915.000,1998,3,AX,1,100,-0.687
0.000000,0.000000,1726701775.177713,427955.000,2013,2,AX,1,100,-0.684
0.000000,0.000000,1726701775.217714,427995.000,2013,2,AX,1,100,-0.677
0.000000,0.000000,1726701775.257714,428035.000,2032,3,AX,1,100,-0.688
0.000000,0.000000,1726701775.297715,428075.000,2032,3,AX,1,100,-0.683
0.000000,0.000000,1726701775.337716,428115.000,2032,3,AX,1,100,-0.683
0.000000,0.000000,1726701775.377716,428155.000,2049,3,AX,1,100,-0.684
0.000000,0.000000,1726701775.417717,428195.000,2049,3,AX,1,100,-0.682
0.000000,0.000000,1726701775.457717,428235.000,2049,3,AX,1,100,-0.684
0.000000,0.000000,1726701775.497718,428275.000,2065,2,AX,1,100,-0.681
0.000000,0.000000,1726701775.537718,428315.000,2065,2,AX,1,100,-0.682
0.000000,0.000000,1726701775.577719,428355.000,2080,3,AX,1,100,-0.681
0.000000,0.000000,1726701775.617720,428395.000,2080,3,AX,1,100,-0.680
0.000000,0.000000,1726701775.657720,428435.000,2080,3,AX,1,100,-0.679
0.000000,0.000000,1726701775.697721,428475.000,2097,2,AX,1,100,-0.682
0.000000,0.000000,1726701775.737721,428515.000,2097,2,AX,1,100,-0.679
0.000000,0.000000,1726701775.777722,428555.000,2114,3,AX,1,100,-0.687
0.000000,0.000000,1726701775.817722,428595.000,2114,3,AX,1,100,-0.688
0.000000,0.000000,1726701775.857723,428635.000,2114,3,AX,1,100,-0.681
0.000000,0.000000,1726701775.897723,428675.000,2130,2,AX,1,100,-0.684
0.000000,0.000000,1726701775.937724,428715.000,2130,2,AX,1,100,-0.684
0.000000,0.000000,1726701775.977725,428755.000,2146,3,AX,1,100,-0.678
0.000000,0.000000,1726701776.017725,428795.000,2146,3,AX,1,100,-0.682
0.000000,0.000000,1726701776.057726,428835.000,2146,3,AX,1,100,-0.680
0.000000,0.000000,1726701776.097726,428875.000,2162,2,AX,1,100,-0.682
0.000000,0.000000,1726701776.137727,428915.000,2162,2,AX,1,100,-0.679
0.000000,0.000000,1726701776.177727,428955.000,2179,3,AX,1,100,-0.683
0.000000,0.000000,1726701776.217728,428995.000,2179,3,AX,1,100,-0.682
0.000000,0.000000,1726701776.257729,429035.000,2179,3,AX,1,100,-0.684
0.000000,0.000000,1726701776.297729,429075.000,2196,2,AX,1,100,-0.685
0.000000,0.000000,1726701776.337730,429115.000,2196,2,AX,1,100,-0.683
0.000000,0.000000,1726701776.377730,429155.000,2213,3,AX,1,100,-0.679
0.000000,0.000000,1726701776.417731,429195.000,2213,3,AX,1,100,-0.683
0.000000,0.000000,1726701776.457731,429235.000,2213,3,AX,1,100,-0.681
0.000000,0.000000,1726701776.497732,429275.000,2229,2,AX,1,100,-0.681
0.000000,0.000000,1726701776.537733,429315.000,2229,2,AX,1,100,-0.681
0.000000,0.000000,1726701776.577733,429355.000,2246,3,AX,1,100,-0.680
0.000000,0.000000,1726701776.617734,429395.000,2246,3,AX,1,100,-0.683
0.000000,0.000000,1726701776.657734,429435.000,2246,3,AX,1,100,-0.680
0.000000,0.000000,1726701776.697735,429475.000,2263,3,AX,1,100,-0.681
0.000000,0.000000,1726701776.737735,429515.000,2263,3,AX,1,100,-0.683
0.000000,0.000000,1726701776.777736,429555.000,2263,3,AX,1,100,-0.683
0.000000,0.000000,1726701776.817736,429595.000,2279,2,AX,1,100,-0.680
0.000000,0.000000,1726701776.857737,429635.000,2279,2,AX,1,100,-0.685
0.000000,0.000000,1726701776.897738,429675.000,2294,3,AX,1,100,-0.684
0.000000,0.000000,1726701776.937738,429715.000,2294,3,AX,1,100,-0.681
0.000000,0.000000,1726701776.977739,429755.000,2294,3,AX,1,100,-0.685
0.000000,0.000000,1726701777.017739,429795.000,2312,2,AX,1,100,-0.680
0.000000,0.000000,1726701777.057740,429835.000,2312,2,AX,1,100,-0.684
0.000000,0.000000,1726701777.097740,429875.000,2328,3,AX,1,100,-0.681
0.000000,0.000000,1726701777.137741,429915.000,2328,3,AX,1,100,-0.681
0.000000,0.000000,1726701777.177742,429955.000,2328,3,AX,1,100,-0.687
0.000000,0.000000,1726701777.217742,429995.000,2345,2,AX,1,100,-0.677
0.000000,0.000000,1726701777.257743,430035.000,2345,2,AX,1,100,-0.683
0.000000,0.000000,1726701777.297743,430075.000,2360,3,AX,1,100,-0.682
0.000000,0.000000,1726701777.337744,430115.000,2360,3,AX,1,100,-0.682
0.000000,0.000000,1726701777.377744,430155.000,2360,3,AX,1,100,-0.683
0.000000,0.000000,1726701777.417745,430195.000,2377,2,AX,1,100,-0.683
0.000000,0.000000,1726701777.457745,430235.000,2377,2,AX,1,100,-0.685
0.000000,0.000000,1726701777.497746,430275.000,2393,3,AX,1,100,-0.679
0.000000,0.000000,1726701777.537747,430315.000,2393,3,AX,1,100,-0.686
0.000000,0.000000,1726701777.577747,430355.000,2393,3,AX,1,100,-0.676
0.000000,0.000000,1726701777.617748,430395.000,2411,2,AX,1,100,-0.683
0.000000,0.000000,1726701777.657748,430435.000,2411,2,AX,1,100,-0.685
0.000000,0.000000,1726701777.697749,430475.000,2425,3,AX,1,100,-0.679
0.000000,0.000000,1726701777.737749,430515.000,2425,3,AX,1,100,-0.686
0.000000,0.000000,1726701777.777750,430555.000,2425,3,AX,1,100,-0.677
0.000000,0.000000,1726701777.817751,430595.000,2447,5,AX,1,100,-0.686
0.000000,0.000000,1726701777.857751,430635.000,2447,5,AX,1,100,-0.681
0.000000,0.000000,1726701777.897752,430675.000,2447,5,AX,1,100,-0.681
0.000000,0.000000,1726701777.937752,430715.000,2447,5,AX,1,100,-0.688
0.000000,0.000000,1726701777.977753,430755.000,2447,5,AX,1,100,-0.680
0.000000,0.000000,1726701778.017753,430795.000,2467,4,AX,1,100,-0.683
0.000000,0.000000,1726701778.057754,430835.000,2467,4,AX,1,100,-0.682
0.000000,0.000000,1726701778.097755,430875.000,2467,4,AX,1,100,-0.687
0.000000,0.000000,1726701778.137755,430915.000,2467,4,AX,1,100,-0.680
0.000000,0.000000,1726701778.177756,430955.000,2483,2,AX,1,100,-0.684
0.000000,0.000000,1726701778.217756,430995.000,2483,2,AX,1,100,-0.681
0.000000,0.000000,1726701778.257757,431035.000,2499,3,AX,1,100,-0.681
0.000000,0.000000,1726701778.297757,431075.000,2499,3,AX,1,100,-0.688
0.000000,0.000000,1726701778.337758,431115.000,2499,3,AX,1,100,-0.679
0.000000,0.000000,1726701778.377758,431155.000,2517,2,AX,1,100,-0.683
0.000000,0.000000,1726701778.417759,431195.000,2517,2,AX,1,100,-0.683
0.000000,0.000000,1726701778.457760,431235.000,2534,3,AX,1,100,-0.683
0.000000,0.000000,1726701778.497760,431275.000,2534,3,AX,1,100,-0.684
0.000000,0.000000,1726701778.537761,431315.000,2534,3,AX,1,100,-0.682
0.000000,0.000000,1726701778.577761,431355.000,2550,2,AX,1,100,-0.682
0.000000,0.000000,1726701778.617762,431395.000,2550,2,AX,1,100,-0.683
0.000000,0.000000,1726701778.657762,431435.000,2568,3,AX,1,100,-0.679
0.000000,0.000000,1726701778.697763,431475.000,2568,3,AX,1,100,-0.679
0.000000,0.000000,1726701778.737764,431515.000,2568,3,AX,1,100,-0.685
0.000000,0.000000,1726701778.777764,431555.000,2582,2,AX,1,100,-0.681
0.000000,0.000000,1726701778.817765,431595.000,2582,2,AX,1,100,-0.681
0.000000,0.000000,1726701778.857765,431635.000,2599,3,AX,1,100,-0.682
0.000000,0.000000,1726701778.897766,431675.000,2599,3,AX,1,100,-0.683
0.000000,0.000000,1726701778.937766,431715.000,2599,3,AX,1,100,-0.683
0.000000,0.000000,1726701778.977767,431755.000,2616,3,AX,1,100,-0.683
0.000000,0.000000,1726701779.017768,431795.000,2616,3,AX,1,100,-0.683
0.000000,0.000000,1726701779.057768,431835.000,2616,3,AX,1,100,-0.681
0.000000,0.000000,1726701779.097769,431875.000,2633,2,AX,1,100,-0.682
0.000000,0.000000,1726701779.137769,431915.000,2633,2,AX,1,100,-0.681
0.000000,0.000000,1726701779.177770,431955.000,2649,3,AX,1,100,-0.684
0.000000,0.000000,1726701779.217770,431995.000,2649,3,AX,1,100,-0.680
0.000000,0.000000,1726701779.257771,432035.000,2649,3,AX,1,100,-0.686
0.000000,0.000000,1726701779.297771,432075.000,2667,2,AX,1,100,-0.683
0.000000,0.000000,1726701779.337772,432115.000,2667,2,AX,1,100,-0.677
0.000000,0.000000,1726701779.377773,432155.000,2683,3,AX,1,100,-0.689
0.000000,0.000000,1726701779.417773,432195.000,2683,3,AX,1,100,-0.683
0.000000,0.000000,1726701779.457774,432235.000,2683,3,AX,1,100,-0.682
0.000000,0.000000,1726701779.497774,432275.000,2700,2,AX,1,100,-0.684
0.000000,0.000000,1726701779.537775,432315.000,2700,2,AX,1,100,-0.681
0.000000,0.000000,1726701779.577775,432355.000,2714,3,AX,1,100,-0.685
0.000000,0.000000,1726701779.617776,432395.000,2714,3,AX,1,100,-0.678
0.000000,0.000000,1726701779.657777,432435.000,2714,3,AX,1,100,-0.682
0.000000,0.000000,1726701779.697777,432475.000,2732,2,AX,1,100,-0.685
0.000000,0.000000,1726701779.737778,432515.000,2732,2,AX,1,100,-0.681
0.000000,0.000000,1726701779.777778,432555.000,2748,3,AX,1,100,-0.685
0.000000,0.000000,1726701779.817779,432595.000,2748,3,AX,1,100,-0.683
0.000000,0.000000,1726701779.857779,432635.000,2748,3,AX,1,100,-0.677
0.000000,0.000000,1726701779.897780,432675.000,2765,2,AX,1,100,-0.687
0.000000,0.000000,1726701779.937780,432715.000,2765,2,AX,1,100,-0.678
0.000000,0.000000,1726701779.977781,432755.000,2780,3,AX,1,100,-0.679
0.000000,0.000000,1726701780.017782,432795.000,2780,3,AX,1,100,-0.685
0.000000,0.000000,1726701780.057782,432835.000,2780,3,AX,1,100,-0.679
0.000000,0.000000,1726701780.097783,432875.000,2797,2,AX,1,100,-0.682
0.000000,0.000000,1726701780.137783,432915.000,2797,2,AX,1,100,-0.680
0.000000,0.000000,1726701780.177784,432955.000,2813,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.217784,432995.000,2813,3,AX,1,100,-0.678
0.000000,0.000000,1726701780.257785,433035.000,2813,3,AX,1,100,-0.687
0.000000,0.000000,1726701780.297786,433075.000,2831,2,AX,1,100,-0.679
0.000000,0.000000,1726701780.337786,433115.000,2831,2,AX,1,100,-0.685
0.000000,0.000000,1726701780.377787,433155.000,2845,3,AX,1,100,-0.681
0.000000,0.000000,1726701780.417787,433195.000,2845,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.457788,433235.000,2845,3,AX,1,100,-0.682
0.000000,0.000000,1726701780.497788,433275.000,2862,3,AX,1,100,-0.685
0.000000,0.000000,1726701780.537789,433315.000,2862,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.577790,433355.000,2862,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.617790,433395.000,2878,2,AX,1,100,-0.682
0.000000,0.000000,1726701780.657791,433435.000,2878,2,AX,1,100,-0.681
0.000000,0.000000,1726701780.697791,433475.000,2898,3,AX,1,100,-0.681
0.000000,0.000000,1726701780.737792,433515.000,2898,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.777792,433555.000,2898,3,AX,1,100,-0.681
0.000000,0.000000,1726701780.817793,433595.000,2913,2,AX,1,100,-0.679
0.000000,0.000000,1726701780.857793,433635.000,2913,2,AX,1,100,-0.684
0.000000,0.000000,1726701780.897794,433675.000,2929,3,AX,1,100,-0.684
0.000000,0.000000,1726701780.937795,433715.000,2929,3,AX,1,100,-0.682
0.000000,0.000000,1726701780.977795,433755.000,2929,3,AX,1,100,-0.683
0.000000,0.000000,1726701781.017796,433795.000,2946,2,AX,1,100,-0.680
0.000000,0.000000,1726701781.057796,433835.000,2946,2,AX,1,100,-0.687
0.000000,0.000000,1726701781.097797,433875.000,2963,3,AX,1,100,-0.681
0.000000,0.000000,1726701781.137797,433915.000,2963,3,AX,1,100,-0.680
0.000000,0.000000,1726701781.177798,433955.000,2963,3,AX,1,100,-0.692
0.000000,0.000000,1726701781.217799,433995.000,2979,2,AX,1,100,-0.678
0.000000,0.000000,1726701781.257799,434035.000,2979,2,AX,1,100,-0.686
0.000000,0.000000,1726701781.297800,434075.000,2995,3,AX,1,100,-0.683
0.000000,0.000000,1726701781.337800,434115.000,2995,3,AX,1,100,-0.679
0.000000,0.000000,1726701781.377801,434155.000,2995,3,AX,1,100,-0.683
0.000000,0.000000,1726701781.417801,434195.000,3011,2,AX,1,100,-0.679
0.000000,0.000000,1726701781.457802,434235.000,3011,2,AX,1,100,-0.687
0.000000,0.000000,1726701781.497802,434275.000,3028,3,AX,1,100,-0.685
0.000000,0.000000,1726701781.537803,434315.000,3028,3,AX,1,100,-0.683
0.000000,0.000000,1726701781.577804,434355.000,3028,3,AX,1,100,-0.684
0.000000,0.000000,1726701781.617804,434395.000,3045,2,AX,1,100,-0.685
0.000000,0.000000,1726701781.657805,434435.000,3045,2,AX,1,100,-0.681
0.000000,0.000000,1726701781.697805,434475.000,3060,3,AX,1,100,-0.686
0.000000,0.000000,1726701781.737806,434515.000,3060,3,AX,1,100,-0.680
0.000000,0.000000,1726701781.777806,434555.000,3060,3,AX,1,100,-0.680
0.000000,0.000000,1726701781.817807,434595.000,3076,3,AX,1,100,-0.682
0.000000,0.000000,1726701781.857808,434635.000,3076,3,AX,1,100,-0.682
0.000000,0.000000,1726701781.897808,434675.000,3076,3,AX,1,100,-0.680
