LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
0.000000,0.000000,1726701766.618593,419396.000,601,3,GX,1,100,-0.092
0.000000,0.000000,1726701766.618593,419396.000,601,3,GX,1,100,0.458
0.000000,0.000000,1726701766.618593,419396.000,601,3,GX,1,100,0.061
0.000000,0.000000,1726701766.658593,419436.000,617,2,GX,1,100,1.068
0.000000,0.000000,1726701766.698594,419476.000,617,2,GX,1,100,0.183
0.000000,0.000000,1726701766.738594,419516.000,635,3,GX,1,100,0.610
0.000000,0.000000,1726701766.778595,419556.000,635,3,GX,1,100,0.824
0.000000,0.000000,1726701766.818595,419596.000,635,3,GX,1,100,1.770
0.000000,0.000000,1726701766.858596,419636.000,652,2,GX,1,100,0.824
0.000000,0.000000,1726701766.898597,419676.000,652,2,GX,1,100,0.732
0.000000,0.000000,1726701766.938597,419716.000,669,3,GX,1,100,0.732
0.000000,0.000000,1726701766.978598,419756.000,669,3,GX,1,100,-0.336
0.000000,0.000000,1726701767.018598,419796.000,669,3,GX,1,100,-1.678
0.000000,0.000000,1726701767.058599,419836.000,684,2,GX,1,100,0.244
0.000000,0.000000,1726701767.098599,419876.000,684,2,GX,1,100,3.845
0.000000,0.000000,1726701767.138600,419916.000,700,3,GX,1,100,1.953
0.000000,0.000000,1726701767.178601,419956.000,700,3,GX,1,100,-1.190
0.000000,0.000000,1726701767.218601,419996.000,700,3,GX,1,100,-2.899
0.000000,0.000000,1726701767.258602,420036.000,717,2,GX,1,100,2.655
0.000000,0.000000,1726701767.298602,420076.000,717,2,GX,1,100,0.793
0.000000,0.000000,1726701767.338603,420116.000,734,3,GX,1,100,-2.594
0.000000,0.000000,1726701767.378603,420156.000,734,3,GX,1,100,1.740
0.000000,0.000000,1726701767.418604,420196.000,734,3,GX,1,100,-3.632
0.000000,0.000000,1726701767.458604,420236.000,749,3,GX,1,100,0.366
0.000000,0.000000,1726701767.498605,420276.000,749,3,GX,1,100,4.578
0.000000,0.000000,1726701767.538606,420316.000,749,3,GX,1,100,-3.357
0.000000,0.000000,1726701767.578606,420356.000,765,2,GX,1,100,-0.458
0.000000,0.000000,1726701767.618607,420396.000,765,2,GX,1,100,0.916
0.000000,0.000000,1726701767.658607,420436.000,788,3,GX,1,100,2.136
0.000000,0.000000,1726701767.698608,420476.000,788,3,GX,1,100,1.862
0.000000,0.000000,1726701767.738608,420516.000,788,3,GX,1,100,-0.885
0.000000,0.000000,1726701767.778609,420556.000,804,2,GX,1,100,-5.157
0.000000,0.000000,1726701767.818610,420596.000,804,2,GX,1,100,-7.446
0.000000,0.000000,1726701767.858610,420636.000,820,3,GX,1,100,-8.423
0.000000,0.000000,1726701767.898611,420676.000,820,3,GX,1,100,-6.805
0.000000,0.000000,1726701767.938611,420716.000,820,3,GX,1,100,-4.761
0.000000,0.000000,1726701767.978612,420756.000,836,2,GX,1,100,-10.681
0.000000,0.000000,1726701768.018612,420796.000,836,2,GX,1,100,-16.388
0.000000,0.000000,1726701768.058613,420836.000,853,3,GX,1,100,-13.214
0.000000,0.000000,1726701768.098614,420876.000,853,3,GX,1,100,-12.268
0.000000,0.000000,1726701768.138614,420916.000,853,3,GX,1,100,-13.672
0.000000,0.000000,1726701768.178615,420956.000,869,2,GX,1,100,-7.935
0.000000,0.000000,1726701768.218615,420996.000,869,2,GX,1,100,-14.709
0.000000,0.000000,1726701768.258616,421036.000,887,3,GX,1,100,-25.787
0.000000,0.000000,1726701768.298616,421076.000,887,3,GX,1,100,9.491
0.000000,0.000000,1726701768.338617,421116.000,887,3,GX,1,100,17.273
0.000000,0.000000,1726701768.378617,421156.000,903,2,GX,1,100,-10.956
0.000000,0.000000,1726701768.418618,421196.000,903,2,GX,1,100,-10.254
0.000000,0.000000,1726701768.458619,421236.000,920,3,GX,1,100,-0.122
0.000000,0.000000,1726701768.498619,421276.000,920,3,GX,1,100,-0.519
0.000000,0.000000,1726701768.538620,421316.000,920,3,GX,1,100,-9.155
0.000000,0.000000,1726701768.578620,421356.000,936,3,GX,1,100,-15.869
0.000000,0.000000,1726701768.618621,421396.000,936,3,GX,1,100,-17.883
0.000000,0.000000,1726701768.658621,421436.000,936,3,GX,1,100,-21.362
0.000000,0.000000,1726701768.698622,421476.000,954,2,GX,1,100,-5.066
0.000000,0.000000,1726701768.738623,421516.000,954,2,GX,1,100,-3.510
0.000000,0.000000,1726701768.778623,421556.000,968,3,GX,1,100,-13.947
0.000000,0.000000,1726701768.818624,421596.000,968,3,GX,1,100,-3.754
0.000000,0.000000,1726701768.858624,421636.000,968,3,GX,1,100,15.991
0.000000,0.000000,1726701768.898625,421676.000,987,2,GX,1,100,-2.563
0.000000,0.000000,1726701768.938625,421716.000,987,2,GX,1,100,-13.306
0.000000,0.000000,1726701768.978626,421756.000,1004,3,GX,1,100,15.320
0.000000,0.000000,1726701769.018626,421796.000,1004,3,GX,1,100,17.456
0.000000,0.000000,1726701769.058627,421836.000,1004,3,GX,1,100,3.143
0.000000,0.000000,1726701769.098628,421876.000,1021,2,GX,1,100,-4.395
0.000000,0.000000,1726701769.138628,421916.000,1021,2,GX,1,100,-1.251
0.000000,0.000000,1726701769.178629,421956.000,1035,3,GX,1,100,-1.556
0.000000,0.000000,1726701769.218629,421996.000,1035,3,GX,1,100,-3.265
0.000000,0.000000,1726701769.258630,422036.000,1035,3,GX,1,100,-4.547
0.000000,0.000000,1726701769.298630,422076.000,1053,2,GX,1,100,0.031
