LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
0.000000,0.000000,1726701766.610593,419388.000,596,1,T1,1,100,30.796
0.000000,0.000000,1726701766.743594,419521.000,630,1,T1,1,100,30.699
0.000000,0.000000,1726701766.877596,419655.000,647,1,T1,1,100,30.728
0.000000,0.000000,1726701767.010598,419788.000,664,1,T1,1,100,30.670
0.000000,0.000000,1726701767.143600,419921.000,695,1,T1,1,100,30.786
0.000000,0.000000,1726701767.277602,420055.000,712,1,T1,1,100,30.801
0.000000,0.000000,1726701767.410604,420188.000,729,1,T1,1,100,30.772
0.000000,0.000000,1726701767.543606,420321.000,760,1,T1,1,100,30.795
0.000000,0.000000,1726701767.677608,420455.000,783,1,T1,1,100,30.769
0.000000,0.000000,1726701767.810609,420588.000,799,1,T1,1,100,30.794
0.000000,0.000000,1726701767.943611,420721.000,816,1,T1,1,100,30.840
0.000000,0.000000,1726701768.077613,420855.000,848,1,T1,1,100,30.860
0.000000,0.000000,1726701768.210615,420988.000,864,1,T1,1,100,30.833
0.000000,0.000000,1726701768.343617,421121.000,882,1,T1,1,100,30.892
0.000000,0.000000,1726701768.477619,421255.000,915,1,T1,1,100,30.882
0.000000,0.000000,1726701768.610621,421388.000,931,1,T1,1,100,30.772
0.000000,0.000000,1726701768.743623,421521.000,949,1,T1,1,100,30.759
0.000000,0.000000,1726701768.876624,421654.000,982,1,T1,1,100,30.896
0.000000,0.000000,1726701769.010626,421788.000,999,1,T1,1,100,30.778
0.000000,0.000000,1726701769.143628,421921.000,1016,1,T1,1,100,30.904
0.000000,0.000000,1726701769.276630,422054.000,1048,1,T1,1,100,30.887
0.000000,0.000000,1726701769.410632,422188.000,1064,1,T1,1,100,30.845
0.000000,0.000000,1726701769.543634,422321.000,1081,1,T1,1,100,30.756
0.000000,0.000000,1726701769.676636,422454.000,1115,1,T1,1,100,30.752
0.000000,0.000000,1726701769.810638,422588.000,1131,1,T1,1,100,30.787
0.000000,0.000000,1726701769.943640,422721.000,1150,1,T1,1,100,30.695
0.000000,0.000000,1726701770.076641,422854.000,1167,1,T1,1,100,30.903
0.000000,0.000000,1726701770.210643,422988.000,1198,1,T1,1,100,30.816
0.000000,0.000000,1726701770.343645,423121.000,1216,1,T1,1,100,30.779
0.000000,0.000000,1726701770.476647,423254.000,1232,1,T1,1,100,30.798
0.000000,0.000000,1726701770.610649,423388.000,1264,1,T1,1,100,30.842
0.000000,0.000000,1726701770.743651,423521.000,1281,1,T1,1,100,30.754
0.000000,0.000000,1726701770.876653,423654.000,1297,1,T1,1,100,30.752
0.000000,0.000000,1726701771.010655,423788.000,1329,1,T1,1,100,30.751
0.000000,0.000000,1726701771.143656,423921.000,1346,1,T1,1,100,30.786
0.000000,0.000000,1726701771.276658,424054.000,1364,1,T1,1,100,30.836
0.000000,0.000000,1726701771.410660,424188.000,1396,1,T1,1,100,30.752
0.000000,0.000000,1726701771.543662,424321.000,1413,1,T1,1,100,30.822
0.000000,0.000000,1726701771.676664,424454.000,1430,1,T1,1,100,30.852
0.000000,0.000000,1726701771.810666,424588.000,1461,1,T1,1,100,30.794
0.000000,0.000000,1726701771.943668,424721.000,1478,1,T1,1,100,30.805
0.000000,0.000000,1726701772.076670,424854.000,1495,1,T1,1,100,30.774
0.000000,0.000000,1726701772.209671,424987.000,1512,1,T1,1,100,30.760
0.000000,0.000000,1726701772.343673,425121.000,1544,1,T1,1,100,30.790
0.000000,0.000000,1726701772.476675,425254.000,1560,1,T1,1,100,30.909
0.000000,0.000000,1726701772.610677,425388.000,1577,1,T1,1,100,30.783
0.000000,0.000000,1726701772.743679,425521.000,1616,1,T1,1,100,30.906
0.000000,0.000000,1726701772.876681,425654.000,1632,1,T1,1,100,30.818
0.000000,0.000000,1726701773.009683,425787.000,1650,1,T1,1,100,30.744
0.000000,0.000000,1726701773.143685,425921.000,1681,1,T1,1,100,30.818
0.000000,0.000000,1726701773.276687,426054.000,1697,1,T1,1,100,30.886
0.000000,0.000000,1726701773.409688,426187.000,1717,1,T1,1,100,30.773
0.000000,0.000000,1726701773.543690,426321.000,1748,1,T1,1,100,30.796
0.000000,0.000000,1726701773.676692,426454.000,1765,1,T1,1,100,30.876
0.000000,0.000000,1726701773.809694,426587.000,1782,1,T1,1,100,30.769
0.000000,0.000000,1726701773.943696,426721.000,1816,1,T1,1,100,30.865
0.000000,0.000000,1726701774.076698,426854.000,1832,1,T1,1,100,30.906
0.000000,0.000000,1726701774.209700,426987.000,1849,1,T1,1,100,30.817
0.000000,0.000000,1726701774.343702,427121.000,1881,1,T1,1,100,30.850
0.000000,0.000000,1726701774.476703,427254.000,1897,1,T1,1,100,30.900
0.000000,0.000000,1726701774.609705,427387.000,1914,1,T1,1,100,30.886
0.000000,0.000000,1726701774.743707,427521.000,1931,1,T1,1,100,30.880
0.000000,0.000000,1726701774.876709,427654.000,1962,1,T1,1,100,30.983
0.000000,0.000000,1726701775.009711,427787.000,1980,1,T1,1,100,30.816
0.000000,0.000000,1726701775.143713,427921.000,1996,1,T1,1,100,30.814
0.000000,0.000000,1726701775.276715,428054.000,2030,1,T1,1,100,30.813
0.000000,0.000000,1726701775.409717,428187.000,2047,1,T1,1,100,30.813
0.000000,0.000000,1726701775.542718,428320.000,2063,1,T1,1,100,30.919
0.000000,0.000000,1726701775.676720,428454.000,2095,1,T1,1,100,30.929
0.000000,0.000000,1726701775.809722,428587.000,2112,1,T1,1,100,30.757
0.000000,0.000000,1726701775.942724,428720.000,2128,1,T1,1,100,30.788
0.000000,0.000000,1726701776.076726,428854.000,2160,1,T1,1,100,30.838
0.000000,0.000000,1726701776.209728,428987.000,2177,1,T1,1,100,30.823
0.000000,0.000000,1726701776.342730,429120.000,2194,1,T1,1,100,30.853
0.000000,0.000000,1726701776.476732,429254.000,2227,1,T1,1,100,30.830
0.000000,0.000000,1726701776.609734,429387.000,2244,1,T1,1,100,30.785
0.000000,0.000000,1726701776.742735,429520.000,2261,1,T1,1,100,30.871
0.000000,0.000000,1726701776.876737,429654.000,2278,1,T1,1,100,30.873
0.000000,0.000000,1726701777.009739,429787.000,2310,1,T1,1,100,30.839
0.000000,0.000000,1726701777.142741,429920.000,2326,1,T1,1,100,30.859
0.000000,0.000000,1726701777.276743,430054.000,2343,1,T1,1,100,30.904
0.000000,0.000000,1726701777.409745,430187.000,2375,1,T1,1,100,30.887
0.000000,0.000000,1726701777.542747,430320.000,2391,1,T1,1,100,30.916
0.000000,0.000000,1726701777.676749,430454.000,2409,1,T1,1,100,30.928
0.000000,0.000000,1726701777.809750,430587.000,2445,2,T1,1,100,30.863
0.000000,0.000000,1726701777.942752,430720.000,2445,2,T1,1,100,30.941
0.000000,0.000000,1726701778.075754,430853.000,2465,1,T1,1,100,30.903
0.000000,0.000000,1726701778.209756,430987.000,2481,1,T1,1,100,30.852
0.000000,0.000000,1726701778.342758,431120.000,2498,1,T1,1,100,30.794
0.000000,0.000000,1726701778.476760,431254.000,2532,1,T1,1,100,30.875
0.000000,0.000000,1726701778.609762,431387.000,2548,1,T1,1,100,30.875
0.000000,0.000000,1726701778.742764,431520.000,2566,1,T1,1,100,30.875
0.000000,0.000000,1726701778.875765,431653.000,2597,1,T1,1,100,30.840
0.000000,0.000000,1726701779.009767,431787.000,2614,1,T1,1,100,30.824
0.000000,0.000000,1726701779.142769,431920.000,2631,1,T1,1,100,30.818
0.000000,0.000000,1726701779.275771,432053.000,2665,1,T1,1,100,30.921
0.000000,0.000000,1726701779.409773,432187.000,2681,1,T1,1,100,30.895
0.000000,0.000000,1726701779.542775,432320.000,2698,1,T1,1,100,30.955
0.000000,0.000000,1726701779.675777,432453.000,2730,1,T1,1,100,31.016
