LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
0.000000,0.000000,1726701766.625593,419403.000,597,1,TH,1,100,29.162
0.000000,0.000000,1726701766.758595,419536.000,631,1,TH,1,100,29.184
0.000000,0.000000,1726701766.892596,419670.000,648,1,TH,1,100,29.184
0.000000,0.000000,1726701767.025598,419803.000,665,1,TH,1,100,29.213
0.000000,0.000000,1726701767.158600,419936.000,696,1,TH,1,100,29.221
0.000000,0.000000,1726701767.291602,420069.000,713,1,TH,1,100,29.140
0.000000,0.000000,1726701767.425604,420203.000,730,1,TH,1,100,29.140
0.000000,0.000000,1726701767.558606,420336.000,761,1,TH,1,100,29.152
0.000000,0.000000,1726701767.691608,420469.000,784,1,TH,1,100,29.152
0.000000,0.000000,1726701767.825610,420603.000,800,1,TH,1,100,29.196
0.000000,0.000000,1726701767.958612,420736.000,832,1,TH,1,100,29.196
0.000000,0.000000,1726701768.092613,420870.000,849,1,TH,1,100,29.137
0.000000,0.000000,1726701768.225615,421003.000,865,1,TH,1,100,29.137
0.000000,0.000000,1726701768.358617,421136.000,883,1,TH,1,100,29.203
0.000000,0.000000,1726701768.491619,421269.000,916,1,TH,1,100,29.210
0.000000,0.000000,1726701768.625621,421403.000,932,1,TH,1,100,29.245
0.000000,0.000000,1726701768.758623,421536.000,950,1,TH,1,100,29.245
0.000000,0.000000,1726701768.891625,421669.000,983,1,TH,1,100,29.191
0.000000,0.000000,1726701769.025627,421803.000,1000,1,TH,1,100,29.191
0.000000,0.000000,1726701769.158628,421936.000,1017,1,TH,1,100,29.193
0.000000,0.000000,1726701769.291630,422069.000,1049,1,TH,1,100,29.193
0.000000,0.000000,1726701769.425632,422203.000,1065,1,TH,1,100,29.203
0.000000,0.000000,1726701769.558634,422336.000,1082,1,TH,1,100,29.210
0.000000,0.000000,1726701769.691636,422469.000,1116,1,TH,1,100,29.156
0.000000,0.000000,1726701769.825638,422603.000,1132,1,TH,1,100,29.156
0.000000,0.000000,1726701769.958640,422736.000,1151,1,TH,1,100,29.183
0.000000,0.000000,1726701770.091642,422869.000,1183,1,TH,1,100,29.183
0.000000,0.000000,1726701770.225644,423003.000,1199,1,TH,1,100,29.178
0.000000,0.000000,1726701770.358645,423136.000,1217,1,TH,1,100,29.178
0.000000,0.000000,1726701770.491647,423269.000,1233,1,TH,1,100,29.187
0.000000,0.000000,1726701770.625649,423403.000,1265,1,TH,1,100,29.195
0.000000,0.000000,1726701770.758651,423536.000,1282,1,TH,1,100,29.121
0.000000,0.000000,1726701770.891653,423669.000,1298,1,TH,1,100,29.121
0.000000,0.000000,1726701771.024655,423802.000,1330,1,TH,1,100,29.266
0.000000,0.000000,1726701771.158657,423936.000,1347,1,TH,1,100,29.266
0.000000,0.000000,1726701771.291659,424069.000,1365,1,TH,1,100,29.165
0.000000,0.000000,1726701771.424660,424202.000,1397,1,TH,1,100,29.165
0.000000,0.000000,1726701771.558662,424336.000,1414,1,TH,1,100,29.189
0.000000,0.000000,1726701771.691664,424469.000,1431,1,TH,1,100,29.196
0.000000,0.000000,1726701771.824666,424602.000,1462,1,TH,1,100,29.196
0.000000,0.000000,1726701771.958668,424736.000,1479,1,TH,1,100,29.196
0.000000,0.000000,1726701772.091670,424869.000,1496,1,TH,1,100,29.209
0.000000,0.000000,1726701772.224672,425002.000,1527,1,TH,1,100,29.209
0.000000,0.000000,1726701772.358674,425136.000,1545,1,TH,1,100,29.172
0.000000,0.000000,1726701772.491675,425269.000,1561,1,TH,1,100,29.172
0.000000,0.000000,1726701772.624677,425402.000,1595,1,TH,1,100,29.277
0.000000,0.000000,1726701772.758679,425536.000,1617,1,TH,1,100,29.284
0.000000,0.000000,1726701772.891681,425669.000,1633,1,TH,1,100,29.221
0.000000,0.000000,1726701773.024683,425802.000,1651,1,TH,1,100,29.221
0.000000,0.000000,1726701773.158685,425936.000,1682,1,TH,1,100,29.262
0.000000,0.000000,1726701773.291687,426069.000,1698,1,TH,1,100,29.262
0.000000,0.000000,1726701773.424689,426202.000,1718,1,TH,1,100,29.299
0.000000,0.000000,1726701773.558691,426336.000,1749,1,TH,1,100,29.299
0.000000,0.000000,1726701773.691692,426469.000,1766,1,TH,1,100,29.282
0.000000,0.000000,1726701773.824694,426602.000,1783,1,TH,1,100,29.289
0.000000,0.000000,1726701773.958696,426736.000,1817,1,TH,1,100,29.296
0.000000,0.000000,1726701774.091698,426869.000,1833,1,TH,1,100,29.296
0.000000,0.000000,1726701774.224700,427002.000,1850,1,TH,1,100,29.205
0.000000,0.000000,1726701774.357702,427135.000,1882,1,TH,1,100,29.205
0.000000,0.000000,1726701774.491704,427269.000,1898,1,TH,1,100,29.252
0.000000,0.000000,1726701774.624706,427402.000,1915,1,TH,1,100,29.252
0.000000,0.000000,1726701774.757707,427535.000,1947,1,TH,1,100,29.264
0.000000,0.000000,1726701774.891709,427669.000,1963,1,TH,1,100,29.271
0.000000,0.000000,1726701775.024711,427802.000,1981,1,TH,1,100,29.318
0.000000,0.000000,1726701775.157713,427935.000,1997,1,TH,1,100,29.318
0.000000,0.000000,1726701775.291715,428069.000,2031,1,TH,1,100,29.389
0.000000,0.000000,1726701775.424717,428202.000,2048,1,TH,1,100,29.389
0.000000,0.000000,1726701775.557719,428335.000,2064,1,TH,1,100,29.261
0.000000,0.000000,1726701775.691721,428469.000,2096,1,TH,1,100,29.261
0.000000,0.000000,1726701775.824722,428602.000,2113,1,TH,1,100,29.276
0.000000,0.000000,1726701775.957724,428735.000,2129,1,TH,1,100,29.283
0.000000,0.000000,1726701776.091726,428869.000,2161,1,TH,1,100,29.325
0.000000,0.000000,1726701776.224728,429002.000,2178,1,TH,1,100,29.325
0.000000,0.000000,1726701776.357730,429135.000,2195,1,TH,1,100,29.420
0.000000,0.000000,1726701776.491732,429269.000,2228,1,TH,1,100,29.420
0.000000,0.000000,1726701776.624734,429402.000,2245,1,TH,1,100,29.379
0.000000,0.000000,1726701776.757736,429535.000,2262,1,TH,1,100,29.379
0.000000,0.000000,1726701776.890738,429668.000,2293,1,TH,1,100,29.307
0.000000,0.000000,1726701777.024739,429802.000,2311,1,TH,1,100,29.307
0.000000,0.000000,1726701777.157741,429935.000,2327,1,TH,1,100,29.337
0.000000,0.000000,1726701777.290743,430068.000,2344,1,TH,1,100,29.344
0.000000,0.000000,1726701777.424745,430202.000,2376,1,TH,1,100,29.337
0.000000,0.000000,1726701777.557747,430335.000,2392,1,TH,1,100,29.337
0.000000,0.000000,1726701777.690749,430468.000,2410,1,TH,1,100,29.297
0.000000,0.000000,1726701777.824251,430601.500,2446,2,TH,1,100,29.297
0.000000,0.000000,1726701777.957753,430735.000,2446,2,TH,1,100,29.272
0.000000,0.000000,1726701778.090754,430868.000,2466,1,TH,1,100,29.272
0.000000,0.000000,1726701778.224756,431002.000,2482,1,TH,1,100,29.285
0.000000,0.000000,1726701778.357758,431135.000,2516,1,TH,1,100,29.292
0.000000,0.000000,1726701778.490760,431268.000,2533,1,TH,1,100,29.329
0.000000,0.000000,1726701778.624762,431402.000,2549,1,TH,1,100,29.329
0.000000,0.000000,1726701778.757764,431535.000,2567,1,TH,1,100,29.356
0.000000,0.000000,1726701778.890766,431668.000,2598,1,TH,1,100,29.356
0.000000,0.000000,1726701779.024768,431802.000,2615,1,TH,1,100,29.346
0.000000,0.000000,1726701779.157769,431935.000,2632,1,TH,1,100,29.346
0.000000,0.000000,1726701779.290771,432068.000,2666,1,TH,1,100,29.272
0.000000,0.000000,1726701779.424773,432202.000,2682,1,TH,1,100,29.279
0.000000,0.000000,1726701779.557775,432335.000,2699,1,TH,1,100,29.343
0.000000,0.000000,1726701779.690777,432468.000,2731,1,TH,1,100,29.343
0.000000,0.000000,1726701779.824779,432602.000,2747,1,TH,1,100,29.331
0.000000,0.000000,1726701779.957781,432735.000,2764,1,TH,1,100,29.331
0.000000,0.000000,1726701780.090783,432868.000,2796,1,TH,1,100,29.416
0.000000,0.000000,1726701780.224785,433002.000,2812,1,TH,1,100,29.416
0.000000,0.000000,1726701780.357786,433135.000,2830,1,TH,1,100,29.397
0.000000,0.000000,1726701780.490788,433268.000,2861,1,TH,1,100,29.404
0.000000,0.000000,1726701780.624790,433402.000,2877,1,TH,1,100,29.343
0.000000,0.000000,1726701780.757792,433535.000,2897,1,TH,1,100,29.343
0.000000,0.000000,1726701780.890794,433668.000,2928,1,TH,1,100,29.323
0.000000,0.000000,1726701781.024796,433802.000,2945,1,TH,1,100,29.323
