LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702110.502443,763275.000,56472,2,PG,1,100,616
0.000000,0.000000,1726702110.542443,763315.000,56489,3,PG,1,100,631
0.000000,0.000000,1726702110.582444,763355.000,56489,3,PG,1,100,628
0.000000,0.000000,1726702110.622444,763395.000,56489,3,PG,1,100,632
0.000000,0.000000,1726702110.662445,763435.000,56506,2,PG,1,100,625
0.000000,0.000000,1726702110.702445,763475.000,56506,2,PG,1,100,625
0.000000,0.000000,1726702110.742446,763515.000,56521,3,PG,1,100,621
0.000000,0.000000,1726702110.782447,763555.000,56521,3,PG,1,100,621
0.000000,0.000000,1726702110.822447,763595.000,56521,3,PG,1,100,620
0.000000,0.000000,1726702110.862448,763635.000,56537,2,PG,1,100,614
0.000000,0.000000,1726702110.902448,763675.000,56537,2,PG,1,100,615
0.000000,0.000000,1726702110.942449,763715.000,56555,3,PG,1,100,617
0.000000,0.000000,1726702110.982449,763755.000,56555,3,PG,1,100,614
0.000000,0.000000,1726702111.022450,763795.000,56555,3,PG,1,100,616
0.000000,0.000000,1726702111.062451,763835.000,56571,2,PG,1,100,610
0.000000,0.000000,1726702111.102451,763875.000,56571,2,PG,1,100,616
0.000000,0.000000,1726702111.142452,763915.000,56587,3,PG,1,100,614
0.000000,0.000000,1726702111.182452,763955.000,56587,3,PG,1,100,631
0.000000,0.000000,1726702111.222453,763995.000,56587,3,PG,1,100,622
0.000000,0.000000,1726702111.262453,764035.000,56602,2,PG,1,100,619
0.000000,0.000000,1726702111.302454,764075.000,56602,2,PG,1,100,627
0.000000,0.000000,1726702111.342454,764115.000,56620,3,PG,1,100,613
0.000000,0.000000,1726702111.382455,764155.000,56620,3,PG,1,100,618
0.000000,0.000000,1726702111.422456,764195.000,56620,3,PG,1,100,629
0.000000,0.000000,1726702111.462456,764235.000,56636,2,PG,1,100,624
0.000000,0.000000,1726702111.502457,764275.000,56636,2,PG,1,100,617
0.000000,0.000000,1726702111.542457,764315.000,56652,3,PG,1,100,617
0.000000,0.000000,1726702111.582458,764355.000,56652,3,PG,1,100,635
0.000000,0.000000,1726702111.622458,764395.000,56652,3,PG,1,100,612
0.000000,0.000000,1726702111.662459,764435.000,56668,3,PG,1,100,631
0.000000,0.000000,1726702111.702460,764475.000,56668,3,PG,1,100,628
0.000000,0.000000,1726702111.742460,764515.000,56668,3,PG,1,100,631
0.000000,0.000000,1726702111.782461,764555.000,56685,2,PG,1,100,613
0.000000,0.000000,1726702111.822461,764595.000,56685,2,PG,1,100,617
