LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
0.000000,0.000000,1726701766.738594,419516,624,1,HR,1,100,44
0.000000,0.000000,1726701768.938625,421716,976,1,HR,1,100,41
0.000000,0.000000,1726701769.658636,422436,1093,1,HR,1,100,50
0.000000,0.000000,1726701769.898639,422676,1144,1,HR,1,100,95
0.000000,0.000000,1726701771.298659,424076,1358,1,HR,1,100,83
0.000000,0.000000,1726701772.657678,425435,1588,1,HR,1,100,74
0.000000,0.000000,1726701773.857695,426635,1794,1,HR,1,100,69
0.000000,0.000000,1726701775.257714,428035,2023,1,HR,1,100,63
0.000000,0.000000,1726701776.457731,429235,2207,1,HR,1,100,60
0.000000,0.000000,1726701778.017753,430795,2458,1,HR,1,100,55
0.000000,0.000000,1726701779.217770,431995,2643,1,HR,1,100,54
0.000000,0.000000,1726701780.697791,433475,2889,1,HR,1,100,51
0.000000,0.000000,1726701781.897808,434675,3087,1,HR,1,100,51
0.000000,0.000000,1726701783.256827,436034,3292,1,HR,1,100,49
0.000000,0.000000,1726701784.736848,437514,3540,1,HR,1,100,47
0.000000,0.000000,1726701785.910865,438688,3737,1,HR,1,100,48
0.000000,0.000000,1726701787.149882,439927,3935,1,HR,1,100,48
0.000000,0.000000,1726701788.549902,441327,4173,1,HR,1,100,47
0.000000,0.000000,1726701789.909921,442687,4388,1,HR,1,100,46
0.000000,0.000000,1726701791.309941,444087,4619,1,HR,1,100,46
0.000000,0.000000,1726701792.669960,445447,4831,1,HR,1,100,45
0.000000,0.000000,1726701793.989979,446767,5053,1,HR,1,100,45
0.000000,0.000000,1726701795.389998,448167,5284,1,HR,1,100,45
0.000000,0.000000,1726701796.710017,449487,5498,1,HR,1,100,45
0.000000,0.000000,1726701798.189038,450966,5745,1,HR,1,100,44
0.000000,0.000000,1726701799.549057,452326,5966,1,HR,1,100,44
0.000000,0.000000,1726701800.949077,453726,6197,1,HR,1,100,44
0.000000,0.000000,1726701802.229095,455006,6395,1,HR,1,100,44
0.000000,0.000000,1726701803.589114,456366,6633,1,HR,1,100,44
0.000000,0.000000,1726701804.869132,457646,6831,1,HR,1,100,45
0.000000,0.000000,1726701806.029148,458806,7028,1,HR,1,100,46
0.000000,0.000000,1726701807.029163,459806,7193,1,HR,1,100,49
0.000000,0.000000,1726701808.148178,460925,7376,1,HR,1,100,50
0.000000,0.000000,1726701809.521198,462298,7597,1,HR,1,100,49
0.000000,0.000000,1726701810.961218,463738,7826,1,HR,1,100,47
0.000000,0.000000,1726701812.401238,465178,8075,1,HR,1,100,46
0.000000,0.000000,1726701813.801258,466578,8296,1,HR,1,100,45
0.000000,0.000000,1726701815.121277,467898,8511,1,HR,1,100,45
0.000000,0.000000,1726701816.521296,469298,8741,1,HR,1,100,45
0.000000,0.000000,1726701817.681313,470458,8922,1,HR,1,100,46
0.000000,0.000000,1726701818.961331,471738,9144,1,HR,1,100,46
0.000000,0.000000,1726701820.321350,473098,9358,1,HR,1,100,46
0.000000,0.000000,1726701821.520367,474297,9556,1,HR,1,100,47
0.000000,0.000000,1726701822.880386,475657,9771,1,HR,1,100,46
0.000000,0.000000,1726701824.120404,476897,9974,1,HR,1,100,47
0.000000,0.000000,1726701825.400422,478177,10188,1,HR,1,100,47
0.000000,0.000000,1726701826.760441,479537,10402,1,HR,1,100,46
0.000000,0.000000,1726701828.080459,480857,10616,1,HR,1,100,46
0.000000,0.000000,1726701829.280476,482057,10823,1,HR,1,100,47
0.000000,0.000000,1726701830.613495,483390,11038,1,HR,1,100,47
0.000000,0.000000,1726701831.893513,484670,11252,1,HR,1,100,47
0.000000,0.000000,1726701833.292533,486069,11482,1,HR,1,100,46
0.000000,0.000000,1726701834.452549,487229,11672,1,HR,1,100,47
0.000000,0.000000,1726701836.012571,488789,11917,1,HR,1,100,45
0.000000,0.000000,1726701837.212588,489989,12115,1,HR,1,100,46
0.000000,0.000000,1726701838.572607,491349,12348,1,HR,1,100,46
