LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
0.000000,0.000000,1726701767.680608,420458.000,772,2,AK,1,100,23
0.000000,0.000000,1726701767.680608,420458.000,772,2,AK,1,100,RD
0.000000,0.000000,1726701767.691608,420469.000,775,2,AK,1,100,773
0.000000,0.000000,1726701767.702608,420480.000,775,2,AK,1,100,RD
0.000000,0.000000,1726701770.245644,423023.000,1607,2,AK,1,100,773
0.000000,0.000000,1726701772.788680,425566.000,1607,2,AK,1,100,RD
0.000000,0.000000,1726701772.797680,425575.000,1610,2,AK,1,100,1608
0.000000,0.000000,1726701772.806680,425584.000,1610,2,AK,1,100,RD
0.000000,0.000000,1726701775.353716,428131.000,2436,2,AK,1,100,1608
0.000000,0.000000,1726701777.900752,430678.000,2436,2,AK,1,100,RD
0.000000,0.000000,1726701777.940752,430718.000,2439,2,AK,1,100,2437
0.000000,0.000000,1726701777.980753,430758.000,2439,2,AK,1,100,RD
0.000000,0.000000,1726701780.493788,433271.000,3253,2,AK,1,100,2437
0.000000,0.000000,1726701783.006824,435784.000,3253,2,AK,1,100,RD
0.000000,0.000000,1726701783.034824,435812.000,3256,2,AK,1,100,3254
0.000000,0.000000,1726701783.062825,435840.000,3256,2,AK,1,100,RD
0.000000,0.000000,1726701785.588860,438366.000,4085,2,AK,1,100,3254
0.000000,0.000000,1726701788.114896,440892.000,4085,2,AK,1,100,RD
0.000000,0.000000,1726701788.122896,440900.000,4088,2,AK,1,100,4086
0.000000,0.000000,1726701788.130896,440908.000,4088,2,AK,1,100,RD
0.000000,0.000000,1726701790.687932,443465.000,4932,2,AK,1,100,4086
0.000000,0.000000,1726701793.244968,446022.000,4932,2,AK,1,100,RD
0.000000,0.000000,1726701793.258468,446035.500,4935,2,AK,1,100,4933
0.000000,0.000000,1726701793.271969,446049.000,4935,2,AK,1,100,RD
0.000000,0.000000,1726701795.812504,448589.500,5763,2,AK,1,100,4933
0.000000,0.000000,1726701798.353040,451130.000,5763,2,AK,1,100,RD
0.000000,0.000000,1726701798.365540,451142.500,5766,2,AK,1,100,5764
0.000000,0.000000,1726701798.378041,451155.000,5766,2,AK,1,100,RD
0.000000,0.000000,1726701800.931077,453708.000,6611,2,AK,1,100,5764
0.000000,0.000000,1726701803.484113,456261.000,6611,2,AK,1,100,RD
0.000000,0.000000,1726701803.494613,456271.500,6614,2,AK,1,100,6612
0.000000,0.000000,1726701803.505113,456282.000,6614,2,AK,1,100,RD
0.000000,0.000000,1726701806.048149,458825.000,7445,2,AK,1,100,6612
0.000000,0.000000,1726701808.591185,461368.000,7445,2,AK,1,100,RD
0.000000,0.000000,1726701808.600685,461377.500,7448,2,AK,1,100,7446
0.000000,0.000000,1726701808.610185,461387.000,7448,2,AK,1,100,RD
0.000000,0.000000,1726701811.154721,463931.500,8274,2,AK,1,100,7446
0.000000,0.000000,1726701813.699257,466476.000,8274,2,AK,1,100,RD
0.000000,0.000000,1726701813.711257,466488.000,8277,2,AK,1,100,8275
0.000000,0.000000,1726701813.723257,466500.000,8277,2,AK,1,100,RD
0.000000,0.000000,1726701816.265293,469042.000,9106,2,AK,1,100,8275
0.000000,0.000000,1726701818.807329,471584.000,9106,2,AK,1,100,RD
0.000000,0.000000,1726701818.819329,471596.000,9109,2,AK,1,100,9107
0.000000,0.000000,1726701818.831329,471608.000,9109,2,AK,1,100,RD
0.000000,0.000000,1726701821.385865,474162.500,9953,2,AK,1,100,9107
0.000000,0.000000,1726701823.940401,476717.000,9953,2,AK,1,100,RD
0.000000,0.000000,1726701826.499937,479276.500,10785,2,AK,1,100,9954
0.000000,0.000000,1726701829.059473,481836.000,10785,2,AK,1,100,RD
0.000000,0.000000,1726701829.060473,481837.000,10787,2,AK,1,100,9954
0.000000,0.000000,1726701829.061473,481838.000,10787,2,AK,1,100,RD
0.000000,0.000000,1726701829.068473,481845.000,10790,2,AK,1,100,10788
0.000000,0.000000,1726701829.075473,481852.000,10790,2,AK,1,100,RD
0.000000,0.000000,1726701831.621009,484397.500,11618,2,AK,1,100,10788
0.000000,0.000000,1726701834.166545,486943.000,11618,2,AK,1,100,RD
0.000000,0.000000,1726701834.180045,486956.500,11621,2,AK,1,100,11619
0.000000,0.000000,1726701834.193546,486970.000,11621,2,AK,1,100,RD
0.000000,0.000000,1726701836.747582,489524.000,12463,2,AK,1,100,11619
0.000000,0.000000,1726701839.301618,492078.000,12463,2,AK,1,100,RD
0.000000,0.000000,1726701839.310618,492087.000,12466,2,AK,1,100,12464
0.000000,0.000000,1726701839.319618,492096.000,12466,2,AK,1,100,RD
0.000000,0.000000,1726701841.867154,494643.500,13296,2,AK,1,100,12464
0.000000,0.000000,1726701844.414690,497191.000,13296,2,AK,1,100,RD
0.000000,0.000000,1726701844.421190,497197.500,13299,2,AK,1,100,13297
0.000000,0.000000,1726701844.427690,497204.000,13299,2,AK,1,100,RD
0.000000,0.000000,1726701846.974226,499750.500,14129,2,AK,1,100,13297
0.000000,0.000000,1726701849.520762,502297.000,14129,2,AK,1,100,RD
0.000000,0.000000,1726701849.530762,502307.000,14132,2,AK,1,100,14130
0.000000,0.000000,1726701849.540762,502317.000,14132,2,AK,1,100,RD
0.000000,0.000000,1726701852.096798,504873.000,14976,2,AK,1,100,14130
0.000000,0.000000,1726701854.652834,507429.000,14976,2,AK,1,100,RD
0.000000,0.000000,1726701854.663834,507440.000,14979,2,AK,1,100,14977
0.000000,0.000000,1726701854.674835,507451.000,14979,2,AK,1,100,RD
0.000000,0.000000,1726701857.217370,509993.500,15808,2,AK,1,100,14977
0.000000,0.000000,1726701859.759906,512536.000,15808,2,AK,1,100,RD
0.000000,0.000000,1726701859.770406,512546.500,15811,2,AK,1,100,15809
0.000000,0.000000,1726701859.780907,512557.000,15811,2,AK,1,100,RD
0.000000,0.000000,1726701862.323942,515100.000,16639,2,AK,1,100,15809
0.000000,0.000000,1726701864.866978,517643.000,16639,2,AK,1,100,RD
0.000000,0.000000,1726701864.876478,517652.500,16642,2,AK,1,100,16640
0.000000,0.000000,1726701864.885979,517662.000,16642,2,AK,1,100,RD
0.000000,0.000000,1726701867.438015,520214.000,17486,2,AK,1,100,16640
0.000000,0.000000,1726701869.990051,522766.000,17486,2,AK,1,100,RD
