LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
0.000000,0.000000,1726701766.738594,419516,623,1,BI,1,100,1440
0.000000,0.000000,1726701768.938625,421716,975,1,BI,1,100,2200
0.000000,0.000000,1726701769.658636,422436,1092,1,BI,1,100,720
0.000000,0.000000,1726701769.898639,422676,1143,1,BI,1,100,240
0.000000,0.000000,1726701771.298659,424076,1357,1,BI,1,100,1400
0.000000,0.000000,1726701772.657678,425435,1587,1,BI,1,100,1360
0.000000,0.000000,1726701773.857695,426635,1793,1,BI,1,100,1200
0.000000,0.000000,1726701775.257714,428035,2022,1,BI,1,100,1400
0.000000,0.000000,1726701776.457731,429235,2206,1,BI,1,100,1200
0.000000,0.000000,1726701778.017753,430795,2457,1,BI,1,100,1560
0.000000,0.000000,1726701779.217770,431995,2642,1,BI,1,100,1200
0.000000,0.000000,1726701780.697791,433475,2888,1,BI,1,100,1480
0.000000,0.000000,1726701781.897808,434675,3086,1,BI,1,100,1200
0.000000,0.000000,1726701783.256827,436034,3291,1,BI,1,100,1360
0.000000,0.000000,1726701784.736848,437514,3539,1,BI,1,100,1480
0.000000,0.000000,1726701785.910865,438688,3736,1,BI,1,100,1160
0.000000,0.000000,1726701787.149882,439927,3934,1,BI,1,100,1240
0.000000,0.000000,1726701788.549902,441327,4172,1,BI,1,100,1400
0.000000,0.000000,1726701789.909921,442687,4387,1,BI,1,100,1360
0.000000,0.000000,1726701791.309941,444087,4618,1,BI,1,100,1400
0.000000,0.000000,1726701792.669960,445447,4830,1,BI,1,100,1360
0.000000,0.000000,1726701793.989979,446767,5052,1,BI,1,100,1320
0.000000,0.000000,1726701795.389998,448167,5283,1,BI,1,100,1400
0.000000,0.000000,1726701796.710017,449487,5497,1,BI,1,100,1320
0.000000,0.000000,1726701798.189038,450966,5744,1,BI,1,100,1480
0.000000,0.000000,1726701799.549057,452326,5965,1,BI,1,100,1360
0.000000,0.000000,1726701800.949077,453726,6196,1,BI,1,100,1400
0.000000,0.000000,1726701802.229095,455006,6394,1,BI,1,100,1280
0.000000,0.000000,1726701803.589114,456366,6632,1,BI,1,100,1360
0.000000,0.000000,1726701804.869132,457646,6830,1,BI,1,100,1280
0.000000,0.000000,1726701806.029148,458806,7027,1,BI,1,100,1160
0.000000,0.000000,1726701807.029163,459806,7192,1,BI,1,100,1000
0.000000,0.000000,1726701808.148178,460925,7375,1,BI,1,100,1120
0.000000,0.000000,1726701809.521198,462298,7596,1,BI,1,100,1360
0.000000,0.000000,1726701810.961218,463738,7825,1,BI,1,100,1440
0.000000,0.000000,1726701812.401238,465178,8074,1,BI,1,100,1440
0.000000,0.000000,1726701813.801258,466578,8295,1,BI,1,100,1400
0.000000,0.000000,1726701815.121277,467898,8510,1,BI,1,100,1320
0.000000,0.000000,1726701816.521296,469298,8740,1,BI,1,100,1400
0.000000,0.000000,1726701817.681313,470458,8921,1,BI,1,100,1160
0.000000,0.000000,1726701818.961331,471738,9143,1,BI,1,100,1280
0.000000,0.000000,1726701820.321350,473098,9357,1,BI,1,100,1360
0.000000,0.000000,1726701821.520367,474297,9555,1,BI,1,100,1200
0.000000,0.000000,1726701822.880386,475657,9770,1,BI,1,100,1360
0.000000,0.000000,1726701824.120404,476897,9973,1,BI,1,100,1240
0.000000,0.000000,1726701825.400422,478177,10187,1,BI,1,100,1280
0.000000,0.000000,1726701826.760441,479537,10401,1,BI,1,100,1360
0.000000,0.000000,1726701828.080459,480857,10615,1,BI,1,100,1320
0.000000,0.000000,1726701829.280476,482057,10822,1,BI,1,100,1200
0.000000,0.000000,1726701830.613495,483390,11037,1,BI,1,100,1320
0.000000,0.000000,1726701831.893513,484670,11251,1,BI,1,100,1280
0.000000,0.000000,1726701833.292533,486069,11481,1,BI,1,100,1400
0.000000,0.000000,1726701834.452549,487229,11671,1,BI,1,100,1160
0.000000,0.000000,1726701836.012571,488789,11916,1,BI,1,100,1560
0.000000,0.000000,1726701837.212588,489989,12114,1,BI,1,100,1200
0.000000,0.000000,1726701838.572607,491349,12347,1,BI,1,100,1360
0.000000,0.000000,1726701839.772624,492549,12533,1,BI,1,100,1200
0.000000,0.000000,1726701841.132644,493909,12765,1,BI,1,100,1360
0.000000,0.000000,1726701842.332660,495109,12962,1,BI,1,100,1200
0.000000,0.000000,1726701843.411676,496188,13130,1,BI,1,100,1080
0.000000,0.000000,1726701844.811695,497588,13367,1,BI,1,100,1400
0.000000,0.000000,1726701846.091713,498868,13579,1,BI,1,100,1280
0.000000,0.000000,1726701847.491733,500268,13810,1,BI,1,100,1400
0.000000,0.000000,1726701848.851752,501628,14027,1,BI,1,100,1360
0.000000,0.000000,1726701850.291773,503068,14263,1,BI,1,100,1440
0.000000,0.000000,1726701851.944796,504721,14526,1,BI,1,100,1640
0.000000,0.000000,1726701852.984811,505761,14692,1,BI,1,100,1040
0.000000,0.000000,1726701854.344830,507121,14923,1,BI,1,100,1360
0.000000,0.000000,1726701855.544847,508321,15126,1,BI,1,100,1200
0.000000,0.000000,1726701856.823865,509600,15326,1,BI,1,100,1280
0.000000,0.000000,1726701858.183884,510960,15555,1,BI,1,100,1360
0.000000,0.000000,1726701859.343900,512120,15739,1,BI,1,100,1160
0.000000,0.000000,1726701860.703920,513480,15958,1,BI,1,100,1360
0.000000,0.000000,1726701862.023938,514800,16171,1,BI,1,100,1320
0.000000,0.000000,1726701863.423958,516200,16405,1,BI,1,100,1400
0.000000,0.000000,1726701864.703976,517480,16619,1,BI,1,100,1280
0.000000,0.000000,1726701865.983994,518760,16822,1,BI,1,100,1280
0.000000,0.000000,1726701867.304013,520080,17036,1,BI,1,100,1320
0.000000,0.000000,1726701868.503030,521279,17236,1,BI,1,100,1200
0.000000,0.000000,1726701869.836048,522612,17451,1,BI,1,100,1320
0.000000,0.000000,1726701870.956064,523732,17636,1,BI,1,100,1120
0.000000,0.000000,1726701872.317083,525093,17851,1,BI,1,100,1360
0.000000,0.000000,1726701873.556101,526332,18051,1,BI,1,100,1240
0.000000,0.000000,1726701874.956121,527732,18282,1,BI,1,100,1400
0.000000,0.000000,1726701875.996135,528772,18447,1,BI,1,100,1040
0.000000,0.000000,1726701877.236153,530012,18646,1,BI,1,100,1240
0.000000,0.000000,1726701878.316168,531092,18827,1,BI,1,100,1080
0.000000,0.000000,1726701879.595186,532371,19011,1,BI,1,100,1280
0.000000,0.000000,1726701880.955205,533731,19242,1,BI,1,100,1360
0.000000,0.000000,1726701882.355225,535131,19474,1,BI,1,100,1400
0.000000,0.000000,1726701883.795245,536571,19705,1,BI,1,100,1440
0.000000,0.000000,1726701884.955262,537731,19888,1,BI,1,100,1160
0.000000,0.000000,1726701886.275280,539051,20102,1,BI,1,100,1320
0.000000,0.000000,1726701887.395296,540171,20283,1,BI,1,100,1120
0.000000,0.000000,1726701888.648314,541424,20483,1,BI,1,100,1240
0.000000,0.000000,1726701889.888331,542664,20697,1,BI,1,100,1240
0.000000,0.000000,1726701891.048348,543824,20878,1,BI,1,100,1160
0.000000,0.000000,1726701892.408367,545184,21110,1,BI,1,100,1360
0.000000,0.000000,1726701893.567383,546343,21292,1,BI,1,100,1160
0.000000,0.000000,1726701894.807401,547583,21491,1,BI,1,100,1240
0.000000,0.000000,1726701896.127419,548903,21705,1,BI,1,100,1320
0.000000,0.000000,1726701897.407437,550183,21919,1,BI,1,100,1280
0.000000,0.000000,1726701898.687455,551463,22136,1,BI,1,100,1280
0.000000,0.000000,1726701899.893472,552669,22318,1,BI,1,100,1200
0.000000,0.000000,1726701901.254491,554030,22547,1,BI,1,100,1360
0.000000,0.000000,1726701902.533510,555309,22745,1,BI,1,100,1280
0.000000,0.000000,1726701903.893529,556669,22978,1,BI,1,100,1360
0.000000,0.000000,1726701904.973544,557749,23144,1,BI,1,100,1080
0.000000,0.000000,1726701906.093560,558869,23325,1,BI,1,100,1120
0.000000,0.000000,1726701907.253576,560029,23525,1,BI,1,100,1160
0.000000,0.000000,1726701908.173589,560949,23674,1,BI,1,100,920
0.000000,0.000000,1726701908.852599,561628,23777,1,BI,1,100,680
0.000000,0.000000,1726701910.092616,562868,23990,1,BI,1,100,1240
0.000000,0.000000,1726701911.452635,564228,24204,1,BI,1,100,1360
0.000000,0.000000,1726701912.772654,565548,24419,1,BI,1,100,1320
0.000000,0.000000,1726701914.052672,566828,24635,1,BI,1,100,1280
0.000000,0.000000,1726701915.492692,568268,24866,1,BI,1,100,1440
0.000000,0.000000,1726701916.705709,569481,25063,1,BI,1,100,1200
0.000000,0.000000,1726701918.065729,570841,25278,1,BI,1,100,1360
0.000000,0.000000,1726701919.225745,572001,25461,1,BI,1,100,1160
0.000000,0.000000,1726701920.545764,573321,25676,1,BI,1,100,1320
0.000000,0.000000,1726701921.865782,574641,25890,1,BI,1,100,1320
0.000000,0.000000,1726701923.104800,575880,26105,1,BI,1,100,1240
0.000000,0.000000,1726701924.504819,577280,26321,1,BI,1,100,1400
0.000000,0.000000,1726701925.664836,578440,26518,1,BI,1,100,1160
0.000000,0.000000,1726701927.024855,579800,26733,1,BI,1,100,1360
0.000000,0.000000,1726701928.304873,581080,26947,1,BI,1,100,1280
0.000000,0.000000,1726701929.584891,582360,27147,1,BI,1,100,1280
0.000000,0.000000,1726701930.944910,583720,27378,1,BI,1,100,1360
0.000000,0.000000,1726701932.104927,584880,27560,1,BI,1,100,1160
0.000000,0.000000,1726701933.477946,586253,27793,1,BI,1,100,1360
0.000000,0.000000,1726701934.917966,587693,28022,1,BI,1,100,1440
0.000000,0.000000,1726701936.317986,589093,28253,1,BI,1,100,1400
0.000000,0.000000,1726701937.637005,590412,28467,1,BI,1,100,1320
0.000000,0.000000,1726701938.957023,591732,28684,1,BI,1,100,1320
0.000000,0.000000,1726701940.277042,593052,28898,1,BI,1,100,1320
0.000000,0.000000,1726701941.677062,594452,29127,1,BI,1,100,1400
0.000000,0.000000,1726701943.077081,595852,29342,1,BI,1,100,1400
0.000000,0.000000,1726701944.557102,597332,29596,1,BI,1,100,1480
0.000000,0.000000,1726701946.076124,598851,29842,1,BI,1,100,1520
0.000000,0.000000,1726701947.356142,600131,30056,1,BI,1,100,1280
0.000000,0.000000,1726701948.756161,601531,30290,1,BI,1,100,1400
0.000000,0.000000,1726701949.916178,602691,30471,1,BI,1,100,1160
0.000000,0.000000,1726701951.276197,604051,30686,1,BI,1,100,1360
0.000000,0.000000,1726701952.689217,605464,30917,1,BI,1,100,1400
0.000000,0.000000,1726701954.129237,606904,31151,1,BI,1,100,1440
0.000000,0.000000,1726701955.609258,608384,31380,1,BI,1,100,1480
0.000000,0.000000,1726701957.049278,609824,31628,1,BI,1,100,1440
0.000000,0.000000,1726701958.449298,611224,31845,1,BI,1,100,1400
0.000000,0.000000,1726701959.728316,612503,32057,1,BI,1,100,1280
0.000000,0.000000,1726701961.048335,613823,32271,1,BI,1,100,1320
0.000000,0.000000,1726701962.288352,615063,32470,1,BI,1,100,1240
0.000000,0.000000,1726701963.648371,616423,32702,1,BI,1,100,1360
0.000000,0.000000,1726701964.888389,617663,32900,1,BI,1,100,1240
0.000000,0.000000,1726701965.968404,618743,33082,1,BI,1,100,1080
0.000000,0.000000,1726701967.208422,619983,33280,1,BI,1,100,1240
0.000000,0.000000,1726701968.568441,621343,33497,1,BI,1,100,1360
0.000000,0.000000,1726701969.941460,622716,33726,1,BI,1,100,1360
0.000000,0.000000,1726701971.541483,624316,33974,1,BI,1,100,1600
0.000000,0.000000,1726701972.900502,625675,34203,1,BI,1,100,1360
0.000000,0.000000,1726701974.380523,627155,34454,1,BI,1,100,1480
0.000000,0.000000,1726701975.780543,628555,34668,1,BI,1,100,1400
0.000000,0.000000,1726701977.220563,629995,34914,1,BI,1,100,1440
0.000000,0.000000,1726701978.620583,631395,35130,1,BI,1,100,1400
0.000000,0.000000,1726701979.820600,632595,35328,1,BI,1,100,1200
0.000000,0.000000,1726701981.140618,633915,35543,1,BI,1,100,1320
0.000000,0.000000,1726701982.499637,635274,35776,1,BI,1,100,1360
0.000000,0.000000,1726701983.779655,636554,35976,1,BI,1,100,1280
0.000000,0.000000,1726701985.139675,637914,36205,1,BI,1,100,1360
0.000000,0.000000,1726701986.419693,639194,36388,1,BI,1,100,1280
0.000000,0.000000,1726701987.739711,640514,36602,1,BI,1,100,1320
0.000000,0.000000,1726701988.992729,641767,36819,1,BI,1,100,1240
0.000000,0.000000,1726701990.272747,643047,37017,1,BI,1,100,1280
0.000000,0.000000,1726701991.592766,644367,37231,1,BI,1,100,1320
0.000000,0.000000,1726701992.952785,645727,37462,1,BI,1,100,1360
0.000000,0.000000,1726701994.432806,647207,37694,1,BI,1,100,1480
0.000000,0.000000,1726701995.792825,648567,37925,1,BI,1,100,1360
0.000000,0.000000,1726701997.191845,649966,38156,1,BI,1,100,1400
0.000000,0.000000,1726701998.671865,651446,38387,1,BI,1,100,1480
0.000000,0.000000,1726701999.991884,652766,38602,1,BI,1,100,1320
0.000000,0.000000,1726702001.391904,654166,38833,1,BI,1,100,1400
0.000000,0.000000,1726702002.711922,655486,39047,1,BI,1,100,1320
0.000000,0.000000,1726702004.111942,656886,39279,1,BI,1,100,1400
0.000000,0.000000,1726702005.324959,658099,39478,1,BI,1,100,1200
0.000000,0.000000,1726702006.684978,659459,39692,1,BI,1,100,1360
0.000000,0.000000,1726702007.964996,660739,39905,1,BI,1,100,1280
0.000000,0.000000,1726702009.364016,662138,40139,1,BI,1,100,1400
0.000000,0.000000,1726702010.724035,663498,40353,1,BI,1,100,1360
0.000000,0.000000,1726702012.124055,664898,40585,1,BI,1,100,1400
0.000000,0.000000,1726702013.484074,666258,40799,1,BI,1,100,1360
0.000000,0.000000,1726702014.724092,667498,40998,1,BI,1,100,1240
0.000000,0.000000,1726702016.044110,668818,41228,1,BI,1,100,1320
0.000000,0.000000,1726702017.164126,669938,41411,1,BI,1,100,1120
0.000000,0.000000,1726702018.444144,671218,41611,1,BI,1,100,1280
0.000000,0.000000,1726702019.843164,672617,41825,1,BI,1,100,1400
0.000000,0.000000,1726702021.203183,673977,42056,1,BI,1,100,1360
0.000000,0.000000,1726702022.563202,675337,42271,1,BI,1,100,1360
0.000000,0.000000,1726702023.736219,676510,42471,1,BI,1,100,1160
0.000000,0.000000,1726702025.016237,677790,42668,1,BI,1,100,1280
0.000000,0.000000,1726702026.296255,679070,42882,1,BI,1,100,1280
0.000000,0.000000,1726702027.536272,680310,43080,1,BI,1,100,1240
0.000000,0.000000,1726702028.896292,681670,43297,1,BI,1,100,1360
0.000000,0.000000,1726702030.136309,682910,43495,1,BI,1,100,1240
0.000000,0.000000,1726702031.496328,684270,43726,1,BI,1,100,1360
0.000000,0.000000,1726702032.655345,685429,43906,1,BI,1,100,1160
0.000000,0.000000,1726702033.935363,686709,44123,1,BI,1,100,1280
0.000000,0.000000,1726702035.175380,687949,44322,1,BI,1,100,1240
0.000000,0.000000,1726702036.575400,689349,44522,1,BI,1,100,1400
0.000000,0.000000,1726702037.975420,690749,44753,1,BI,1,100,1400
0.000000,0.000000,1726702039.415440,692189,44985,1,BI,1,100,1440
0.000000,0.000000,1726702040.628457,693402,45183,1,BI,1,100,1200
0.000000,0.000000,1726702041.828474,694602,45365,1,BI,1,100,1200
0.000000,0.000000,1726702043.028491,695802,45562,1,BI,1,100,1200
0.000000,0.000000,1726702044.428511,697202,45796,1,BI,1,100,1400
0.000000,0.000000,1726702045.548527,698322,45977,1,BI,1,100,1120
0.000000,0.000000,1726702046.627542,699401,46157,1,BI,1,100,1080
0.000000,0.000000,1726702048.347566,701121,46439,1,BI,1,100,1720
0.000000,0.000000,1726702049.867587,702641,46687,1,BI,1,100,1520
0.000000,0.000000,1726702051.307608,704081,46916,1,BI,1,100,1440
0.000000,0.000000,1726702052.547625,705321,47115,1,BI,1,100,1240
0.000000,0.000000,1726702053.827643,706601,47331,1,BI,1,100,1280
0.000000,0.000000,1726702054.307650,707081,47414,1,BI,1,100,480
0.000000,0.000000,1726702055.187662,707961,47547,1,BI,1,100,880
0.000000,0.000000,1726702056.266678,709040,47713,1,BI,1,100,1080
0.000000,0.000000,1726702057.586696,710360,47928,1,BI,1,100,1320
0.000000,0.000000,1726702058.920715,711694,48144,1,BI,1,100,1320
0.000000,0.000000,1726702060.239734,713013,48359,1,BI,1,100,1320
0.000000,0.000000,1726702061.759755,714533,48607,1,BI,1,100,1520
0.000000,0.000000,1726702062.359764,715133,48705,1,BI,1,100,600
0.000000,0.000000,1726702063.639782,716413,48922,1,BI,1,100,1280
0.000000,0.000000,1726702065.199804,717973,49169,1,BI,1,100,1560
0.000000,0.000000,1726702066.519822,719293,49384,1,BI,1,100,1320
0.000000,0.000000,1726702069.038858,721812,49797,1,BI,1,100,2520
0.000000,0.000000,1726702070.118873,722892,49961,1,BI,1,100,1080
0.000000,0.000000,1726702071.358891,724132,50129,1,BI,1,100,1240
0.000000,0.000000,1726702072.518907,725292,50331,1,BI,1,100,1160
0.000000,0.000000,1726702073.798925,726572,50531,1,BI,1,100,1280
0.000000,0.000000,1726702075.171944,727945,50760,1,BI,1,100,1360
0.000000,0.000000,1726702076.611965,729385,50991,1,BI,1,100,1440
0.000000,0.000000,1726702078.011984,730785,51222,1,BI,1,100,1400
0.000000,0.000000,1726702079.372004,732145,51439,1,BI,1,100,1360
0.000000,0.000000,1726702080.772023,733545,51669,1,BI,1,100,1400
0.000000,0.000000,1726702081.092028,733865,51721,1,BI,1,100,320
0.000000,0.000000,1726702119.794574,772567,57976,1,BI,1,100,38680
