LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
0.000000,0.000000,1726701766.618593,419396.000,591,3,PI,1,100,175755
0.000000,0.000000,1726701766.618593,419396.000,591,3,PI,1,100,175750
0.000000,0.000000,1726701766.618593,419396.000,591,3,PI,1,100,175778
0.000000,0.000000,1726701766.658593,419436.000,609,2,PI,1,100,175785
0.000000,0.000000,1726701766.698594,419476.000,609,2,PI,1,100,175792
0.000000,0.000000,1726701766.738594,419516.000,625,3,PI,1,100,175786
0.000000,0.000000,1726701766.778595,419556.000,625,3,PI,1,100,175795
0.000000,0.000000,1726701766.818595,419596.000,625,3,PI,1,100,175795
0.000000,0.000000,1726701766.858596,419636.000,642,2,PI,1,100,175814
0.000000,0.000000,1726701766.898597,419676.000,642,2,PI,1,100,175837
0.000000,0.000000,1726701766.938597,419716.000,659,3,PI,1,100,175857
0.000000,0.000000,1726701766.978598,419756.000,659,3,PI,1,100,175812
0.000000,0.000000,1726701767.018598,419796.000,659,3,PI,1,100,175670
0.000000,0.000000,1726701767.058599,419836.000,676,2,PI,1,100,175471
0.000000,0.000000,1726701767.098599,419876.000,676,2,PI,1,100,175331
0.000000,0.000000,1726701767.138600,419916.000,690,3,PI,1,100,175297
0.000000,0.000000,1726701767.178601,419956.000,690,3,PI,1,100,175303
0.000000,0.000000,1726701767.218601,419996.000,690,3,PI,1,100,175300
0.000000,0.000000,1726701767.258602,420036.000,707,2,PI,1,100,175290
0.000000,0.000000,1726701767.298602,420076.000,707,2,PI,1,100,175263
0.000000,0.000000,1726701767.338603,420116.000,724,3,PI,1,100,175199
0.000000,0.000000,1726701767.378603,420156.000,724,3,PI,1,100,175134
0.000000,0.000000,1726701767.418604,420196.000,724,3,PI,1,100,175095
0.000000,0.000000,1726701767.458604,420236.000,741,3,PI,1,100,175072
0.000000,0.000000,1726701767.498605,420276.000,741,3,PI,1,100,175071
0.000000,0.000000,1726701767.538606,420316.000,741,3,PI,1,100,175138
0.000000,0.000000,1726701767.578606,420356.000,755,2,PI,1,100,175116
0.000000,0.000000,1726701767.618607,420396.000,755,2,PI,1,100,175120
0.000000,0.000000,1726701767.658607,420436.000,778,3,PI,1,100,175100
0.000000,0.000000,1726701767.698608,420476.000,778,3,PI,1,100,175055
0.000000,0.000000,1726701767.738608,420516.000,778,3,PI,1,100,175055
0.000000,0.000000,1726701767.778609,420556.000,794,2,PI,1,100,175019
0.000000,0.000000,1726701767.818610,420596.000,794,2,PI,1,100,174940
0.000000,0.000000,1726701767.858610,420636.000,811,3,PI,1,100,174831
0.000000,0.000000,1726701767.898611,420676.000,811,3,PI,1,100,174776
0.000000,0.000000,1726701767.938611,420716.000,811,3,PI,1,100,174714
0.000000,0.000000,1726701767.978612,420756.000,827,2,PI,1,100,174706
0.000000,0.000000,1726701768.018612,420796.000,827,2,PI,1,100,174667
0.000000,0.000000,1726701768.058613,420836.000,843,3,PI,1,100,174618
0.000000,0.000000,1726701768.098614,420876.000,843,3,PI,1,100,174526
0.000000,0.000000,1726701768.138614,420916.000,843,3,PI,1,100,174435
0.000000,0.000000,1726701768.178615,420956.000,859,2,PI,1,100,174360
0.000000,0.000000,1726701768.218615,420996.000,859,2,PI,1,100,174329
0.000000,0.000000,1726701768.258616,421036.000,877,3,PI,1,100,174305
0.000000,0.000000,1726701768.298616,421076.000,877,3,PI,1,100,174223
0.000000,0.000000,1726701768.338617,421116.000,877,3,PI,1,100,174152
0.000000,0.000000,1726701768.378617,421156.000,895,2,PI,1,100,174056
0.000000,0.000000,1726701768.418618,421196.000,895,2,PI,1,100,173952
0.000000,0.000000,1726701768.458619,421236.000,910,3,PI,1,100,173939
